ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24454001,9/2/2017,D-III,Knox,Eureka,RUSHING,Matt,Mccaffrey,ATT,6
24454002,9/2/2017,D-III,Knox,Eureka,RUSHING,Matt,Mccaffrey,YDS,109
24454003,9/2/2017,D-III,Knox,Eureka,RUSHING,Matt,Mccaffrey,TD,0
24454004,9/2/2017,D-III,Knox,Eureka,RUSHING,Matt,Mccaffrey,LONG,47
24454005,9/2/2017,D-III,Knox,Eureka,RUSHING,,Team,ATT,17
24454006,9/2/2017,D-III,Knox,Eureka,RUSHING,,Team,YDS,33
24454007,9/2/2017,D-III,Knox,Eureka,RUSHING,,Team,TD,0
24454008,9/2/2017,D-III,Knox,Eureka,RUSHING,,Team,LONG,11
24454009,9/2/2017,D-III,Knox,Eureka,RUSHING,Joey,Auger,ATT,7
24454010,9/2/2017,D-III,Knox,Eureka,RUSHING,Joey,Auger,YDS,31
24454011,9/2/2017,D-III,Knox,Eureka,RUSHING,Joey,Auger,TD,2
24454012,9/2/2017,D-III,Knox,Eureka,RUSHING,Joey,Auger,LONG,16
24454013,9/2/2017,D-III,Knox,Eureka,PASSING,Matt,Mccaffrey,CP-ATT-INT,12-29-1
24454014,9/2/2017,D-III,Knox,Eureka,PASSING,Matt,Mccaffrey,YDS,154
24454015,9/2/2017,D-III,Knox,Eureka,PASSING,Matt,Mccaffrey,TD,1
24454016,9/2/2017,D-III,Knox,Eureka,PASSING,Matt,Mccaffrey,LONG,37
24454017,9/2/2017,D-III,Knox,Eureka,PASSING,Garrett,Rau,CP-ATT-INT,1-1-0
24454018,9/2/2017,D-III,Knox,Eureka,PASSING,Garrett,Rau,YDS,24
24454019,9/2/2017,D-III,Knox,Eureka,PASSING,Garrett,Rau,TD,0
24454020,9/2/2017,D-III,Knox,Eureka,PASSING,Garrett,Rau,LONG,24
24454021,9/2/2017,D-III,Knox,Eureka,RECEIVING,Patr,Marzolino,REC,2
24454022,9/2/2017,D-III,Knox,Eureka,RECEIVING,Patr,Marzolino,YDS,56
24454023,9/2/2017,D-III,Knox,Eureka,RECEIVING,Patr,Marzolino,TD,0
24454024,9/2/2017,D-III,Knox,Eureka,RECEIVING,Patr,Marzolino,LONG,37
24454025,9/2/2017,D-III,Knox,Eureka,RECEIVING,Joey,Auger,REC,4
24454026,9/2/2017,D-III,Knox,Eureka,RECEIVING,Joey,Auger,YDS,44
24454027,9/2/2017,D-III,Knox,Eureka,RECEIVING,Joey,Auger,TD,0
24454028,9/2/2017,D-III,Knox,Eureka,RECEIVING,Joey,Auger,LONG,31
24454029,9/2/2017,D-III,Knox,Eureka,RECEIVING,Isaiah,Smith,REC,1
24454030,9/2/2017,D-III,Knox,Eureka,RECEIVING,Isaiah,Smith,YDS,24
24454031,9/2/2017,D-III,Knox,Eureka,RECEIVING,Isaiah,Smith,TD,0
24454032,9/2/2017,D-III,Knox,Eureka,RECEIVING,Isaiah,Smith,LONG,24
24454033,9/2/2017,D-III,Knox,Eureka,RECEIVING,Martwain,Holmes,REC,1
24454034,9/2/2017,D-III,Knox,Eureka,RECEIVING,Martwain,Holmes,YDS,20
24454035,9/2/2017,D-III,Knox,Eureka,RECEIVING,Martwain,Holmes,TD,0
24454036,9/2/2017,D-III,Knox,Eureka,RECEIVING,Martwain,Holmes,LONG,20
24454037,9/2/2017,D-III,Knox,Eureka,RECEIVING,Hunter,Lee,REC,1
24454038,9/2/2017,D-III,Knox,Eureka,RECEIVING,Hunter,Lee,YDS,18
24454039,9/2/2017,D-III,Knox,Eureka,RECEIVING,Hunter,Lee,TD,1
24454040,9/2/2017,D-III,Knox,Eureka,RECEIVING,Hunter,Lee,LONG,18
24454041,9/2/2017,D-III,Knox,Eureka,RECEIVING,Dalton,James,REC,1
24454042,9/2/2017,D-III,Knox,Eureka,RECEIVING,Dalton,James,YDS,8
24454043,9/2/2017,D-III,Knox,Eureka,RECEIVING,Dalton,James,TD,0
24454044,9/2/2017,D-III,Knox,Eureka,RECEIVING,Dalton,James,LONG,8
24454045,9/2/2017,D-III,Knox,Eureka,RECEIVING,Malik,Hamilton,REC,2
24454046,9/2/2017,D-III,Knox,Eureka,RECEIVING,Malik,Hamilton,YDS,5
24454047,9/2/2017,D-III,Knox,Eureka,RECEIVING,Malik,Hamilton,TD,0
24454048,9/2/2017,D-III,Knox,Eureka,RECEIVING,Malik,Hamilton,LONG,3
24454049,9/2/2017,D-III,Knox,Eureka,RECEIVING,Brendan,Powers,REC,1
24454050,9/2/2017,D-III,Knox,Eureka,RECEIVING,Brendan,Powers,YDS,3
24454051,9/2/2017,D-III,Knox,Eureka,RECEIVING,Brendan,Powers,TD,0
24454052,9/2/2017,D-III,Knox,Eureka,RECEIVING,Brendan,Powers,LONG,3
24454053,9/2/2017,D-III,Knox,Eureka,PUNTING,Garrett,Rau,NO,4
24454054,9/2/2017,D-III,Knox,Eureka,PUNTING,Garrett,Rau,YDS,177
24454055,9/2/2017,D-III,Knox,Eureka,PUNTING,Garrett,Rau,AVG,44.2
24454056,9/2/2017,D-III,Knox,Eureka,PUNTING,Garrett,Rau,LONG,50
24454057,9/2/2017,D-III,Knox,Eureka,PUNT RETURNS,Dalton,James,NO,2
24454058,9/2/2017,D-III,Knox,Eureka,PUNT RETURNS,Dalton,James,YDS,-2
24454059,9/2/2017,D-III,Knox,Eureka,PUNT RETURNS,Dalton,James,AVG,-1.0
24454060,9/2/2017,D-III,Knox,Eureka,PUNT RETURNS,Dalton,James,LONG,0
24454061,9/2/2017,D-III,Knox,Eureka,KICK RETURNS,Joey,Auger,NO,4
24454062,9/2/2017,D-III,Knox,Eureka,KICK RETURNS,Joey,Auger,YDS,97
24454063,9/2/2017,D-III,Knox,Eureka,KICK RETURNS,Joey,Auger,AVG,24.2
24454064,9/2/2017,D-III,Knox,Eureka,KICK RETURNS,Joey,Auger,LONG,30
24454065,9/2/2017,D-III,Eureka,Knox,RUSHING,R,Rondinelli,ATT,8
24454066,9/2/2017,D-III,Eureka,Knox,RUSHING,R,Rondinelli,YDS,108
24454067,9/2/2017,D-III,Eureka,Knox,RUSHING,R,Rondinelli,TD,2
24454068,9/2/2017,D-III,Eureka,Knox,RUSHING,R,Rondinelli,LONG,30
24454069,9/2/2017,D-III,Eureka,Knox,RUSHING,Drew,Barth,ATT,15
24454070,9/2/2017,D-III,Eureka,Knox,RUSHING,Drew,Barth,YDS,97
24454071,9/2/2017,D-III,Eureka,Knox,RUSHING,Drew,Barth,TD,0
24454072,9/2/2017,D-III,Eureka,Knox,RUSHING,Drew,Barth,LONG,39
24454073,9/2/2017,D-III,Eureka,Knox,RUSHING,L,Reasnover,ATT,19
24454074,9/2/2017,D-III,Eureka,Knox,RUSHING,L,Reasnover,YDS,88
24454075,9/2/2017,D-III,Eureka,Knox,RUSHING,L,Reasnover,TD,0
24454076,9/2/2017,D-III,Eureka,Knox,RUSHING,L,Reasnover,LONG,17
24454077,9/2/2017,D-III,Eureka,Knox,RUSHING,Jed,Vance,ATT,1
24454078,9/2/2017,D-III,Eureka,Knox,RUSHING,Jed,Vance,YDS,1
24454079,9/2/2017,D-III,Eureka,Knox,RUSHING,Jed,Vance,TD,0
24454080,9/2/2017,D-III,Eureka,Knox,RUSHING,Jed,Vance,LONG,1
24454081,9/2/2017,D-III,Eureka,Knox,RUSHING,,Team,ATT,1
24454082,9/2/2017,D-III,Eureka,Knox,RUSHING,,Team,YDS,-1
24454083,9/2/2017,D-III,Eureka,Knox,RUSHING,,Team,TD,0
24454084,9/2/2017,D-III,Eureka,Knox,RUSHING,,Team,LONG,0
24454085,9/2/2017,D-III,Eureka,Knox,RUSHING,Colton,Johnson,ATT,1
24454086,9/2/2017,D-III,Eureka,Knox,RUSHING,Colton,Johnson,YDS,-2
24454087,9/2/2017,D-III,Eureka,Knox,RUSHING,Colton,Johnson,TD,0
24454088,9/2/2017,D-III,Eureka,Knox,RUSHING,Colton,Johnson,LONG,0
24454089,9/2/2017,D-III,Eureka,Knox,RUSHING,Nasir,Phillips,ATT,1
24454090,9/2/2017,D-III,Eureka,Knox,RUSHING,Nasir,Phillips,YDS,-4
24454091,9/2/2017,D-III,Eureka,Knox,RUSHING,Nasir,Phillips,TD,0
24454092,9/2/2017,D-III,Eureka,Knox,RUSHING,Nasir,Phillips,LONG,0
24454093,9/2/2017,D-III,Eureka,Knox,PASSING,Drew,Barth,CP-ATT-INT,15-21-1
24454094,9/2/2017,D-III,Eureka,Knox,PASSING,Drew,Barth,YDS,149
24454095,9/2/2017,D-III,Eureka,Knox,PASSING,Drew,Barth,TD,1
24454096,9/2/2017,D-III,Eureka,Knox,PASSING,Drew,Barth,LONG,40
24454097,9/2/2017,D-III,Eureka,Knox,PASSING,Colton,Johnson,CP-ATT-INT,1-4-0
24454098,9/2/2017,D-III,Eureka,Knox,PASSING,Colton,Johnson,YDS,10
24454099,9/2/2017,D-III,Eureka,Knox,PASSING,Colton,Johnson,TD,0
24454100,9/2/2017,D-III,Eureka,Knox,PASSING,Colton,Johnson,LONG,10
24454101,9/2/2017,D-III,Eureka,Knox,RECEIVING,Matt,Sutton,REC,2
24454102,9/2/2017,D-III,Eureka,Knox,RECEIVING,Matt,Sutton,YDS,48
24454103,9/2/2017,D-III,Eureka,Knox,RECEIVING,Matt,Sutton,TD,0
24454104,9/2/2017,D-III,Eureka,Knox,RECEIVING,Matt,Sutton,LONG,40
24454105,9/2/2017,D-III,Eureka,Knox,RECEIVING,Dom,Parks,REC,2
24454106,9/2/2017,D-III,Eureka,Knox,RECEIVING,Dom,Parks,YDS,30
