ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24401001,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kyle,Mckinnon,ATT,23
24401002,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kyle,Mckinnon,YDS,116
24401003,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kyle,Mckinnon,TD,2
24401004,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kyle,Mckinnon,LONG,16
24401005,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Quinn,Fleeting,ATT,15
24401006,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Quinn,Fleeting,YDS,16
24401007,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Quinn,Fleeting,TD,0
24401008,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Quinn,Fleeting,LONG,17
24401009,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Duane,Cary,ATT,2
24401010,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Duane,Cary,YDS,12
24401011,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Duane,Cary,TD,0
24401012,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Duane,Cary,LONG,6
24401013,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kha,Patterson,ATT,2
24401014,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kha,Patterson,YDS,10
24401015,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kha,Patterson,TD,0
24401016,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,Kha,Patterson,LONG,10
24401017,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,,Team,ATT,1
24401018,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,,Team,YDS,1
24401019,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,,Team,TD,0
24401020,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,,Team,LONG,1
24401021,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,L,Desouza,ATT,1
24401022,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,L,Desouza,YDS,-8
24401023,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,L,Desouza,TD,0
24401024,9/2/2017,D-III,W. Conn. St.,Hartwick,RUSHING,L,Desouza,LONG,0
24401025,9/2/2017,D-III,W. Conn. St.,Hartwick,PASSING,Quinn,Fleeting,CP-ATT-INT,32-49-0
24401026,9/2/2017,D-III,W. Conn. St.,Hartwick,PASSING,Quinn,Fleeting,YDS,375
24401027,9/2/2017,D-III,W. Conn. St.,Hartwick,PASSING,Quinn,Fleeting,TD,5
24401028,9/2/2017,D-III,W. Conn. St.,Hartwick,PASSING,Quinn,Fleeting,LONG,44
24401029,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,A,Calamita,REC,9
24401030,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,A,Calamita,YDS,110
24401031,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,A,Calamita,TD,2
24401032,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,A,Calamita,LONG,26
24401033,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,Duane,Cary,REC,4
24401034,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,Duane,Cary,YDS,94
24401035,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,Duane,Cary,TD,1
24401036,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,Duane,Cary,LONG,44
24401037,9/2/2017,D-III,W. Conn. St.,Hartwick,RECEIVING,Jawad,Chisholm,REC,6
