ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24387001,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Casey,Bond,ATT,7
24387002,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Casey,Bond,YDS,38
24387003,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Casey,Bond,TD,0
24387004,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Casey,Bond,LONG,13
24387005,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Tariq,Ellis,ATT,7
24387006,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Tariq,Ellis,YDS,33
24387007,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Tariq,Ellis,TD,1
24387008,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Tariq,Ellis,LONG,15
24387009,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Chad,Wilburg,ATT,1
24387010,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Chad,Wilburg,YDS,26
24387011,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Chad,Wilburg,TD,0
24387012,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Chad,Wilburg,LONG,26
24387013,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Leif,Ericksen,ATT,1
24387014,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Leif,Ericksen,YDS,7
24387015,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Leif,Ericksen,TD,0
24387016,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Leif,Ericksen,LONG,7
24387017,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Mason,Elms,ATT,4
24387018,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Mason,Elms,YDS,7
24387019,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Mason,Elms,TD,0
24387020,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Mason,Elms,LONG,8
24387021,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Griffin,Hare,ATT,7
24387022,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Griffin,Hare,YDS,5
24387023,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Griffin,Hare,TD,0
24387024,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Griffin,Hare,LONG,3
24387025,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Ian,Kolste,ATT,5
24387026,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Ian,Kolste,YDS,-16
24387027,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Ian,Kolste,TD,0
24387028,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,Ian,Kolste,LONG,9
24387029,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,,Team,ATT,3
24387030,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,,Team,YDS,-29
24387031,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,,Team,TD,0
24387032,9/2/2017,D-III,Whitworth,Central (Iowa),RUSHING,,Team,LONG,0
24387033,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Ian,Kolste,CP-ATT-INT,38-46-0
24387034,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Ian,Kolste,YDS,471
24387035,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Ian,Kolste,TD,6
24387036,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Ian,Kolste,LONG,43
24387037,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Leif,Ericksen,CP-ATT-INT,11-16-0
24387038,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Leif,Ericksen,YDS,88
24387039,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Leif,Ericksen,TD,1
24387040,9/2/2017,D-III,Whitworth,Central (Iowa),PASSING,Leif,Ericksen,LONG,25
24387041,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Kevin,Thomas,REC,10
24387042,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Kevin,Thomas,YDS,142
24387043,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Kevin,Thomas,TD,3
24387044,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Kevin,Thomas,LONG,26
24387045,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Garrett,Mckay,REC,8
24387046,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Garrett,Mckay,YDS,117
24387047,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Garrett,Mckay,TD,1
24387048,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Garrett,Mckay,LONG,43
24387049,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Luke,Divis,REC,5
24387050,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Luke,Divis,YDS,86
24387051,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Luke,Divis,TD,1
24387052,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Luke,Divis,LONG,30
24387053,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Mcgill,REC,5
24387054,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Mcgill,YDS,42
24387055,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Mcgill,TD,1
24387056,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Mcgill,LONG,25
24387057,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Chase,Takaki,REC,3
24387058,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Chase,Takaki,YDS,37
24387059,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Chase,Takaki,TD,0
24387060,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Chase,Takaki,LONG,16
24387061,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Brett,Moser,REC,4
24387062,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Brett,Moser,YDS,28
24387063,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Brett,Moser,TD,1
24387064,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Brett,Moser,LONG,10
24387065,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Kiourkas,REC,2
24387066,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Kiourkas,YDS,22
24387067,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Kiourkas,TD,0
24387068,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Nick,Kiourkas,LONG,19
24387069,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Kolste,REC,3
24387070,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Kolste,YDS,22
24387071,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Kolste,TD,0
24387072,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Kolste,LONG,9
24387073,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Mason,Elms,REC,2
24387074,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Mason,Elms,YDS,18
24387075,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Mason,Elms,TD,0
24387076,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Mason,Elms,LONG,12
24387077,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Griffin,Hare,REC,3
24387078,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Griffin,Hare,YDS,17
24387079,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Griffin,Hare,TD,0
24387080,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Griffin,Hare,LONG,7
24387081,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Michael,Mckeown,REC,3
24387082,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Michael,Mckeown,YDS,15
24387083,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Michael,Mckeown,TD,0
24387084,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Michael,Mckeown,LONG,7
24387085,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Hall,REC,1
24387086,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Hall,YDS,13
24387087,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Hall,TD,0
24387088,9/2/2017,D-III,Whitworth,Central (Iowa),RECEIVING,Taylor,Hall,LONG,13
24387089,9/2/2017,D-III,Whitworth,Central (Iowa),PUNTING,Rehn,Reiley,NO,5
24387090,9/2/2017,D-III,Whitworth,Central (Iowa),PUNTING,Rehn,Reiley,YDS,167
24387091,9/2/2017,D-III,Whitworth,Central (Iowa),PUNTING,Rehn,Reiley,AVG,33.4
24387092,9/2/2017,D-III,Whitworth,Central (Iowa),PUNTING,Rehn,Reiley,LONG,42
