ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24516001,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Jordan,Downes,ATT,15
24516002,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Jordan,Downes,YDS,58
24516003,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Jordan,Downes,TD,0
24516004,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Jordan,Downes,LONG,32
24516005,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Zach,Whitehead,ATT,14
24516006,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Zach,Whitehead,YDS,25
24516007,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Zach,Whitehead,TD,0
24516008,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Zach,Whitehead,LONG,16
24516009,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Titus,Nelson,ATT,4
24516010,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Titus,Nelson,YDS,8
24516011,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Titus,Nelson,TD,0
24516012,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Titus,Nelson,LONG,7
24516013,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Elijah,Walton,ATT,3
24516014,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Elijah,Walton,YDS,6
24516015,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Elijah,Walton,TD,0
24516016,9/9/2017,D-III,King's (Pa.),Stevenson,RUSHING,Elijah,Walton,LONG,3
24516017,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Zach,Whitehead,CP-ATT-INT,28-44-2
24516018,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Zach,Whitehead,YDS,212
24516019,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Zach,Whitehead,TD,1
24516020,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Zach,Whitehead,LONG,21
24516021,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Gabe,Boccella,CP-ATT-INT,1-1-0
24516022,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Gabe,Boccella,YDS,12
24516023,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Gabe,Boccella,TD,0
24516024,9/9/2017,D-III,King's (Pa.),Stevenson,PASSING,Gabe,Boccella,LONG,12
24516025,9/9/2017,D-III,King's (Pa.),Stevenson,RECEIVING,Marquis,Miller,REC,11
24516026,9/9/2017,D-III,King's (Pa.),Stevenson,RECEIVING,Marquis,Miller,YDS,68
24516027,9/9/2017,D-III,King's (Pa.),Stevenson,RECEIVING,Marquis,Miller,TD,0
24516028,9/9/2017,D-III,King's (Pa.),Stevenson,RECEIVING,Marquis,Miller,LONG,12
24516029,9/9/2017,D-III,King's (Pa.),Stevenson,RECEIVING,Trey,Campbell,REC,5
24516030,9/9/2017,D-III,King's (Pa.),Stevenson,RECEIVING,Trey,Campbell,YDS,42
24516031,9/9/2017,D-III,King's (Pa.),Stevenson,RECEIVING,Trey,Campbell,TD,1
