ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24501001,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Philip,Santiago,ATT,11
24501002,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Philip,Santiago,YDS,58
24501003,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Philip,Santiago,TD,2
24501004,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Philip,Santiago,LONG,18
24501005,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Wasonu,Allen,ATT,8
24501006,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Wasonu,Allen,YDS,43
24501007,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Wasonu,Allen,TD,0
24501008,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Wasonu,Allen,LONG,11
24501009,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Michael,Thomas,ATT,8
24501010,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Michael,Thomas,YDS,31
24501011,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Michael,Thomas,TD,0
24501012,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Michael,Thomas,LONG,10
24501013,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Trevor,Spina,ATT,4
24501014,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Trevor,Spina,YDS,21
24501015,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Trevor,Spina,TD,0
24501016,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Trevor,Spina,LONG,12
24501017,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Peter,Bukszar,ATT,3
24501018,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Peter,Bukszar,YDS,14
24501019,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Peter,Bukszar,TD,0
24501020,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Peter,Bukszar,LONG,12
24501021,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Jack,Marinich,ATT,1
24501022,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Jack,Marinich,YDS,10
24501023,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Jack,Marinich,TD,0
24501024,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,Jack,Marinich,LONG,10
24501025,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,,Team,ATT,3
24501026,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,,Team,YDS,8
24501027,9/9/2017,D-III,Lawrence,Finlandia,RUSHING,,Team,TD,0
