ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26451001,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Vincent,Marrone,ATT,7
26451002,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Vincent,Marrone,YDS,20
26451003,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Vincent,Marrone,TD,0
26451004,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Vincent,Marrone,LONG,9
26451005,10/20/2018,D-III,Anna Maria,Husson,RUSHING,M,daVeiga,ATT,1
26451006,10/20/2018,D-III,Anna Maria,Husson,RUSHING,M,daVeiga,YDS,4
26451007,10/20/2018,D-III,Anna Maria,Husson,RUSHING,M,daVeiga,TD,0
26451008,10/20/2018,D-III,Anna Maria,Husson,RUSHING,M,daVeiga,LONG,4
26451009,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Alex,Cohen,ATT,15
26451010,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Alex,Cohen,YDS,2
26451011,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Alex,Cohen,TD,1
26451012,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Alex,Cohen,LONG,25
26451013,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Jalin,Hudson,ATT,5
26451014,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Jalin,Hudson,YDS,1
26451015,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Jalin,Hudson,TD,0
26451016,10/20/2018,D-III,Anna Maria,Husson,RUSHING,Jalin,Hudson,LONG,3
26451017,10/20/2018,D-III,Anna Maria,Husson,RUSHING,X,Vivar-moran,ATT,1
26451018,10/20/2018,D-III,Anna Maria,Husson,RUSHING,X,Vivar-moran,YDS,1
26451019,10/20/2018,D-III,Anna Maria,Husson,RUSHING,X,Vivar-moran,TD,0
26451020,10/20/2018,D-III,Anna Maria,Husson,RUSHING,X,Vivar-moran,LONG,1
26451021,10/20/2018,D-III,Anna Maria,Husson,RUSHING,,Team,ATT,1
26451022,10/20/2018,D-III,Anna Maria,Husson,RUSHING,,Team,YDS,-4
26451023,10/20/2018,D-III,Anna Maria,Husson,RUSHING,,Team,TD,0
26451024,10/20/2018,D-III,Anna Maria,Husson,RUSHING,,Team,LONG,0
26451025,10/20/2018,D-III,Anna Maria,Husson,PASSING,Alex,Cohen,CP-ATT-INT,17-29-4
26451026,10/20/2018,D-III,Anna Maria,Husson,PASSING,Alex,Cohen,YDS,187
26451027,10/20/2018,D-III,Anna Maria,Husson,PASSING,Alex,Cohen,TD,1
26451028,10/20/2018,D-III,Anna Maria,Husson,PASSING,Alex,Cohen,LONG,35
26451029,10/20/2018,D-III,Anna Maria,Husson,PASSING,Vincent,Marrone,CP-ATT-INT,1-2-0
26451030,10/20/2018,D-III,Anna Maria,Husson,PASSING,Vincent,Marrone,YDS,13
26451031,10/20/2018,D-III,Anna Maria,Husson,PASSING,Vincent,Marrone,TD,0
26451032,10/20/2018,D-III,Anna Maria,Husson,PASSING,Vincent,Marrone,LONG,13
26451033,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,James,Cavallo,REC,2
26451034,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,James,Cavallo,YDS,40
26451035,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,James,Cavallo,TD,0
26451036,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,James,Cavallo,LONG,35
26451037,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,M,daVeiga,REC,4
26451038,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,M,daVeiga,YDS,37
26451039,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,M,daVeiga,TD,0
26451040,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,M,daVeiga,LONG,21
26451041,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Antonio,Snell,REC,3
26451042,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Antonio,Snell,YDS,34
26451043,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Antonio,Snell,TD,0
26451044,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Antonio,Snell,LONG,13
26451045,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Bailey,Braga,REC,2
26451046,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Bailey,Braga,YDS,26
26451047,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Bailey,Braga,TD,1
26451048,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Bailey,Braga,LONG,13
26451049,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Hayden,Braga,REC,2
26451050,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Hayden,Braga,YDS,23
26451051,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Hayden,Braga,TD,0
26451052,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Hayden,Braga,LONG,14
26451053,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Vincent,Marrone,REC,1
26451054,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Vincent,Marrone,YDS,13
26451055,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Vincent,Marrone,TD,0
26451056,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Vincent,Marrone,LONG,13
26451057,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Dwayne,Gordon,REC,1
26451058,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Dwayne,Gordon,YDS,10
26451059,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Dwayne,Gordon,TD,0
26451060,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Dwayne,Gordon,LONG,10
26451061,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jadan,Battle,REC,1
26451062,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jadan,Battle,YDS,10
26451063,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jadan,Battle,TD,0
26451064,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jadan,Battle,LONG,10
26451065,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jalin,Hudson,REC,1
26451066,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jalin,Hudson,YDS,5
26451067,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jalin,Hudson,TD,0
26451068,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Jalin,Hudson,LONG,5
26451069,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Ryan,Johnson,REC,1
26451070,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Ryan,Johnson,YDS,2
26451071,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Ryan,Johnson,TD,0
26451072,10/20/2018,D-III,Anna Maria,Husson,RECEIVING,Ryan,Johnson,LONG,2
