ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26476001,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Q,Strothers,ATT,8
26476002,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Q,Strothers,YDS,90
26476003,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Q,Strothers,TD,0
26476004,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Q,Strothers,LONG,30
26476005,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Dashawn,Darden,ATT,8
26476006,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Dashawn,Darden,YDS,73
26476007,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Dashawn,Darden,TD,1
26476008,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Dashawn,Darden,LONG,35
26476009,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Anthony,Fontana,ATT,2
26476010,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Anthony,Fontana,YDS,54
26476011,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Anthony,Fontana,TD,1
26476012,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Anthony,Fontana,LONG,55
26476013,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Mario,Nigro,ATT,12
26476014,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Mario,Nigro,YDS,54
26476015,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Mario,Nigro,TD,1
26476016,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Mario,Nigro,LONG,14
26476017,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,John,Davis,ATT,2
26476018,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,John,Davis,YDS,30
26476019,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,John,Davis,TD,0
26476020,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,John,Davis,LONG,18
26476021,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Wavell,Wint,ATT,1
26476022,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Wavell,Wint,YDS,3
26476023,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Wavell,Wint,TD,0
26476024,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Wavell,Wint,LONG,3
26476025,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Austin,O'neill,ATT,1
26476026,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Austin,O'neill,YDS,0
26476027,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Austin,O'neill,TD,0
26476028,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RUSHING,Austin,O'neill,LONG,0
26476029,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Dashawn,Darden,CP-ATT-INT,17-22-0
26476030,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Dashawn,Darden,YDS,233
26476031,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Dashawn,Darden,TD,3
26476032,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Dashawn,Darden,LONG,44
26476033,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Anthony,Fontana,CP-ATT-INT,1-1-0
26476034,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Anthony,Fontana,YDS,8
26476035,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Anthony,Fontana,TD,0
26476036,10/20/2018,D-III,Delaware Valley,Lebanon Valley,PASSING,Anthony,Fontana,LONG,8
26476037,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Juwan,Manigo,REC,5
26476038,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Juwan,Manigo,YDS,100
26476039,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Juwan,Manigo,TD,0
26476040,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Juwan,Manigo,LONG,43
26476041,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Donte,Simmons,REC,1
26476042,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Donte,Simmons,YDS,44
26476043,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Donte,Simmons,TD,0
26476044,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Donte,Simmons,LONG,44
26476045,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Graham,REC,1
26476046,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Graham,YDS,32
26476047,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Graham,TD,1
26476048,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Graham,LONG,32
26476049,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Shaveiz,Stewart,REC,4
26476050,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Shaveiz,Stewart,YDS,21
26476051,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Shaveiz,Stewart,TD,1
26476052,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Shaveiz,Stewart,LONG,16
26476053,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Ryan,Norton,REC,2
26476054,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Ryan,Norton,YDS,13
26476055,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Ryan,Norton,TD,0
26476056,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Ryan,Norton,LONG,9
26476057,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Mario,Nigro,REC,1
26476058,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Mario,Nigro,YDS,9
26476059,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Mario,Nigro,TD,0
26476060,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Mario,Nigro,LONG,9
26476061,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Jarvai,Flowers,REC,1
26476062,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Jarvai,Flowers,YDS,8
26476063,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Jarvai,Flowers,TD,0
26476064,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Jarvai,Flowers,LONG,8
26476065,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Davis,REC,1
26476066,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Davis,YDS,6
26476067,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Davis,TD,0
26476068,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,John,Davis,LONG,6
26476069,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Q,Strothers,REC,1
26476070,10/20/2018,D-III,Delaware Valley,Lebanon Valley,RECEIVING,Q,Strothers,YDS,6
