ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26572001,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Brendan,Ward,ATT,6
26572002,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Brendan,Ward,YDS,14
26572003,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Brendan,Ward,TD,0
26572004,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Brendan,Ward,LONG,10
26572005,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Caelan,Etti,ATT,4
26572006,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Caelan,Etti,YDS,13
26572007,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Caelan,Etti,TD,0
26572008,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Caelan,Etti,LONG,12
26572009,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Michael,Cloppse,ATT,1
26572010,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Michael,Cloppse,YDS,2
26572011,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Michael,Cloppse,TD,0
26572012,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Michael,Cloppse,LONG,2
26572013,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Noah,Nelson,ATT,1
26572014,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Noah,Nelson,YDS,2
26572015,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Noah,Nelson,TD,0
26572016,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Noah,Nelson,LONG,2
26572017,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Austin,Mccrum,ATT,4
26572018,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Austin,Mccrum,YDS,-5
26572019,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Austin,Mccrum,TD,0
26572020,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Austin,Mccrum,LONG,1
26572021,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Griff,Stalcup,ATT,6
26572022,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Griff,Stalcup,YDS,-6
26572023,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Griff,Stalcup,TD,0
26572024,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RUSHING,Griff,Stalcup,LONG,5
26572025,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Austin,Mccrum,CP-ATT-INT,12-25-1
26572026,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Austin,Mccrum,YDS,80
26572027,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Austin,Mccrum,TD,0
26572028,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Austin,Mccrum,LONG,24
26572029,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Griff,Stalcup,CP-ATT-INT,0-0-0
26572030,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Griff,Stalcup,YDS,0
26572031,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Griff,Stalcup,TD,0
26572032,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PASSING,Griff,Stalcup,LONG,0
26572033,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Andrew,Tichy,REC,2
26572034,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Andrew,Tichy,YDS,32
26572035,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Andrew,Tichy,TD,0
26572036,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Andrew,Tichy,LONG,24
26572037,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Griff,Stalcup,REC,4
26572038,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Griff,Stalcup,YDS,31
26572039,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Griff,Stalcup,TD,0
26572040,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Griff,Stalcup,LONG,15
26572041,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Noah,Nelson,REC,2
26572042,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Noah,Nelson,YDS,9
26572043,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Noah,Nelson,TD,0
26572044,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Noah,Nelson,LONG,5
26572045,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Brendan,Ward,REC,3
26572046,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Brendan,Ward,YDS,6
26572047,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Brendan,Ward,TD,0
26572048,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Brendan,Ward,LONG,3
26572049,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Jason,Otis,REC,1
26572050,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Jason,Otis,YDS,2
26572051,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Jason,Otis,TD,0
26572052,10/27/2018,D-III,Bowdoin,Wesleyan (CT),RECEIVING,Jason,Otis,LONG,2
26572053,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNTING,Michael,Chen,NO,10
26572054,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNTING,Michael,Chen,YDS,314
26572055,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNTING,Michael,Chen,AVG,31.4
26572056,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNTING,Michael,Chen,LONG,45
26572057,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNT RETURNS,Michael,Cloppse,NO,1
26572058,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNT RETURNS,Michael,Cloppse,YDS,13
26572059,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNT RETURNS,Michael,Cloppse,AVG,13.0
26572060,10/27/2018,D-III,Bowdoin,Wesleyan (CT),PUNT RETURNS,Michael,Cloppse,LONG,13
26572061,10/27/2018,D-III,Bowdoin,Wesleyan (CT),KICK RETURNS,Brendan,Ward,NO,3
26572062,10/27/2018,D-III,Bowdoin,Wesleyan (CT),KICK RETURNS,Brendan,Ward,YDS,69
26572063,10/27/2018,D-III,Bowdoin,Wesleyan (CT),KICK RETURNS,Brendan,Ward,AVG,23.0
26572064,10/27/2018,D-III,Bowdoin,Wesleyan (CT),KICK RETURNS,Brendan,Ward,LONG,25
26572065,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Franny,Rose,TOT,9
26572066,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Franny,Rose,SOLO,
26572067,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Franny,Rose,SACKS,7
26572068,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Franny,Rose,TFL,1
26572069,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Franny,Rose,INT,
26572070,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Franny,Rose,FF,
26572071,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Franny,Rose,FR,1
26572072,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Soren,Birkeland,TOT,1
26572073,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Soren,Birkeland,SOLO,
26572074,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Soren,Birkeland,SACKS,0
26572075,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Soren,Birkeland,TFL,
26572076,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Soren,Birkeland,INT,
26572077,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Soren,Birkeland,FF,
26572078,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Soren,Birkeland,FR,
26572079,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Cameron,Rondeau,TOT,5
26572080,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Cameron,Rondeau,SOLO,
26572081,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Cameron,Rondeau,SACKS,3
26572082,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Cameron,Rondeau,TFL,
26572083,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Cameron,Rondeau,INT,
26572084,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Cameron,Rondeau,FF,1
26572085,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Cameron,Rondeau,FR,
26572086,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Austin,Mccrum,TOT,1
26572087,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Austin,Mccrum,SOLO,
26572088,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Austin,Mccrum,SACKS,0
26572089,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Austin,Mccrum,TFL,
26572090,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Austin,Mccrum,INT,
26572091,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Austin,Mccrum,FF,
26572092,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Austin,Mccrum,FR,
26572093,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Matthew,Williams,TOT,3
26572094,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Matthew,Williams,SOLO,
26572095,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Matthew,Williams,SACKS,1
26572096,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Matthew,Williams,TFL,
26572097,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Matthew,Williams,INT,
26572098,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Matthew,Williams,FF,
26572099,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Matthew,Williams,FR,
26572100,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Owen,Gifford,TOT,3
26572101,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Owen,Gifford,SOLO,
26572102,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Owen,Gifford,SACKS,1
26572103,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Owen,Gifford,TFL,
26572104,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Owen,Gifford,INT,
26572105,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Owen,Gifford,FF,
26572106,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Owen,Gifford,FR,
26572107,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jack,Whiting,TOT,3
26572108,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jack,Whiting,SOLO,
26572109,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jack,Whiting,SACKS,2
26572110,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jack,Whiting,TFL,
26572111,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jack,Whiting,INT,
26572112,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jack,Whiting,FF,
26572113,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jack,Whiting,FR,
26572114,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jacob,Maus,TOT,3
26572115,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jacob,Maus,SOLO,
26572116,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jacob,Maus,SACKS,2
26572117,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jacob,Maus,TFL,
26572118,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jacob,Maus,INT,
26572119,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jacob,Maus,FF,
26572120,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Jacob,Maus,FR,
26572121,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Nicholas,Leahy,TOT,3
26572122,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Nicholas,Leahy,SOLO,
26572123,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Nicholas,Leahy,SACKS,1
26572124,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Nicholas,Leahy,TFL,
26572125,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Nicholas,Leahy,INT,
26572126,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Nicholas,Leahy,FF,
26572127,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Nicholas,Leahy,FR,
26572128,10/27/2018,D-III,Bowdoin,Wesleyan (CT),DEFENSE,Harrison,Craig,TOT,2
