ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26599001,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Pj,Settles,ATT,20
26599002,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Pj,Settles,YDS,125
26599003,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Pj,Settles,TD,2
26599004,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Pj,Settles,LONG,26
26599005,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Monroe,Mckay,ATT,10
26599006,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Monroe,Mckay,YDS,70
26599007,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Monroe,Mckay,TD,0
26599008,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Monroe,Mckay,LONG,20
26599009,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Dontae,Gray,ATT,9
26599010,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Dontae,Gray,YDS,48
26599011,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Dontae,Gray,TD,0
26599012,10/27/2018,D-III,Rhodes,Sewanee,RUSHING,Dontae,Gray,LONG,12
26599013,10/27/2018,D-III,Rhodes,Sewanee,PASSING,Pj,Settles,CP-ATT-INT,14-24-2
26599014,10/27/2018,D-III,Rhodes,Sewanee,PASSING,Pj,Settles,YDS,198
26599015,10/27/2018,D-III,Rhodes,Sewanee,PASSING,Pj,Settles,TD,0
26599016,10/27/2018,D-III,Rhodes,Sewanee,PASSING,Pj,Settles,LONG,45
26599017,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Adam,Martinez,REC,4
26599018,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Adam,Martinez,YDS,81
26599019,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Adam,Martinez,TD,0
26599020,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Adam,Martinez,LONG,45
26599021,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Jace,Franklin,REC,2
26599022,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Jace,Franklin,YDS,34
26599023,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Jace,Franklin,TD,0
26599024,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Jace,Franklin,LONG,28
26599025,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Andrew,Herring,REC,1
26599026,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Andrew,Herring,YDS,32
26599027,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Andrew,Herring,TD,0
26599028,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Andrew,Herring,LONG,32
26599029,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Morgan,Koff,REC,3
26599030,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Morgan,Koff,YDS,24
26599031,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Morgan,Koff,TD,0
26599032,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Morgan,Koff,LONG,19
26599033,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Josh,Lucas,REC,3
26599034,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Josh,Lucas,YDS,23
26599035,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Josh,Lucas,TD,0
26599036,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Josh,Lucas,LONG,16
26599037,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Charlie,Mackey,REC,1
26599038,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Charlie,Mackey,YDS,4
26599039,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Charlie,Mackey,TD,0
26599040,10/27/2018,D-III,Rhodes,Sewanee,RECEIVING,Charlie,Mackey,LONG,4
26599041,10/27/2018,D-III,Rhodes,Sewanee,PUNTING,Cameron,Cluney,NO,4
26599042,10/27/2018,D-III,Rhodes,Sewanee,PUNTING,Cameron,Cluney,YDS,137
26599043,10/27/2018,D-III,Rhodes,Sewanee,PUNTING,Cameron,Cluney,AVG,34.3
26599044,10/27/2018,D-III,Rhodes,Sewanee,PUNTING,Cameron,Cluney,LONG,40
26599045,10/27/2018,D-III,Rhodes,Sewanee,PUNT RETURNS,,Team,NO,1
26599046,10/27/2018,D-III,Rhodes,Sewanee,PUNT RETURNS,,Team,YDS,9
26599047,10/27/2018,D-III,Rhodes,Sewanee,PUNT RETURNS,,Team,AVG,9.0
26599048,10/27/2018,D-III,Rhodes,Sewanee,PUNT RETURNS,,Team,LONG,0
26599049,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Hudson,Taylor,NO,3
26599050,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Hudson,Taylor,YDS,47
26599051,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Hudson,Taylor,AVG,15.7
26599052,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Hudson,Taylor,LONG,19
26599053,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Micah,Battle,NO,1
26599054,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Micah,Battle,YDS,11
26599055,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Micah,Battle,AVG,11.0
26599056,10/27/2018,D-III,Rhodes,Sewanee,KICK RETURNS,Micah,Battle,LONG,11
