ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26737001,11/10/2018,D-III,Olivet,Albion,RUSHING,Jamaul,Martin,ATT,22
26737002,11/10/2018,D-III,Olivet,Albion,RUSHING,Jamaul,Martin,YDS,87
26737003,11/10/2018,D-III,Olivet,Albion,RUSHING,Jamaul,Martin,TD,2
26737004,11/10/2018,D-III,Olivet,Albion,RUSHING,Jamaul,Martin,LONG,12
26737005,11/10/2018,D-III,Olivet,Albion,RUSHING,Matthew,Ellis,ATT,14
26737006,11/10/2018,D-III,Olivet,Albion,RUSHING,Matthew,Ellis,YDS,80
26737007,11/10/2018,D-III,Olivet,Albion,RUSHING,Matthew,Ellis,TD,1
26737008,11/10/2018,D-III,Olivet,Albion,RUSHING,Matthew,Ellis,LONG,15
26737009,11/10/2018,D-III,Olivet,Albion,RUSHING,,Team,ATT,1
26737010,11/10/2018,D-III,Olivet,Albion,RUSHING,,Team,YDS,-1
26737011,11/10/2018,D-III,Olivet,Albion,RUSHING,,Team,TD,0
26737012,11/10/2018,D-III,Olivet,Albion,RUSHING,,Team,LONG,0
26737013,11/10/2018,D-III,Olivet,Albion,RUSHING,Lane,Porter,ATT,6
26737014,11/10/2018,D-III,Olivet,Albion,RUSHING,Lane,Porter,YDS,-12
26737015,11/10/2018,D-III,Olivet,Albion,RUSHING,Lane,Porter,TD,0
26737016,11/10/2018,D-III,Olivet,Albion,RUSHING,Lane,Porter,LONG,11
26737017,11/10/2018,D-III,Olivet,Albion,PASSING,Lane,Porter,CP-ATT-INT,18-36-2
26737018,11/10/2018,D-III,Olivet,Albion,PASSING,Lane,Porter,YDS,228
26737019,11/10/2018,D-III,Olivet,Albion,PASSING,Lane,Porter,TD,0
26737020,11/10/2018,D-III,Olivet,Albion,PASSING,Lane,Porter,LONG,50
26737021,11/10/2018,D-III,Olivet,Albion,PASSING,Trenton,Monroe,CP-ATT-INT,1-1-0
26737022,11/10/2018,D-III,Olivet,Albion,PASSING,Trenton,Monroe,YDS,17
26737023,11/10/2018,D-III,Olivet,Albion,PASSING,Trenton,Monroe,TD,0
26737024,11/10/2018,D-III,Olivet,Albion,PASSING,Trenton,Monroe,LONG,17
26737025,11/10/2018,D-III,Olivet,Albion,RECEIVING,Jacob,Jodway,REC,7
26737026,11/10/2018,D-III,Olivet,Albion,RECEIVING,Jacob,Jodway,YDS,97
26737027,11/10/2018,D-III,Olivet,Albion,RECEIVING,Jacob,Jodway,TD,0
26737028,11/10/2018,D-III,Olivet,Albion,RECEIVING,Jacob,Jodway,LONG,50
26737029,11/10/2018,D-III,Olivet,Albion,RECEIVING,Chris,Talbott,REC,5
26737030,11/10/2018,D-III,Olivet,Albion,RECEIVING,Chris,Talbott,YDS,78
26737031,11/10/2018,D-III,Olivet,Albion,RECEIVING,Chris,Talbott,TD,0
26737032,11/10/2018,D-III,Olivet,Albion,RECEIVING,Chris,Talbott,LONG,35
26737033,11/10/2018,D-III,Olivet,Albion,RECEIVING,Matthew,Ellis,REC,4
26737034,11/10/2018,D-III,Olivet,Albion,RECEIVING,Matthew,Ellis,YDS,42
26737035,11/10/2018,D-III,Olivet,Albion,RECEIVING,Matthew,Ellis,TD,0
26737036,11/10/2018,D-III,Olivet,Albion,RECEIVING,Matthew,Ellis,LONG,17
26737037,11/10/2018,D-III,Olivet,Albion,RECEIVING,Ta'mar,Heart-wi,REC,2
