ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26838001,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Lamar,Carswell,ATT,25
26838002,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Lamar,Carswell,YDS,359
26838003,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Lamar,Carswell,TD,4
26838004,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Lamar,Carswell,LONG,83
26838005,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Andrew,Duckett,ATT,8
26838006,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Andrew,Duckett,YDS,42
26838007,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Andrew,Duckett,TD,1
26838008,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Andrew,Duckett,LONG,17
26838009,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Brandon,Winters,ATT,10
26838010,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Brandon,Winters,YDS,38
26838011,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Brandon,Winters,TD,0
26838012,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Brandon,Winters,LONG,8
26838013,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,D&#39;on,Stinso,ATT,2
26838014,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,D&#39;on,Stinso,YDS,8
26838015,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,D&#39;on,Stinso,TD,0
26838016,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,D&#39;on,Stinso,LONG,4
26838017,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Seth,Boggs,ATT,1
26838018,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Seth,Boggs,YDS,5
26838019,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Seth,Boggs,TD,0
26838020,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,Seth,Boggs,LONG,5
26838021,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,,Team,ATT,2
26838022,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,,Team,YDS,-3
26838023,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,,Team,TD,0
26838024,11/10/2018,D-III,Trine,Kalamazoo,RUSHING,,Team,LONG,0
26838025,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Brandon,Winters,CP-ATT-INT,6-10-1
26838026,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Brandon,Winters,YDS,107
26838027,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Brandon,Winters,TD,2
26838028,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Brandon,Winters,LONG,45
26838029,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Andrew,Duckett,CP-ATT-INT,1-1-0
26838030,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Andrew,Duckett,YDS,31
26838031,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Andrew,Duckett,TD,0
26838032,11/10/2018,D-III,Trine,Kalamazoo,PASSING,Andrew,Duckett,LONG,31
26838033,11/10/2018,D-III,Trine,Kalamazoo,PASSING,,Team,CP-ATT-INT,0-1-0
26838034,11/10/2018,D-III,Trine,Kalamazoo,PASSING,,Team,YDS,0
26838035,11/10/2018,D-III,Trine,Kalamazoo,PASSING,,Team,TD,0
26838036,11/10/2018,D-III,Trine,Kalamazoo,PASSING,,Team,LONG,0
26838037,11/10/2018,D-III,Trine,Kalamazoo,RECEIVING,Jeffery,Barnett,REC,3
26838038,11/10/2018,D-III,Trine,Kalamazoo,RECEIVING,Jeffery,Barnett,YDS,73
26838039,11/10/2018,D-III,Trine,Kalamazoo,RECEIVING,Jeffery,Barnett,TD,1
26838040,11/10/2018,D-III,Trine,Kalamazoo,RECEIVING,Jeffery,Barnett,LONG,31
26838041,11/10/2018,D-III,Trine,Kalamazoo,RECEIVING,Jacob,Chesney,REC,1
26838042,11/10/2018,D-III,Trine,Kalamazoo,RECEIVING,Jacob,Chesney,YDS,45
26838043,11/10/2018,D-III,Trine,Kalamazoo,RECEIVING,Jacob,Chesney,TD,1
