ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26885001,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Nasir,Smith,ATT,27
26885002,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Nasir,Smith,YDS,160
26885003,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Nasir,Smith,TD,1
26885004,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Nasir,Smith,LONG,61
26885005,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Aaron,Griffin,ATT,5
26885006,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Aaron,Griffin,YDS,55
26885007,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Aaron,Griffin,TD,0
26885008,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Aaron,Griffin,LONG,41
26885009,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Ben,Burk,ATT,3
26885010,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Ben,Burk,YDS,24
26885011,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Ben,Burk,TD,0
26885012,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Ben,Burk,LONG,13
26885013,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Casey,Boston,ATT,2
26885014,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Casey,Boston,YDS,0
26885015,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Casey,Boston,TD,0
26885016,11/17/2018,D-III,Alfred,Salisbury,RUSHING,Casey,Boston,LONG,3
26885017,11/17/2018,D-III,Alfred,Salisbury,RUSHING,,Team,ATT,1
26885018,11/17/2018,D-III,Alfred,Salisbury,RUSHING,,Team,YDS,-2
26885019,11/17/2018,D-III,Alfred,Salisbury,RUSHING,,Team,TD,0
26885020,11/17/2018,D-III,Alfred,Salisbury,RUSHING,,Team,LONG,0
26885021,11/17/2018,D-III,Alfred,Salisbury,PASSING,Ben,Burk,CP-ATT-INT,10-16-0
26885022,11/17/2018,D-III,Alfred,Salisbury,PASSING,Ben,Burk,YDS,118
