ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26876001,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Napoleon,Miller,ATT,1
26876002,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Napoleon,Miller,YDS,13
26876003,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Napoleon,Miller,TD,1
26876004,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Napoleon,Miller,LONG,13
26876005,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,S,Robert,ATT,2
26876006,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,S,Robert,YDS,3
26876007,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,S,Robert,TD,0
26876008,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,S,Robert,LONG,6
26876009,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Rufus,Rushins,ATT,3
26876010,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Rufus,Rushins,YDS,3
26876011,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Rufus,Rushins,TD,1
26876012,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Rufus,Rushins,LONG,1
26876013,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Quron,Wright,ATT,4
26876014,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Quron,Wright,YDS,-5
26876015,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Quron,Wright,TD,0
26876016,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Quron,Wright,LONG,3
26876017,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Adam,Wojenski,ATT,9
26876018,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Adam,Wojenski,YDS,-11
26876019,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Adam,Wojenski,TD,0
26876020,11/17/2018,D-III,Framingham St.,Brockport,RUSHING,Adam,Wojenski,LONG,10
26876021,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Adam,Wojenski,CP-ATT-INT,28-58-3
26876022,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Adam,Wojenski,YDS,450
26876023,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Adam,Wojenski,TD,2
26876024,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Adam,Wojenski,LONG,57
26876025,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Nasir,Thomas,CP-ATT-INT,0-1-0
26876026,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Nasir,Thomas,YDS,0
26876027,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Nasir,Thomas,TD,0
26876028,11/17/2018,D-III,Framingham St.,Brockport,PASSING,Nasir,Thomas,LONG,0
26876029,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,M,Calicchio,REC,11
26876030,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,M,Calicchio,YDS,135
26876031,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,M,Calicchio,TD,0
26876032,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,M,Calicchio,LONG,24
26876033,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Joseph,REC,4
26876034,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Joseph,YDS,100
26876035,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Joseph,TD,2
26876036,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Joseph,LONG,57
26876037,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Napoleon,Miller,REC,6
26876038,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Napoleon,Miller,YDS,89
26876039,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Napoleon,Miller,TD,0
26876040,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Napoleon,Miller,LONG,26
26876041,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Robert,REC,1
26876042,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Robert,YDS,63
26876043,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Robert,TD,0
26876044,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,S,Robert,LONG,4
26876045,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Nasir,Thomas,REC,4
26876046,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Nasir,Thomas,YDS,47
26876047,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Nasir,Thomas,TD,0
26876048,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Nasir,Thomas,LONG,18
26876049,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Morgan,Mulkerin,REC,1
26876050,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Morgan,Mulkerin,YDS,15
26876051,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Morgan,Mulkerin,TD,0
26876052,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Morgan,Mulkerin,LONG,15
26876053,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Mikael,Brown,REC,1
26876054,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Mikael,Brown,YDS,3
26876055,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Mikael,Brown,TD,0
26876056,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Mikael,Brown,LONG,3
26876057,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Adam,Wojenski,REC,0
26876058,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Adam,Wojenski,YDS,-2
26876059,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Adam,Wojenski,TD,0
26876060,11/17/2018,D-III,Framingham St.,Brockport,RECEIVING,Adam,Wojenski,LONG,0
26876061,11/17/2018,D-III,Framingham St.,Brockport,PUNTING,Henrique,Deboni,NO,3
26876062,11/17/2018,D-III,Framingham St.,Brockport,PUNTING,Henrique,Deboni,YDS,94
26876063,11/17/2018,D-III,Framingham St.,Brockport,PUNTING,Henrique,Deboni,AVG,31.3
26876064,11/17/2018,D-III,Framingham St.,Brockport,PUNTING,Henrique,Deboni,LONG,37
