ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26735001,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Quron,Wright,ATT,17
26735002,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Quron,Wright,YDS,169
26735003,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Quron,Wright,TD,1
26735004,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Quron,Wright,LONG,26
26735005,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Adam,Wojenski,ATT,12
26735006,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Adam,Wojenski,YDS,60
26735007,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Adam,Wojenski,TD,0
26735008,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Adam,Wojenski,LONG,17
26735009,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Rufus,Rushins,ATT,12
26735010,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Rufus,Rushins,YDS,50
26735011,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Rufus,Rushins,TD,4
26735012,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Rufus,Rushins,LONG,13
26735013,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Napoleon,Miller,ATT,7
26735014,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Napoleon,Miller,YDS,43
26735015,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Napoleon,Miller,TD,0
26735016,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,Napoleon,Miller,LONG,16
26735017,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,S,Robert,ATT,10
26735018,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,S,Robert,YDS,34
26735019,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,S,Robert,TD,0
26735020,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,S,Robert,LONG,14
26735021,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,,Team,ATT,1
26735022,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,,Team,YDS,-32
26735023,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,,Team,TD,0
26735024,11/3/2018,D-III,Framingham St.,Western Conn. St.,RUSHING,,Team,LONG,0
26735025,11/3/2018,D-III,Framingham St.,Western Conn. St.,PASSING,Adam,Wojenski,CP-ATT-INT,7-13-0
26735026,11/3/2018,D-III,Framingham St.,Western Conn. St.,PASSING,Adam,Wojenski,YDS,56
26735027,11/3/2018,D-III,Framingham St.,Western Conn. St.,PASSING,Adam,Wojenski,TD,0
26735028,11/3/2018,D-III,Framingham St.,Western Conn. St.,PASSING,Adam,Wojenski,LONG,17
26735029,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,M,Calicchio,REC,2
26735030,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,M,Calicchio,YDS,32
26735031,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,M,Calicchio,TD,0
26735032,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,M,Calicchio,LONG,17
26735033,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Joseph,REC,1
26735034,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Joseph,YDS,12
26735035,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Joseph,TD,0
26735036,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Joseph,LONG,12
26735037,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Morgan,Mulkerin,REC,1
26735038,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Morgan,Mulkerin,YDS,6
26735039,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Morgan,Mulkerin,TD,0
26735040,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Morgan,Mulkerin,LONG,6
26735041,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Robert,REC,1
26735042,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Robert,YDS,4
26735043,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Robert,TD,0
26735044,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,S,Robert,LONG,4
26735045,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Napoleon,Miller,REC,1
26735046,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Napoleon,Miller,YDS,3
26735047,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Napoleon,Miller,TD,0
26735048,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Napoleon,Miller,LONG,3
26735049,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Quron,Wright,REC,1
26735050,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Quron,Wright,YDS,-1
26735051,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Quron,Wright,TD,0
26735052,11/3/2018,D-III,Framingham St.,Western Conn. St.,RECEIVING,Quron,Wright,LONG,0
26735053,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNTING,Henrique,Deboni,NO,3
26735054,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNTING,Henrique,Deboni,YDS,65
26735055,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNTING,Henrique,Deboni,AVG,21.7
26735056,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNTING,Henrique,Deboni,LONG,34
26735057,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Rashaun,Rivers,NO,1
26735058,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Rashaun,Rivers,YDS,11
26735059,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Rashaun,Rivers,AVG,11.0
26735060,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Rashaun,Rivers,LONG,0
26735061,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Nasir,Thomas,NO,1
26735062,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Nasir,Thomas,YDS,0
26735063,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Nasir,Thomas,AVG,0.0
26735064,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Nasir,Thomas,LONG,0
26735065,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Cawin,Dixon,NO,0
26735066,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Cawin,Dixon,YDS,23
26735067,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Cawin,Dixon,AVG,-
26735068,11/3/2018,D-III,Framingham St.,Western Conn. St.,PUNT RETURNS,Cawin,Dixon,LONG,23
26735069,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Quron,Wright,NO,1
26735070,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Quron,Wright,YDS,18
26735071,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Quron,Wright,AVG,18.0
26735072,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Quron,Wright,LONG,18
26735073,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Jodens,Didie,NO,1
26735074,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Jodens,Didie,YDS,16
26735075,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Jodens,Didie,AVG,16.0
26735076,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Jodens,Didie,LONG,16
26735077,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Nasir,Thomas,NO,1
26735078,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Nasir,Thomas,YDS,25
26735079,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Nasir,Thomas,AVG,25.0
26735080,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Nasir,Thomas,LONG,25
26735081,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Gerell,Boyce,NO,1
26735082,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Gerell,Boyce,YDS,0
26735083,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Gerell,Boyce,AVG,0.0
26735084,11/3/2018,D-III,Framingham St.,Western Conn. St.,KICK RETURNS,Gerell,Boyce,LONG,0
26735085,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,M,Calicchio,TOT,2
26735086,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,M,Calicchio,SOLO,
26735087,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,M,Calicchio,SACKS,0
26735088,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,M,Calicchio,TFL,
26735089,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,M,Calicchio,INT,
26735090,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,M,Calicchio,FF,
26735091,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,M,Calicchio,FR,
26735092,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Rashaun,Rivers,TOT,
26735093,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Rashaun,Rivers,SOLO,
26735094,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Rashaun,Rivers,SACKS,
26735095,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Rashaun,Rivers,TFL,1
26735096,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Rashaun,Rivers,INT,
26735097,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Rashaun,Rivers,FF,
26735098,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Rashaun,Rivers,FR,
26735099,11/3/2018,D-III,Framingham St.,Western Conn. St.,DEFENSE,Kenneth,Bartolo,TOT,2
