ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25636001,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ben,Danielson,ATT,13
25636002,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ben,Danielson,YDS,36
25636003,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ben,Danielson,TD,1
25636004,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ben,Danielson,LONG,10
25636005,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Vernon,Green,ATT,16
25636006,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Vernon,Green,YDS,35
25636007,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Vernon,Green,TD,1
25636008,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Vernon,Green,LONG,5
25636009,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Khayleb,Willis,ATT,7
25636010,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Khayleb,Willis,YDS,30
25636011,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Khayleb,Willis,TD,1
25636012,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Khayleb,Willis,LONG,13
25636013,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ri,Johnsoniii,ATT,1
25636014,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ri,Johnsoniii,YDS,11
25636015,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ri,Johnsoniii,TD,0
25636016,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Ri,Johnsoniii,LONG,11
25636017,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Tariq,Abrams,ATT,2
25636018,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Tariq,Abrams,YDS,-3
25636019,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Tariq,Abrams,TD,0
25636020,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Tariq,Abrams,LONG,0
25636021,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Luke,Calkins,ATT,1
25636022,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Luke,Calkins,YDS,-12
25636023,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Luke,Calkins,TD,0
25636024,8/31/2018,D-III,St. Olaf,Crown (MN),RUSHING,Luke,Calkins,LONG,0
25636025,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Ri,Johnsoniii,CP-ATT-INT,18-32-0
25636026,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Ri,Johnsoniii,YDS,298
25636027,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Ri,Johnsoniii,TD,4
25636028,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Ri,Johnsoniii,LONG,51
25636029,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Lars,Prestemon,CP-ATT-INT,1-1-0
25636030,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Lars,Prestemon,YDS,8
25636031,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Lars,Prestemon,TD,0
25636032,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Lars,Prestemon,LONG,8
25636033,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Luke,Calkins,CP-ATT-INT,0-1-0
25636034,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Luke,Calkins,YDS,0
25636035,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Luke,Calkins,TD,0
25636036,8/31/2018,D-III,St. Olaf,Crown (MN),PASSING,Luke,Calkins,LONG,0
25636037,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gabriel,Alada,REC,5
25636038,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gabriel,Alada,YDS,119
25636039,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gabriel,Alada,TD,2
25636040,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gabriel,Alada,LONG,44
25636041,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gonzalo,Pirela,REC,6
25636042,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gonzalo,Pirela,YDS,76
25636043,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gonzalo,Pirela,TD,1
25636044,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Gonzalo,Pirela,LONG,25
25636045,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Ben,Smithson,REC,2
25636046,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Ben,Smithson,YDS,56
25636047,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Ben,Smithson,TD,1
25636048,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Ben,Smithson,LONG,51
25636049,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Khayleb,Willis,REC,3
25636050,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Khayleb,Willis,YDS,28
25636051,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Khayleb,Willis,TD,0
25636052,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Khayleb,Willis,LONG,19
25636053,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Noah,Johnson,REC,2
25636054,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Noah,Johnson,YDS,19
25636055,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Noah,Johnson,TD,0
25636056,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Noah,Johnson,LONG,11
25636057,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Isaac,Coutier,REC,1
25636058,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Isaac,Coutier,YDS,8
25636059,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Isaac,Coutier,TD,0
25636060,8/31/2018,D-III,St. Olaf,Crown (MN),RECEIVING,Isaac,Coutier,LONG,8
25636061,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Ri,Johnsoniii,NO,1
25636062,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Ri,Johnsoniii,YDS,37
25636063,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Ri,Johnsoniii,AVG,37.0
25636064,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Ri,Johnsoniii,LONG,37
25636065,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Noah,Johnson,NO,5
25636066,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Noah,Johnson,YDS,209
25636067,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Noah,Johnson,AVG,41.8
25636068,8/31/2018,D-III,St. Olaf,Crown (MN),PUNTING,Noah,Johnson,LONG,60
25636069,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Isaac,Coutier,NO,1
25636070,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Isaac,Coutier,YDS,5
25636071,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Isaac,Coutier,AVG,5.0
25636072,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Isaac,Coutier,LONG,5
25636073,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Jacob,Ossell,NO,3
25636074,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Jacob,Ossell,YDS,-6
25636075,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Jacob,Ossell,AVG,-2.0
25636076,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Jacob,Ossell,LONG,0
25636077,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Daniel,Nichols,NO,1
25636078,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Daniel,Nichols,YDS,0
25636079,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Daniel,Nichols,AVG,0.0
25636080,8/31/2018,D-III,St. Olaf,Crown (MN),PUNT RETURNS,Daniel,Nichols,LONG,0
25636081,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Max,Karpinske,NO,1
25636082,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Max,Karpinske,YDS,26
25636083,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Max,Karpinske,AVG,26.0
25636084,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Max,Karpinske,LONG,26
25636085,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Isaac,Coutier,NO,1
25636086,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Isaac,Coutier,YDS,24
25636087,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Isaac,Coutier,AVG,24.0
25636088,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Isaac,Coutier,LONG,24
25636089,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Nick,Sabatino,NO,1
25636090,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Nick,Sabatino,YDS,21
25636091,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Nick,Sabatino,AVG,21.0
25636092,8/31/2018,D-III,St. Olaf,Crown (MN),KICK RETURNS,Nick,Sabatino,LONG,21
25636093,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jacob,Ossell,TOT,2
25636094,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jacob,Ossell,SOLO,
25636095,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jacob,Ossell,SACKS,1
25636096,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jacob,Ossell,TFL,
25636097,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jacob,Ossell,INT,
25636098,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jacob,Ossell,FF,
25636099,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jacob,Ossell,FR,1
25636100,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Luke,Dahl,TOT,6
25636101,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Luke,Dahl,SOLO,
25636102,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Luke,Dahl,SACKS,1
25636103,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Luke,Dahl,TFL,
25636104,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Luke,Dahl,INT,
25636105,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Luke,Dahl,FF,
25636106,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Luke,Dahl,FR,0
25636107,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Shiloh,Goodwin,TOT,5
25636108,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Shiloh,Goodwin,SOLO,
25636109,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Shiloh,Goodwin,SACKS,0
25636110,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Shiloh,Goodwin,TFL,
25636111,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Shiloh,Goodwin,INT,
25636112,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Shiloh,Goodwin,FF,
25636113,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Shiloh,Goodwin,FR,0
25636114,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Daniel,Nichols,TOT,2
25636115,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Daniel,Nichols,SOLO,
25636116,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Daniel,Nichols,SACKS,2
25636117,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Daniel,Nichols,TFL,
25636118,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Daniel,Nichols,INT,
25636119,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Daniel,Nichols,FF,
25636120,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Daniel,Nichols,FR,
25636121,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Nick,Sabatino,TOT,2
25636122,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Nick,Sabatino,SOLO,
25636123,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Nick,Sabatino,SACKS,2
25636124,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Nick,Sabatino,TFL,
25636125,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Nick,Sabatino,INT,
25636126,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Nick,Sabatino,FF,1
25636127,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Nick,Sabatino,FR,
25636128,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Derrick,Lincoln,TOT,1
25636129,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Derrick,Lincoln,SOLO,
25636130,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Derrick,Lincoln,SACKS,1
25636131,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Derrick,Lincoln,TFL,
25636132,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Derrick,Lincoln,INT,
25636133,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Derrick,Lincoln,FF,
25636134,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Derrick,Lincoln,FR,
25636135,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Josh,Vannornam,TOT,7
25636136,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Josh,Vannornam,SOLO,
25636137,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Josh,Vannornam,SACKS,1
25636138,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Josh,Vannornam,TFL,
25636139,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Josh,Vannornam,INT,
25636140,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Josh,Vannornam,FF,
25636141,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Josh,Vannornam,FR,1
25636142,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Brandon,Foster,TOT,4
25636143,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Brandon,Foster,SOLO,
25636144,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Brandon,Foster,SACKS,3
25636145,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Brandon,Foster,TFL,
25636146,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Brandon,Foster,INT,
25636147,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Brandon,Foster,FF,
25636148,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Brandon,Foster,FR,1
25636149,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Oliver,West,TOT,3
25636150,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Oliver,West,SOLO,
25636151,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Oliver,West,SACKS,3
25636152,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Oliver,West,TFL,
25636153,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Oliver,West,INT,
25636154,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Oliver,West,FF,
25636155,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Oliver,West,FR,
25636156,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Tommy,Fleetham,TOT,3
25636157,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Tommy,Fleetham,SOLO,
25636158,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Tommy,Fleetham,SACKS,2
25636159,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Tommy,Fleetham,TFL,
25636160,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Tommy,Fleetham,INT,
25636161,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Tommy,Fleetham,FF,
25636162,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Tommy,Fleetham,FR,
25636163,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Keaton,Aronson,TOT,2
25636164,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Keaton,Aronson,SOLO,
25636165,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Keaton,Aronson,SACKS,0
25636166,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Keaton,Aronson,TFL,
25636167,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Keaton,Aronson,INT,
25636168,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Keaton,Aronson,FF,
25636169,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Keaton,Aronson,FR,0
25636170,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ridley,Weeks,TOT,1
25636171,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ridley,Weeks,SOLO,
25636172,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ridley,Weeks,SACKS,1
25636173,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ridley,Weeks,TFL,
25636174,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ridley,Weeks,INT,
25636175,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ridley,Weeks,FF,
25636176,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ridley,Weeks,FR,
25636177,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Stephon,Kindle,TOT,
25636178,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Stephon,Kindle,SOLO,
25636179,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Stephon,Kindle,SACKS,
25636180,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Stephon,Kindle,TFL,
25636181,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Stephon,Kindle,INT,
25636182,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Stephon,Kindle,FF,1
25636183,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Stephon,Kindle,FR,
25636184,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Eddie,Bryson,TOT,1
25636185,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Eddie,Bryson,SOLO,
25636186,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Eddie,Bryson,SACKS,0
25636187,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Eddie,Bryson,TFL,
25636188,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Eddie,Bryson,INT,
25636189,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Eddie,Bryson,FF,
25636190,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Eddie,Bryson,FR,
25636191,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Noah,Langley,TOT,2
25636192,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Noah,Langley,SOLO,
25636193,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Noah,Langley,SACKS,1
25636194,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Noah,Langley,TFL,
25636195,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Noah,Langley,INT,
25636196,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Noah,Langley,FF,
25636197,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Noah,Langley,FR,
25636198,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Sam,Stuckmayer,TOT,4
25636199,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Sam,Stuckmayer,SOLO,
25636200,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Sam,Stuckmayer,SACKS,0
25636201,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Sam,Stuckmayer,TFL,
25636202,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Sam,Stuckmayer,INT,
25636203,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Sam,Stuckmayer,FF,
25636204,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Sam,Stuckmayer,FR,0
25636205,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Lars,Stevenson,TOT,1
25636206,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Lars,Stevenson,SOLO,
25636207,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Lars,Stevenson,SACKS,1
25636208,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Lars,Stevenson,TFL,
25636209,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Lars,Stevenson,INT,1
25636210,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Lars,Stevenson,FF,
25636211,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Lars,Stevenson,FR,
25636212,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ben,Smithson,TOT,1
25636213,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ben,Smithson,SOLO,
25636214,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ben,Smithson,SACKS,1
25636215,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ben,Smithson,TFL,
25636216,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ben,Smithson,INT,
25636217,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ben,Smithson,FF,
25636218,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Ben,Smithson,FR,
25636219,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Devin,Murphy,TOT,1
25636220,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Devin,Murphy,SOLO,
25636221,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Devin,Murphy,SACKS,0
25636222,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Devin,Murphy,TFL,
25636223,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Devin,Murphy,INT,
25636224,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Devin,Murphy,FF,
25636225,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Devin,Murphy,FR,
25636226,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,L,Ferreira,TOT,4
25636227,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,L,Ferreira,SOLO,
25636228,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,L,Ferreira,SACKS,1
25636229,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,L,Ferreira,TFL,
25636230,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,L,Ferreira,INT,
25636231,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,L,Ferreira,FF,
25636232,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,L,Ferreira,FR,
25636233,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jordan,King,TOT,2
25636234,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jordan,King,SOLO,
25636235,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jordan,King,SACKS,1
25636236,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jordan,King,TFL,
25636237,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jordan,King,INT,
25636238,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jordan,King,FF,
25636239,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Jordan,King,FR,
25636240,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Marquis,Ross,TOT,2
25636241,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Marquis,Ross,SOLO,
25636242,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Marquis,Ross,SACKS,1
25636243,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Marquis,Ross,TFL,
25636244,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Marquis,Ross,INT,
25636245,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Marquis,Ross,FF,
25636246,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,Marquis,Ross,FR,1
25636247,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,J,Bartholomew,TOT,3
25636248,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,J,Bartholomew,SOLO,
25636249,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,J,Bartholomew,SACKS,2
25636250,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,J,Bartholomew,TFL,
25636251,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,J,Bartholomew,INT,
25636252,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,J,Bartholomew,FF,
25636253,8/31/2018,D-III,St. Olaf,Crown (MN),DEFENSE,J,Bartholomew,FR,1
25636254,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Devin,Westbrook,ATT,1
25636255,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Devin,Westbrook,YDS,6
25636256,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Devin,Westbrook,TD,0
25636257,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Devin,Westbrook,LONG,6
25636258,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Avory,Caruthers,ATT,4
25636259,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Avory,Caruthers,YDS,5
25636260,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Avory,Caruthers,TD,0
25636261,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Avory,Caruthers,LONG,4
25636262,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Chris,Simpson,ATT,4
25636263,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Chris,Simpson,YDS,1
25636264,8/31/2018,D-III,Crown (MN),St. Olaf,RUSHING,Chris,Simpson,TD,0
