ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25837001,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Ryan,Jones,ATT,17
25837002,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Ryan,Jones,YDS,108
25837003,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Ryan,Jones,TD,1
25837004,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Ryan,Jones,LONG,17
25837005,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Chris,Gardner,ATT,19
25837006,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Chris,Gardner,YDS,75
25837007,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Chris,Gardner,TD,2
25837008,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Chris,Gardner,LONG,18
25837009,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jon,Wagner,ATT,1
25837010,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jon,Wagner,YDS,32
25837011,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jon,Wagner,TD,0
25837012,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jon,Wagner,LONG,32
25837013,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Justin,Moffatt,ATT,3
25837014,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Justin,Moffatt,YDS,11
25837015,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Justin,Moffatt,TD,0
25837016,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Justin,Moffatt,LONG,6
25837017,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jay,Griffin,ATT,2
25837018,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jay,Griffin,YDS,4
25837019,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jay,Griffin,TD,0
25837020,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,Jay,Griffin,LONG,3
25837021,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,,Team,ATT,1
25837022,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,,Team,YDS,-1
25837023,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,,Team,TD,0
25837024,9/14/2018,D-III,Coast Guard,Nichols,RUSHING,,Team,LONG,0
25837025,9/14/2018,D-III,Coast Guard,Nichols,PASSING,Ryan,Jones,CP-ATT-INT,4-13-1
25837026,9/14/2018,D-III,Coast Guard,Nichols,PASSING,Ryan,Jones,YDS,72
25837027,9/14/2018,D-III,Coast Guard,Nichols,PASSING,Ryan,Jones,TD,0
25837028,9/14/2018,D-III,Coast Guard,Nichols,PASSING,Ryan,Jones,LONG,31
25837029,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Liam,Middleton,REC,2
25837030,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Liam,Middleton,YDS,40
25837031,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Liam,Middleton,TD,0
25837032,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Liam,Middleton,LONG,31
25837033,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Miguel,Moroles,REC,1
25837034,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Miguel,Moroles,YDS,30
25837035,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Miguel,Moroles,TD,0
25837036,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Miguel,Moroles,LONG,30
25837037,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Jon,Wagner,REC,1
25837038,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Jon,Wagner,YDS,2
25837039,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Jon,Wagner,TD,0
25837040,9/14/2018,D-III,Coast Guard,Nichols,RECEIVING,Jon,Wagner,LONG,2
25837041,9/14/2018,D-III,Coast Guard,Nichols,PUNTING,Chip,Crowley,NO,5
25837042,9/14/2018,D-III,Coast Guard,Nichols,PUNTING,Chip,Crowley,YDS,211
25837043,9/14/2018,D-III,Coast Guard,Nichols,PUNTING,Chip,Crowley,AVG,42.2
25837044,9/14/2018,D-III,Coast Guard,Nichols,PUNTING,Chip,Crowley,LONG,52
25837045,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Justin,Moffatt,NO,1
25837046,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Justin,Moffatt,YDS,1
25837047,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Justin,Moffatt,AVG,1.0
25837048,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Justin,Moffatt,LONG,0
25837049,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Chip,Crowley,NO,1
25837050,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Chip,Crowley,YDS,7
25837051,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Chip,Crowley,AVG,7.0
25837052,9/14/2018,D-III,Coast Guard,Nichols,PUNT RETURNS,Chip,Crowley,LONG,7
25837053,9/14/2018,D-III,Coast Guard,Nichols,KICK RETURNS,Chip,Crowley,NO,4
25837054,9/14/2018,D-III,Coast Guard,Nichols,KICK RETURNS,Chip,Crowley,YDS,103
25837055,9/14/2018,D-III,Coast Guard,Nichols,KICK RETURNS,Chip,Crowley,AVG,25.8
25837056,9/14/2018,D-III,Coast Guard,Nichols,KICK RETURNS,Chip,Crowley,LONG,39
25837057,9/14/2018,D-III,Coast Guard,Nichols,DEFENSE,Adam,Barnes,TOT,1
25837058,9/14/2018,D-III,Coast Guard,Nichols,DEFENSE,Adam,Barnes,SOLO,
25837059,9/14/2018,D-III,Coast Guard,Nichols,DEFENSE,Adam,Barnes,SACKS,1
25837060,9/14/2018,D-III,Coast Guard,Nichols,DEFENSE,Adam,Barnes,TFL,
25837061,9/14/2018,D-III,Coast Guard,Nichols,DEFENSE,Adam,Barnes,INT,
25837062,9/14/2018,D-III,Coast Guard,Nichols,DEFENSE,Adam,Barnes,FF,
