ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25857001,9/15/2018,D-III,Dubuque,Coe,RUSHING,Dwayne,allenJr,ATT,24
25857002,9/15/2018,D-III,Dubuque,Coe,RUSHING,Dwayne,allenJr,YDS,106
25857003,9/15/2018,D-III,Dubuque,Coe,RUSHING,Dwayne,allenJr,TD,1
25857004,9/15/2018,D-III,Dubuque,Coe,RUSHING,Dwayne,allenJr,LONG,20
25857005,9/15/2018,D-III,Dubuque,Coe,RUSHING,Bruno,Kanam,ATT,2
25857006,9/15/2018,D-III,Dubuque,Coe,RUSHING,Bruno,Kanam,YDS,42
25857007,9/15/2018,D-III,Dubuque,Coe,RUSHING,Bruno,Kanam,TD,0
25857008,9/15/2018,D-III,Dubuque,Coe,RUSHING,Bruno,Kanam,LONG,45
25857009,9/15/2018,D-III,Dubuque,Coe,RUSHING,Maurece,Herrion,ATT,9
25857010,9/15/2018,D-III,Dubuque,Coe,RUSHING,Maurece,Herrion,YDS,24
25857011,9/15/2018,D-III,Dubuque,Coe,RUSHING,Maurece,Herrion,TD,0
25857012,9/15/2018,D-III,Dubuque,Coe,RUSHING,Maurece,Herrion,LONG,14
25857013,9/15/2018,D-III,Dubuque,Coe,RUSHING,Sean,Duffy,ATT,2
25857014,9/15/2018,D-III,Dubuque,Coe,RUSHING,Sean,Duffy,YDS,4
25857015,9/15/2018,D-III,Dubuque,Coe,RUSHING,Sean,Duffy,TD,0
25857016,9/15/2018,D-III,Dubuque,Coe,RUSHING,Sean,Duffy,LONG,3
25857017,9/15/2018,D-III,Dubuque,Coe,RUSHING,,Team,ATT,1
25857018,9/15/2018,D-III,Dubuque,Coe,RUSHING,,Team,YDS,-1
25857019,9/15/2018,D-III,Dubuque,Coe,RUSHING,,Team,TD,0
25857020,9/15/2018,D-III,Dubuque,Coe,RUSHING,,Team,LONG,0
25857021,9/15/2018,D-III,Dubuque,Coe,PASSING,Sean,Duffy,CP-ATT-INT,15-22-0
25857022,9/15/2018,D-III,Dubuque,Coe,PASSING,Sean,Duffy,YDS,214
25857023,9/15/2018,D-III,Dubuque,Coe,PASSING,Sean,Duffy,TD,3
25857024,9/15/2018,D-III,Dubuque,Coe,PASSING,Sean,Duffy,LONG,48
25857025,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Kody,Riemer,REC,4
25857026,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Kody,Riemer,YDS,88
25857027,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Kody,Riemer,TD,1
25857028,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Kody,Riemer,LONG,48
25857029,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Emanuel,Jenkins,REC,4
25857030,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Emanuel,Jenkins,YDS,45
25857031,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Emanuel,Jenkins,TD,0
25857032,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Emanuel,Jenkins,LONG,13
25857033,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Aj,Hunter,REC,2
25857034,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Aj,Hunter,YDS,32
25857035,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Aj,Hunter,TD,0
25857036,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Aj,Hunter,LONG,18
25857037,9/15/2018,D-III,Dubuque,Coe,RECEIVING,K,Faamatuainu,REC,3
25857038,9/15/2018,D-III,Dubuque,Coe,RECEIVING,K,Faamatuainu,YDS,29
25857039,9/15/2018,D-III,Dubuque,Coe,RECEIVING,K,Faamatuainu,TD,2
25857040,9/15/2018,D-III,Dubuque,Coe,RECEIVING,K,Faamatuainu,LONG,22
25857041,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Dwayne,allenJr,REC,1
25857042,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Dwayne,allenJr,YDS,10
25857043,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Dwayne,allenJr,TD,0
25857044,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Dwayne,allenJr,LONG,10
25857045,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Adam,Rothas,REC,1
25857046,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Adam,Rothas,YDS,10
25857047,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Adam,Rothas,TD,0
25857048,9/15/2018,D-III,Dubuque,Coe,RECEIVING,Adam,Rothas,LONG,10
25857049,9/15/2018,D-III,Dubuque,Coe,PUNTING,Andy,Vujnovich,NO,3
25857050,9/15/2018,D-III,Dubuque,Coe,PUNTING,Andy,Vujnovich,YDS,143
25857051,9/15/2018,D-III,Dubuque,Coe,PUNTING,Andy,Vujnovich,AVG,47.7
25857052,9/15/2018,D-III,Dubuque,Coe,PUNTING,Andy,Vujnovich,LONG,55
25857053,9/15/2018,D-III,Dubuque,Coe,PUNT RETURNS,Emanuel,Jenkins,NO,2
25857054,9/15/2018,D-III,Dubuque,Coe,PUNT RETURNS,Emanuel,Jenkins,YDS,37
