ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25898001,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Justin,Masloski,ATT,11
25898002,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Justin,Masloski,YDS,64
25898003,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Justin,Masloski,TD,0
25898004,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Justin,Masloski,LONG,61
25898005,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Branden,Carlson,ATT,2
25898006,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Branden,Carlson,YDS,15
25898007,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Branden,Carlson,TD,0
25898008,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Branden,Carlson,LONG,8
25898009,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Caleb,Kemp,ATT,14
25898010,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Caleb,Kemp,YDS,4
25898011,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Caleb,Kemp,TD,0
25898012,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Caleb,Kemp,LONG,5
25898013,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Josh,Doss,ATT,3
25898014,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Josh,Doss,YDS,0
25898015,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Josh,Doss,TD,0
25898016,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Josh,Doss,LONG,1
25898017,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Sam,Hansen,ATT,3
25898018,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Sam,Hansen,YDS,-2
25898019,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Sam,Hansen,TD,0
25898020,9/15/2018,D-III,Minn.-Morris,MacMurray,RUSHING,Sam,Hansen,LONG,1
25898021,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Justin,Masloski,CP-ATT-INT,19-31-0
25898022,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Justin,Masloski,YDS,118
25898023,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Justin,Masloski,TD,0
25898024,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Justin,Masloski,LONG,16
25898025,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Josh,Doss,CP-ATT-INT,4-11-0
25898026,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Josh,Doss,YDS,25
25898027,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Josh,Doss,TD,0
25898028,9/15/2018,D-III,Minn.-Morris,MacMurray,PASSING,Josh,Doss,LONG,8
25898029,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Branden,Carlson,REC,5
25898030,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Branden,Carlson,YDS,51
25898031,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Branden,Carlson,TD,0
25898032,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Branden,Carlson,LONG,16
25898033,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Blake,Weimer,REC,10
25898034,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Blake,Weimer,YDS,46
25898035,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Blake,Weimer,TD,0
25898036,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Blake,Weimer,LONG,8
25898037,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Nathan,Sheridan,REC,7
25898038,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Nathan,Sheridan,YDS,36
25898039,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Nathan,Sheridan,TD,0
25898040,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Nathan,Sheridan,LONG,9
25898041,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Steven,Severson,REC,1
25898042,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Steven,Severson,YDS,10
25898043,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Steven,Severson,TD,0
25898044,9/15/2018,D-III,Minn.-Morris,MacMurray,RECEIVING,Steven,Severson,LONG,10
25898045,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Blake,Weimer,NO,1
25898046,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Blake,Weimer,YDS,45
25898047,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Blake,Weimer,AVG,45.0
25898048,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Blake,Weimer,LONG,45
25898049,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Drew,Shipley,NO,8
25898050,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Drew,Shipley,YDS,318
25898051,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Drew,Shipley,AVG,39.8
25898052,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNTING,Drew,Shipley,LONG,52
25898053,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Blake,Weimer,NO,1
25898054,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Blake,Weimer,YDS,-4
25898055,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Blake,Weimer,AVG,-4.0
25898056,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Blake,Weimer,LONG,0
25898057,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Carter,Geyer,NO,1
25898058,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Carter,Geyer,YDS,2
25898059,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Carter,Geyer,AVG,2.0
25898060,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Carter,Geyer,LONG,2
25898061,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Joseph,Loija,NO,1
25898062,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Joseph,Loija,YDS,9
25898063,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Joseph,Loija,AVG,9.0
25898064,9/15/2018,D-III,Minn.-Morris,MacMurray,PUNT RETURNS,Joseph,Loija,LONG,9
25898065,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Nikolas,Pahno,NO,1
25898066,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Nikolas,Pahno,YDS,9
25898067,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Nikolas,Pahno,AVG,9.0
25898068,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Nikolas,Pahno,LONG,9
25898069,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Blake,Weimer,NO,6
25898070,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Blake,Weimer,YDS,129
25898071,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Blake,Weimer,AVG,21.5
25898072,9/15/2018,D-III,Minn.-Morris,MacMurray,KICK RETURNS,Blake,Weimer,LONG,35
25898073,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Nikolas,Pahno,TOT,4
25898074,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Nikolas,Pahno,SOLO,
25898075,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Nikolas,Pahno,SACKS,3
25898076,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Nikolas,Pahno,TFL,
25898077,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Nikolas,Pahno,INT,
25898078,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Nikolas,Pahno,FF,
25898079,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Nikolas,Pahno,FR,
25898080,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Brady,Jergenson,TOT,4
25898081,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Brady,Jergenson,SOLO,
25898082,9/15/2018,D-III,Minn.-Morris,MacMurray,DEFENSE,Brady,Jergenson,SACKS,4
