ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25908001,9/15/2018,D-III,North Park,Millikin,RUSHING,,Team,ATT,13
25908002,9/15/2018,D-III,North Park,Millikin,RUSHING,,Team,YDS,47
25908003,9/15/2018,D-III,North Park,Millikin,RUSHING,,Team,TD,0
25908004,9/15/2018,D-III,North Park,Millikin,RUSHING,,Team,LONG,12
25908005,9/15/2018,D-III,North Park,Millikin,RUSHING,M,Soracco,ATT,5
25908006,9/15/2018,D-III,North Park,Millikin,RUSHING,M,Soracco,YDS,22
25908007,9/15/2018,D-III,North Park,Millikin,RUSHING,M,Soracco,TD,1
25908008,9/15/2018,D-III,North Park,Millikin,RUSHING,M,Soracco,LONG,10
25908009,9/15/2018,D-III,North Park,Millikin,RUSHING,J,Madden,ATT,7
25908010,9/15/2018,D-III,North Park,Millikin,RUSHING,J,Madden,YDS,13
25908011,9/15/2018,D-III,North Park,Millikin,RUSHING,J,Madden,TD,0
25908012,9/15/2018,D-III,North Park,Millikin,RUSHING,J,Madden,LONG,5
25908013,9/15/2018,D-III,North Park,Millikin,RUSHING,Jason,Mcgovern,ATT,7
25908014,9/15/2018,D-III,North Park,Millikin,RUSHING,Jason,Mcgovern,YDS,8
25908015,9/15/2018,D-III,North Park,Millikin,RUSHING,Jason,Mcgovern,TD,1
25908016,9/15/2018,D-III,North Park,Millikin,RUSHING,Jason,Mcgovern,LONG,14
25908017,9/15/2018,D-III,North Park,Millikin,RUSHING,Brandon,Vinson,ATT,2
25908018,9/15/2018,D-III,North Park,Millikin,RUSHING,Brandon,Vinson,YDS,-5
25908019,9/15/2018,D-III,North Park,Millikin,RUSHING,Brandon,Vinson,TD,0
25908020,9/15/2018,D-III,North Park,Millikin,RUSHING,Brandon,Vinson,LONG,0
25908021,9/15/2018,D-III,North Park,Millikin,RUSHING,A,Santillan,ATT,1
25908022,9/15/2018,D-III,North Park,Millikin,RUSHING,A,Santillan,YDS,-14
25908023,9/15/2018,D-III,North Park,Millikin,RUSHING,A,Santillan,TD,0
25908024,9/15/2018,D-III,North Park,Millikin,RUSHING,A,Santillan,LONG,0
25908025,9/15/2018,D-III,North Park,Millikin,RUSHING,Grant,Borsch,ATT,7
25908026,9/15/2018,D-III,North Park,Millikin,RUSHING,Grant,Borsch,YDS,-44
25908027,9/15/2018,D-III,North Park,Millikin,RUSHING,Grant,Borsch,TD,0
25908028,9/15/2018,D-III,North Park,Millikin,RUSHING,Grant,Borsch,LONG,0
