ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25900001,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Payton,Bowdry,ATT,18
25900002,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Payton,Bowdry,YDS,65
25900003,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Payton,Bowdry,TD,1
25900004,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Payton,Bowdry,LONG,17
25900005,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Nate,Vanbeuseko,ATT,17
25900006,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Nate,Vanbeuseko,YDS,58
25900007,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Nate,Vanbeuseko,TD,0
25900008,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Nate,Vanbeuseko,LONG,12
25900009,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Taylor,Lindahl,ATT,10
25900010,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Taylor,Lindahl,YDS,-10
25900011,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Taylor,Lindahl,TD,2
25900012,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RUSHING,Taylor,Lindahl,LONG,6
25900013,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PASSING,Taylor,Lindahl,CP-ATT-INT,13-29-2
25900014,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PASSING,Taylor,Lindahl,YDS,191
25900015,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PASSING,Taylor,Lindahl,TD,0
25900016,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PASSING,Taylor,Lindahl,LONG,30
25900017,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Evan,Pruitt,REC,4
25900018,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Evan,Pruitt,YDS,60
25900019,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Evan,Pruitt,TD,0
25900020,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Evan,Pruitt,LONG,28
25900021,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Caleb,Sieben,REC,3
25900022,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Caleb,Sieben,YDS,54
25900023,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Caleb,Sieben,TD,0
25900024,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Caleb,Sieben,LONG,20
25900025,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Payton,Bowdry,REC,2
25900026,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Payton,Bowdry,YDS,38
25900027,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Payton,Bowdry,TD,0
25900028,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Payton,Bowdry,LONG,30
25900029,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Nate,Vanbeuseko,REC,2
25900030,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Nate,Vanbeuseko,YDS,27
25900031,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Nate,Vanbeuseko,TD,0
25900032,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Nate,Vanbeuseko,LONG,18
25900033,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Gavin,Welch,REC,1
25900034,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Gavin,Welch,YDS,6
25900035,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Gavin,Welch,TD,0
25900036,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Gavin,Welch,LONG,6
25900037,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Trevor,Lundberg,REC,1
25900038,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Trevor,Lundberg,YDS,6
25900039,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Trevor,Lundberg,TD,0
25900040,9/15/2018,D-III,Northwestern-St. Paul,Greenville,RECEIVING,Trevor,Lundberg,LONG,6
25900041,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNTING,Kj,Downey,NO,7
25900042,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNTING,Kj,Downey,YDS,159
25900043,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNTING,Kj,Downey,AVG,22.7
25900044,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNTING,Kj,Downey,LONG,38
25900045,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNT RETURNS,Caleb,Sieben,NO,3
25900046,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNT RETURNS,Caleb,Sieben,YDS,14
25900047,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNT RETURNS,Caleb,Sieben,AVG,4.7
25900048,9/15/2018,D-III,Northwestern-St. Paul,Greenville,PUNT RETURNS,Caleb,Sieben,LONG,15
25900049,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Evan,Pruitt,NO,1
25900050,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Evan,Pruitt,YDS,30
25900051,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Evan,Pruitt,AVG,30.0
25900052,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Evan,Pruitt,LONG,30
25900053,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Keegan,James,NO,1
25900054,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Keegan,James,YDS,5
25900055,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Keegan,James,AVG,5.0
25900056,9/15/2018,D-III,Northwestern-St. Paul,Greenville,KICK RETURNS,Keegan,James,LONG,5
25900057,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Panchyshy,TOT,1
25900058,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Panchyshy,SOLO,
25900059,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Panchyshy,SACKS,1
25900060,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Panchyshy,TFL,
25900061,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Panchyshy,INT,
25900062,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Panchyshy,FF,
25900063,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Panchyshy,FR,
25900064,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Nick,Swore,TOT,1
25900065,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Nick,Swore,SOLO,
25900066,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Nick,Swore,SACKS,0
25900067,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Nick,Swore,TFL,
25900068,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Nick,Swore,INT,
25900069,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Nick,Swore,FF,
25900070,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Nick,Swore,FR,
25900071,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Noah,Nightingal,TOT,6
25900072,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Noah,Nightingal,SOLO,
25900073,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Noah,Nightingal,SACKS,2
25900074,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Noah,Nightingal,TFL,
25900075,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Noah,Nightingal,INT,
25900076,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Noah,Nightingal,FF,
25900077,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Noah,Nightingal,FR,1
25900078,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Bush,TOT,1
25900079,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Bush,SOLO,
25900080,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Bush,SACKS,0
25900081,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Bush,TFL,
25900082,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Bush,INT,
25900083,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Bush,FF,1
25900084,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ethan,Bush,FR,
25900085,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Seth,Johnson,TOT,2
25900086,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Seth,Johnson,SOLO,
25900087,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Seth,Johnson,SACKS,0
25900088,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Seth,Johnson,TFL,1
25900089,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Seth,Johnson,INT,
25900090,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Seth,Johnson,FF,
25900091,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Seth,Johnson,FR,0
25900092,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Kj,Downey,TOT,1
25900093,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Kj,Downey,SOLO,
25900094,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Kj,Downey,SACKS,0
25900095,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Kj,Downey,TFL,
25900096,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Kj,Downey,INT,
25900097,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Kj,Downey,FF,
25900098,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Kj,Downey,FR,
25900099,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Taylor,Lindahl,TOT,1
25900100,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Taylor,Lindahl,SOLO,
25900101,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Taylor,Lindahl,SACKS,1
25900102,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Taylor,Lindahl,TFL,
25900103,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Taylor,Lindahl,INT,
25900104,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Taylor,Lindahl,FF,
25900105,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Taylor,Lindahl,FR,
25900106,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Evan,Pruitt,TOT,1
25900107,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Evan,Pruitt,SOLO,
25900108,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Evan,Pruitt,SACKS,1
25900109,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Evan,Pruitt,TFL,
25900110,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Evan,Pruitt,INT,
25900111,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Evan,Pruitt,FF,
25900112,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Evan,Pruitt,FR,
25900113,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Marcus,Scarbrou,TOT,5
25900114,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Marcus,Scarbrou,SOLO,
25900115,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Marcus,Scarbrou,SACKS,3
25900116,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Marcus,Scarbrou,TFL,
25900117,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Marcus,Scarbrou,INT,
25900118,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Marcus,Scarbrou,FF,
25900119,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Marcus,Scarbrou,FR,
25900120,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ben,Maki,TOT,5
25900121,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ben,Maki,SOLO,
25900122,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ben,Maki,SACKS,5
25900123,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ben,Maki,TFL,
25900124,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ben,Maki,INT,1
25900125,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ben,Maki,FF,
25900126,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Ben,Maki,FR,1
25900127,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Carter,Michaels,TOT,1
25900128,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Carter,Michaels,SOLO,
25900129,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Carter,Michaels,SACKS,1
25900130,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Carter,Michaels,TFL,
25900131,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Carter,Michaels,INT,
25900132,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Carter,Michaels,FF,
25900133,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Carter,Michaels,FR,
25900134,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,George,Obitz,TOT,6
25900135,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,George,Obitz,SOLO,
25900136,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,George,Obitz,SACKS,4
25900137,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,George,Obitz,TFL,
25900138,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,George,Obitz,INT,
25900139,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,George,Obitz,FF,
25900140,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,George,Obitz,FR,1
25900141,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Jadon,Hatt,TOT,3
25900142,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Jadon,Hatt,SOLO,
25900143,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Jadon,Hatt,SACKS,2
25900144,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Jadon,Hatt,TFL,
25900145,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Jadon,Hatt,INT,
25900146,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Jadon,Hatt,FF,
25900147,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Jadon,Hatt,FR,
25900148,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Darrell,Myles,TOT,1
25900149,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Darrell,Myles,SOLO,
25900150,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Darrell,Myles,SACKS,0
25900151,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Darrell,Myles,TFL,
25900152,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Darrell,Myles,INT,
25900153,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Darrell,Myles,FF,
25900154,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Darrell,Myles,FR,
25900155,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Chase,Marlenee,TOT,5
25900156,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Chase,Marlenee,SOLO,
25900157,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Chase,Marlenee,SACKS,4
25900158,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Chase,Marlenee,TFL,
25900159,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Chase,Marlenee,INT,
25900160,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Chase,Marlenee,FF,
25900161,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Chase,Marlenee,FR,1
25900162,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Colton,Christma,TOT,1
25900163,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Colton,Christma,SOLO,
25900164,9/15/2018,D-III,Northwestern-St. Paul,Greenville,DEFENSE,Colton,Christma,SACKS,1
