ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25970001,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Titus,Johnson,ATT,12
25970002,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Titus,Johnson,YDS,52
25970003,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Titus,Johnson,TD,2
25970004,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Titus,Johnson,LONG,16
25970005,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Daqwan,Hill,ATT,8
25970006,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Daqwan,Hill,YDS,16
25970007,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Daqwan,Hill,TD,1
25970008,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Daqwan,Hill,LONG,6
25970009,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Gabe,Eriksen,ATT,4
25970010,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Gabe,Eriksen,YDS,16
25970011,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Gabe,Eriksen,TD,0
25970012,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Gabe,Eriksen,LONG,7
25970013,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Dan,Williams,ATT,7
25970014,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Dan,Williams,YDS,11
25970015,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Dan,Williams,TD,1
25970016,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Dan,Williams,LONG,13
25970017,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Patrick,Najmola,ATT,2
25970018,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Patrick,Najmola,YDS,0
25970019,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Patrick,Najmola,TD,0
25970020,9/22/2018,D-III,Stevenson,King's (PA),RUSHING,Patrick,Najmola,LONG,0
25970021,9/22/2018,D-III,Stevenson,King's (PA),PASSING,Dan,Williams,CP-ATT-INT,31-41-0
25970022,9/22/2018,D-III,Stevenson,King's (PA),PASSING,Dan,Williams,YDS,348
25970023,9/22/2018,D-III,Stevenson,King's (PA),PASSING,Dan,Williams,TD,1
25970024,9/22/2018,D-III,Stevenson,King's (PA),PASSING,Dan,Williams,LONG,29
25970025,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,S,Vainqueur,REC,10
25970026,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,S,Vainqueur,YDS,121
25970027,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,S,Vainqueur,TD,0
25970028,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,S,Vainqueur,LONG,23
25970029,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Chaz,Lyles,REC,6
25970030,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Chaz,Lyles,YDS,74
25970031,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Chaz,Lyles,TD,0
25970032,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Chaz,Lyles,LONG,21
25970033,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Ryan,Stango,REC,5
25970034,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Ryan,Stango,YDS,53
25970035,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Ryan,Stango,TD,1
25970036,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Ryan,Stango,LONG,21
25970037,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Vincent,Lee,REC,3
25970038,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Vincent,Lee,YDS,49
25970039,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Vincent,Lee,TD,0
25970040,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Vincent,Lee,LONG,29
25970041,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Keenan,Franz,REC,2
25970042,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Keenan,Franz,YDS,17
25970043,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Keenan,Franz,TD,0
25970044,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Keenan,Franz,LONG,10
25970045,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Daqwan,Hill,REC,1
25970046,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Daqwan,Hill,YDS,15
25970047,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Daqwan,Hill,TD,0
25970048,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Daqwan,Hill,LONG,15
25970049,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Titus,Johnson,REC,1
25970050,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Titus,Johnson,YDS,10
25970051,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Titus,Johnson,TD,0
25970052,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Titus,Johnson,LONG,10
25970053,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Riley,Hodge,REC,3
25970054,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Riley,Hodge,YDS,9
25970055,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Riley,Hodge,TD,0
25970056,9/22/2018,D-III,Stevenson,King's (PA),RECEIVING,Riley,Hodge,LONG,4
25970057,9/22/2018,D-III,Stevenson,King's (PA),PUNTING,Brandon,Ribeiro,NO,4
25970058,9/22/2018,D-III,Stevenson,King's (PA),PUNTING,Brandon,Ribeiro,YDS,157
25970059,9/22/2018,D-III,Stevenson,King's (PA),PUNTING,Brandon,Ribeiro,AVG,39.2
25970060,9/22/2018,D-III,Stevenson,King's (PA),PUNTING,Brandon,Ribeiro,LONG,46
25970061,9/22/2018,D-III,Stevenson,King's (PA),PUNT RETURNS,Chaz,Lyles,NO,2
