ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26131001,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Wesley,Schools,ATT,43
26131002,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Wesley,Schools,YDS,223
26131003,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Wesley,Schools,TD,1
26131004,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Wesley,Schools,LONG,38
26131005,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Josh,Ehst,ATT,9
26131006,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Josh,Ehst,YDS,71
26131007,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Josh,Ehst,TD,0
26131008,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Josh,Ehst,LONG,22
26131009,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Zach,Trusky,ATT,6
26131010,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Zach,Trusky,YDS,16
26131011,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Zach,Trusky,TD,0
26131012,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,Zach,Trusky,LONG,6
26131013,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,,Team,ATT,2
26131014,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,,Team,YDS,-2
26131015,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,,Team,TD,0
26131016,9/29/2018,D-III,Grove City,Carnegie Mellon,RUSHING,,Team,LONG,0
26131017,9/29/2018,D-III,Grove City,Carnegie Mellon,PASSING,Josh,Ehst,CP-ATT-INT,6-12-0
26131018,9/29/2018,D-III,Grove City,Carnegie Mellon,PASSING,Josh,Ehst,YDS,112
26131019,9/29/2018,D-III,Grove City,Carnegie Mellon,PASSING,Josh,Ehst,TD,3
26131020,9/29/2018,D-III,Grove City,Carnegie Mellon,PASSING,Josh,Ehst,LONG,45
26131021,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cody,Gustafson,REC,5
26131022,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cody,Gustafson,YDS,105
26131023,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cody,Gustafson,TD,3
26131024,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cody,Gustafson,LONG,45
26131025,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cameron,Drake,REC,1
26131026,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cameron,Drake,YDS,7
26131027,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cameron,Drake,TD,0
26131028,9/29/2018,D-III,Grove City,Carnegie Mellon,RECEIVING,Cameron,Drake,LONG,7
26131029,9/29/2018,D-III,Grove City,Carnegie Mellon,PUNTING,Caleb,Brake,NO,3
26131030,9/29/2018,D-III,Grove City,Carnegie Mellon,PUNTING,Caleb,Brake,YDS,120
26131031,9/29/2018,D-III,Grove City,Carnegie Mellon,PUNTING,Caleb,Brake,AVG,40.0
26131032,9/29/2018,D-III,Grove City,Carnegie Mellon,PUNTING,Caleb,Brake,LONG,46
26131033,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Marcus,Woodford,NO,2
26131034,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Marcus,Woodford,YDS,41
26131035,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Marcus,Woodford,AVG,20.5
26131036,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Marcus,Woodford,LONG,24
26131037,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Cameron,Roth,NO,2
26131038,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Cameron,Roth,YDS,50
26131039,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Cameron,Roth,AVG,25.0
26131040,9/29/2018,D-III,Grove City,Carnegie Mellon,KICK RETURNS,Cameron,Roth,LONG,26
26131041,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Patrick,Mark,TOT,7
26131042,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Patrick,Mark,SOLO,
26131043,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Patrick,Mark,SACKS,2
26131044,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Patrick,Mark,TFL,
26131045,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Patrick,Mark,INT,
26131046,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Patrick,Mark,FF,
26131047,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Patrick,Mark,FR,
26131048,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Tyler,Steedle,TOT,1
26131049,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Tyler,Steedle,SOLO,
26131050,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Tyler,Steedle,SACKS,1
26131051,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Tyler,Steedle,TFL,
26131052,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Tyler,Steedle,INT,
26131053,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Tyler,Steedle,FF,
26131054,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Tyler,Steedle,FR,
26131055,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Kline,TOT,3
26131056,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Kline,SOLO,
26131057,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Kline,SACKS,2
26131058,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Kline,TFL,
26131059,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Kline,INT,
26131060,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Kline,FF,
26131061,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Kline,FR,
26131062,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Chris,Wolfe,TOT,2
26131063,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Chris,Wolfe,SOLO,
26131064,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Chris,Wolfe,SACKS,1
26131065,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Chris,Wolfe,TFL,
26131066,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Chris,Wolfe,INT,
26131067,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Chris,Wolfe,FF,
26131068,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Chris,Wolfe,FR,
26131069,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Jackson,TOT,7
26131070,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Jackson,SOLO,
26131071,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Jackson,SACKS,4
26131072,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Jackson,TFL,
26131073,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Jackson,INT,
26131074,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Jackson,FF,1
26131075,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Daniel,Jackson,FR,0
26131076,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Ethan,Conto,TOT,4
26131077,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Ethan,Conto,SOLO,
26131078,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Ethan,Conto,SACKS,2
26131079,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Ethan,Conto,TFL,
26131080,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Ethan,Conto,INT,
26131081,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Ethan,Conto,FF,
26131082,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Ethan,Conto,FR,0
26131083,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jacob,Ross,TOT,3
26131084,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jacob,Ross,SOLO,
26131085,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jacob,Ross,SACKS,1
26131086,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jacob,Ross,TFL,
26131087,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jacob,Ross,INT,
26131088,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jacob,Ross,FF,
26131089,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jacob,Ross,FR,
26131090,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jackson,Mcfall,TOT,6
26131091,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jackson,Mcfall,SOLO,
26131092,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jackson,Mcfall,SACKS,6
26131093,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jackson,Mcfall,TFL,
26131094,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jackson,Mcfall,INT,
26131095,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jackson,Mcfall,FF,
26131096,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Jackson,Mcfall,FR,
26131097,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Dan,Melville,TOT,1
26131098,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Dan,Melville,SOLO,
26131099,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Dan,Melville,SACKS,0
26131100,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Dan,Melville,TFL,
26131101,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Dan,Melville,INT,
26131102,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Dan,Melville,FF,
26131103,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Dan,Melville,FR,
26131104,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Luke,Salerno,TOT,7
26131105,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Luke,Salerno,SOLO,
26131106,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Luke,Salerno,SACKS,5
26131107,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Luke,Salerno,TFL,
26131108,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Luke,Salerno,INT,
26131109,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Luke,Salerno,FF,
26131110,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Luke,Salerno,FR,
26131111,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Cameron,Good,TOT,3
26131112,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Cameron,Good,SOLO,
26131113,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Cameron,Good,SACKS,1
26131114,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Cameron,Good,TFL,
26131115,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Cameron,Good,INT,
26131116,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Cameron,Good,FF,
26131117,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Cameron,Good,FR,
26131118,9/29/2018,D-III,Grove City,Carnegie Mellon,DEFENSE,Sam,Henson,TOT,6
