ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
26115001,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Elijah,Minter,ATT,6
26115002,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Elijah,Minter,YDS,47
26115003,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Elijah,Minter,TD,0
26115004,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Elijah,Minter,LONG,15
26115005,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ej,Lee,ATT,13
26115006,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ej,Lee,YDS,26
26115007,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ej,Lee,TD,1
26115008,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ej,Lee,LONG,8
26115009,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Abe,Mansaray,ATT,3
26115010,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Abe,Mansaray,YDS,15
26115011,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Abe,Mansaray,TD,0
26115012,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Abe,Mansaray,LONG,7
26115013,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,K,Burroughs,ATT,7
26115014,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,K,Burroughs,YDS,12
26115015,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,K,Burroughs,TD,0
26115016,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,K,Burroughs,LONG,19
26115017,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,C,Simpson,ATT,1
26115018,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,C,Simpson,YDS,6
26115019,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,C,Simpson,TD,0
26115020,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,C,Simpson,LONG,6
26115021,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Keshaun,Henry,ATT,1
26115022,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Keshaun,Henry,YDS,5
26115023,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Keshaun,Henry,TD,0
26115024,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Keshaun,Henry,LONG,5
26115025,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ryan,Clemons,ATT,1
26115026,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ryan,Clemons,YDS,-1
26115027,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ryan,Clemons,TD,0
26115028,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,Ryan,Clemons,LONG,0
26115029,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,,Team,ATT,1
26115030,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,,Team,YDS,-2
26115031,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,,Team,TD,0
26115032,9/29/2018,D-III,Wesley,Southern Va.,RUSHING,,Team,LONG,0
26115033,9/29/2018,D-III,Wesley,Southern Va.,PASSING,K,Burroughs,CP-ATT-INT,20-31-2
26115034,9/29/2018,D-III,Wesley,Southern Va.,PASSING,K,Burroughs,YDS,286
26115035,9/29/2018,D-III,Wesley,Southern Va.,PASSING,K,Burroughs,TD,2
26115036,9/29/2018,D-III,Wesley,Southern Va.,PASSING,K,Burroughs,LONG,56
26115037,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ruhann,Peele,REC,6
26115038,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ruhann,Peele,YDS,105
26115039,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ruhann,Peele,TD,1
26115040,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ruhann,Peele,LONG,56
26115041,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ej,Lee,REC,5
26115042,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ej,Lee,YDS,79
26115043,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ej,Lee,TD,0
26115044,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Ej,Lee,LONG,23
26115045,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Alex,Kemp,REC,5
26115046,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Alex,Kemp,YDS,67
26115047,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Alex,Kemp,TD,1
26115048,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Alex,Kemp,LONG,27
26115049,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Kianta,Thompson,REC,1
26115050,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Kianta,Thompson,YDS,16
26115051,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Kianta,Thompson,TD,0
26115052,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Kianta,Thompson,LONG,16
26115053,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Keshaun,Henry,REC,2
26115054,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Keshaun,Henry,YDS,13
26115055,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Keshaun,Henry,TD,0
26115056,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,Keshaun,Henry,LONG,9
26115057,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,C,Simpson,REC,1
26115058,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,C,Simpson,YDS,6
26115059,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,C,Simpson,TD,0
26115060,9/29/2018,D-III,Wesley,Southern Va.,RECEIVING,C,Simpson,LONG,6
26115061,9/29/2018,D-III,Wesley,Southern Va.,PUNTING,Nick,Bruhn,NO,2
26115062,9/29/2018,D-III,Wesley,Southern Va.,PUNTING,Nick,Bruhn,YDS,76
26115063,9/29/2018,D-III,Wesley,Southern Va.,PUNTING,Nick,Bruhn,AVG,38.0
26115064,9/29/2018,D-III,Wesley,Southern Va.,PUNTING,Nick,Bruhn,LONG,40
26115065,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,C,Simpson,NO,4
26115066,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,C,Simpson,YDS,169
26115067,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,C,Simpson,AVG,42.2
26115068,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,C,Simpson,LONG,80
26115069,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,Aubyn,Bryan,NO,1
26115070,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,Aubyn,Bryan,YDS,0
26115071,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,Aubyn,Bryan,AVG,0.0
26115072,9/29/2018,D-III,Wesley,Southern Va.,PUNT RETURNS,Aubyn,Bryan,LONG,0
26115073,9/29/2018,D-III,Wesley,Southern Va.,KICK RETURNS,Marcellus,Pack,NO,2
26115074,9/29/2018,D-III,Wesley,Southern Va.,KICK RETURNS,Marcellus,Pack,YDS,89
26115075,9/29/2018,D-III,Wesley,Southern Va.,KICK RETURNS,Marcellus,Pack,AVG,44.5
26115076,9/29/2018,D-III,Wesley,Southern Va.,KICK RETURNS,Marcellus,Pack,LONG,57
26115077,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,C,Miller,TOT,5
26115078,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,C,Miller,SOLO,
26115079,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,C,Miller,SACKS,2
26115080,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,C,Miller,TFL,1
26115081,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,C,Miller,INT,
26115082,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,C,Miller,FF,
26115083,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,C,Miller,FR,
26115084,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Najee,Wilson,TOT,5
26115085,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Najee,Wilson,SOLO,
26115086,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Najee,Wilson,SACKS,2
26115087,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Najee,Wilson,TFL,
26115088,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Najee,Wilson,INT,
26115089,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Najee,Wilson,FF,1
26115090,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Najee,Wilson,FR,1
26115091,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Coray,Williams,TOT,9
26115092,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Coray,Williams,SOLO,
26115093,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Coray,Williams,SACKS,6
26115094,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Coray,Williams,TFL,
26115095,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Coray,Williams,INT,
26115096,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Coray,Williams,FF,
26115097,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Coray,Williams,FR,0
26115098,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Vincent,Ebron,TOT,5
26115099,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Vincent,Ebron,SOLO,
26115100,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Vincent,Ebron,SACKS,4
26115101,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Vincent,Ebron,TFL,
26115102,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Vincent,Ebron,INT,
26115103,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Vincent,Ebron,FF,
26115104,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Vincent,Ebron,FR,
26115105,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ruhann,Peele,TOT,1
26115106,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ruhann,Peele,SOLO,
26115107,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ruhann,Peele,SACKS,1
26115108,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ruhann,Peele,TFL,
26115109,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ruhann,Peele,INT,
26115110,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ruhann,Peele,FF,
26115111,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ruhann,Peele,FR,
26115112,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Kevin,Sheckells,TOT,1
26115113,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Kevin,Sheckells,SOLO,
26115114,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Kevin,Sheckells,SACKS,0
26115115,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Kevin,Sheckells,TFL,
26115116,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Kevin,Sheckells,INT,
26115117,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Kevin,Sheckells,FF,
26115118,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Kevin,Sheckells,FR,
26115119,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shawny&#39;e,Jo,TOT,1
26115120,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shawny&#39;e,Jo,SOLO,
26115121,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shawny&#39;e,Jo,SACKS,0
26115122,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shawny&#39;e,Jo,TFL,
26115123,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shawny&#39;e,Jo,INT,
26115124,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shawny&#39;e,Jo,FF,
26115125,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shawny&#39;e,Jo,FR,
26115126,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Quaasim,Glover,TOT,2
26115127,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Quaasim,Glover,SOLO,
26115128,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Quaasim,Glover,SACKS,1
26115129,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Quaasim,Glover,TFL,
26115130,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Quaasim,Glover,INT,
26115131,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Quaasim,Glover,FF,
26115132,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Quaasim,Glover,FR,
26115133,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Dante,Daniel,TOT,4
26115134,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Dante,Daniel,SOLO,
26115135,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Dante,Daniel,SACKS,0
26115136,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Dante,Daniel,TFL,
26115137,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Dante,Daniel,INT,
26115138,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Dante,Daniel,FF,
26115139,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Dante,Daniel,FR,0
26115140,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,,Team,TOT,10
26115141,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,,Team,SOLO,
26115142,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,,Team,SACKS,4
26115143,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,,Team,TFL,
26115144,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,,Team,INT,
26115145,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,,Team,FF,
26115146,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,,Team,FR,0
26115147,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Isiah,Mitchell,TOT,3
26115148,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Isiah,Mitchell,SOLO,
26115149,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Isiah,Mitchell,SACKS,2
26115150,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Isiah,Mitchell,TFL,
26115151,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Isiah,Mitchell,INT,
26115152,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Isiah,Mitchell,FF,
26115153,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Isiah,Mitchell,FR,
26115154,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Nazir,Williams,TOT,12
26115155,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Nazir,Williams,SOLO,
26115156,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Nazir,Williams,SACKS,3
26115157,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Nazir,Williams,TFL,
26115158,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Nazir,Williams,INT,1
26115159,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Nazir,Williams,FF,
26115160,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Nazir,Williams,FR,0
26115161,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Mike,Brewer,TOT,2
26115162,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Mike,Brewer,SOLO,
26115163,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Mike,Brewer,SACKS,2
26115164,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Mike,Brewer,TFL,
26115165,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Mike,Brewer,INT,
26115166,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Mike,Brewer,FF,
26115167,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Mike,Brewer,FR,
26115168,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ryan,Clemons,TOT,1
26115169,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ryan,Clemons,SOLO,
26115170,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ryan,Clemons,SACKS,1
26115171,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ryan,Clemons,TFL,
26115172,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ryan,Clemons,INT,1
26115173,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ryan,Clemons,FF,
26115174,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Ryan,Clemons,FR,
26115175,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jalund,Johnson,TOT,2
26115176,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jalund,Johnson,SOLO,
26115177,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jalund,Johnson,SACKS,1
26115178,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jalund,Johnson,TFL,
26115179,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jalund,Johnson,INT,
26115180,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jalund,Johnson,FF,
26115181,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jalund,Johnson,FR,
26115182,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Camal,Brown,TOT,2
26115183,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Camal,Brown,SOLO,
26115184,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Camal,Brown,SACKS,1
26115185,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Camal,Brown,TFL,
26115186,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Camal,Brown,INT,
26115187,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Camal,Brown,FF,
26115188,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Camal,Brown,FR,
26115189,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jason,Stewart,TOT,2
26115190,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jason,Stewart,SOLO,
26115191,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jason,Stewart,SACKS,1
26115192,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jason,Stewart,TFL,
26115193,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jason,Stewart,INT,
26115194,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jason,Stewart,FF,
26115195,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Jason,Stewart,FR,
26115196,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,T,Mitchell,TOT,1
26115197,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,T,Mitchell,SOLO,
26115198,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,T,Mitchell,SACKS,0
26115199,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,T,Mitchell,TFL,
26115200,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,T,Mitchell,INT,
26115201,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,T,Mitchell,FF,
26115202,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,T,Mitchell,FR,
26115203,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shymere,Vessels,TOT,5
26115204,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shymere,Vessels,SOLO,
26115205,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shymere,Vessels,SACKS,2
26115206,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shymere,Vessels,TFL,
26115207,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shymere,Vessels,INT,
26115208,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shymere,Vessels,FF,
26115209,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Shymere,Vessels,FR,0
26115210,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,David,Pierre,TOT,3
26115211,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,David,Pierre,SOLO,
26115212,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,David,Pierre,SACKS,0
26115213,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,David,Pierre,TFL,
26115214,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,David,Pierre,INT,
26115215,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,David,Pierre,FF,
26115216,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,David,Pierre,FR,
26115217,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Will,Scott,TOT,2
26115218,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Will,Scott,SOLO,
26115219,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Will,Scott,SACKS,1
26115220,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Will,Scott,TFL,
26115221,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Will,Scott,INT,
26115222,9/29/2018,D-III,Wesley,Southern Va.,DEFENSE,Will,Scott,FF,
