ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25794001,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Darrel,West,ATT,12
25794002,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Darrel,West,YDS,67
25794003,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Darrel,West,TD,1
25794004,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Darrel,West,LONG,23
25794005,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Johnny,Vigliott,ATT,2
25794006,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Johnny,Vigliott,YDS,29
25794007,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Johnny,Vigliott,TD,0
25794008,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Johnny,Vigliott,LONG,34
25794009,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Nick,Edmond,ATT,13
25794010,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Nick,Edmond,YDS,21
25794011,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Nick,Edmond,TD,0
25794012,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Nick,Edmond,LONG,7
25794013,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Brandon,Gwinner,ATT,7
25794014,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Brandon,Gwinner,YDS,7
25794015,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Brandon,Gwinner,TD,1
25794016,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Brandon,Gwinner,LONG,9
25794017,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Raffaele,Bradsh,ATT,1
25794018,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Raffaele,Bradsh,YDS,6
25794019,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Raffaele,Bradsh,TD,0
25794020,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Raffaele,Bradsh,LONG,6
25794021,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Kraig,Gilbert,ATT,1
25794022,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Kraig,Gilbert,YDS,4
25794023,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Kraig,Gilbert,TD,0
25794024,9/8/2018,D-III,Morrisville St.,Hobart,RUSHING,Kraig,Gilbert,LONG,4
25794025,9/8/2018,D-III,Morrisville St.,Hobart,PASSING,Brandon,Gwinner,CP-ATT-INT,10-22-2
25794026,9/8/2018,D-III,Morrisville St.,Hobart,PASSING,Brandon,Gwinner,YDS,104
25794027,9/8/2018,D-III,Morrisville St.,Hobart,PASSING,Brandon,Gwinner,TD,0
25794028,9/8/2018,D-III,Morrisville St.,Hobart,PASSING,Brandon,Gwinner,LONG,20
