ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27590001,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Logan,Edmond,ATT,18
27590002,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Logan,Edmond,YDS,97
27590003,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Logan,Edmond,TD,0
27590004,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Logan,Edmond,LONG,26
27590005,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Mike,Welsh,ATT,13
27590006,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Mike,Welsh,YDS,61
27590007,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Mike,Welsh,TD,1
27590008,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Mike,Welsh,LONG,12
27590009,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matt,Lajoie,ATT,1
27590010,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matt,Lajoie,YDS,7
27590011,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matt,Lajoie,TD,0
27590012,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matt,Lajoie,LONG,7
27590013,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matty,Mulcahy,ATT,2
27590014,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matty,Mulcahy,YDS,4
27590015,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matty,Mulcahy,TD,0
27590016,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Matty,Mulcahy,LONG,2
27590017,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,E,Tannenbaum,ATT,1
27590018,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,E,Tannenbaum,YDS,2
27590019,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,E,Tannenbaum,TD,0
27590020,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,E,Tannenbaum,LONG,2
27590021,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Kevin,Benavente,ATT,3
27590022,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Kevin,Benavente,YDS,-4
27590023,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Kevin,Benavente,TD,0
27590024,10/19/2019,D-III,Gettysburg,Juniata,RUSHING,Kevin,Benavente,LONG,4
27590025,10/19/2019,D-III,Gettysburg,Juniata,PASSING,Logan,Edmond,CP-ATT-INT,17-30-2
27590026,10/19/2019,D-III,Gettysburg,Juniata,PASSING,Logan,Edmond,YDS,254
27590027,10/19/2019,D-III,Gettysburg,Juniata,PASSING,Logan,Edmond,TD,2
27590028,10/19/2019,D-III,Gettysburg,Juniata,PASSING,Logan,Edmond,LONG,98
27590029,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Sal,Debenedetto,REC,4
27590030,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Sal,Debenedetto,YDS,138
27590031,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Sal,Debenedetto,TD,1
27590032,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Sal,Debenedetto,LONG,98
27590033,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Jr,Lnicolas,REC,3
27590034,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Jr,Lnicolas,YDS,45
27590035,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Jr,Lnicolas,TD,0
27590036,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Jr,Lnicolas,LONG,19
27590037,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Mike,Welsh,REC,3
27590038,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Mike,Welsh,YDS,36
27590039,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Mike,Welsh,TD,0
27590040,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Mike,Welsh,LONG,13
27590041,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,Benavente,REC,4
27590042,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,Benavente,YDS,13
27590043,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,Benavente,TD,1
27590044,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,Benavente,LONG,7
27590045,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Matt,Lajoie,REC,1
27590046,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Matt,Lajoie,YDS,11
27590047,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Matt,Lajoie,TD,0
27590048,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Matt,Lajoie,LONG,11
27590049,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kurt,Wronsky,REC,1
27590050,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kurt,Wronsky,YDS,6
27590051,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kurt,Wronsky,TD,0
27590052,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kurt,Wronsky,LONG,6
27590053,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,O'hanlon,REC,1
27590054,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,O'hanlon,YDS,5
27590055,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,O'hanlon,TD,0
27590056,10/19/2019,D-III,Gettysburg,Juniata,RECEIVING,Kevin,O'hanlon,LONG,5
27590057,10/19/2019,D-III,Gettysburg,Juniata,PUNTING,E,Tannenbaum,NO,5
27590058,10/19/2019,D-III,Gettysburg,Juniata,PUNTING,E,Tannenbaum,YDS,199
27590059,10/19/2019,D-III,Gettysburg,Juniata,PUNTING,E,Tannenbaum,AVG,39.8
27590060,10/19/2019,D-III,Gettysburg,Juniata,PUNTING,E,Tannenbaum,LONG,59
27590061,10/19/2019,D-III,Gettysburg,Juniata,PUNT RETURNS,Kevin,Benavente,NO,2
27590062,10/19/2019,D-III,Gettysburg,Juniata,PUNT RETURNS,Kevin,Benavente,YDS,28
27590063,10/19/2019,D-III,Gettysburg,Juniata,PUNT RETURNS,Kevin,Benavente,AVG,14.0
27590064,10/19/2019,D-III,Gettysburg,Juniata,PUNT RETURNS,Kevin,Benavente,LONG,27
27590065,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Kevin,Benavente,NO,1
27590066,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Kevin,Benavente,YDS,20
27590067,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Kevin,Benavente,AVG,20.0
27590068,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Kevin,Benavente,LONG,20
27590069,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Matty,Mulcahy,NO,4
27590070,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Matty,Mulcahy,YDS,65
27590071,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Matty,Mulcahy,AVG,16.2
27590072,10/19/2019,D-III,Gettysburg,Juniata,KICK RETURNS,Matty,Mulcahy,LONG,21
27590073,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Kevin,Sawtell,TOT,4
27590074,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Kevin,Sawtell,SOLO,
27590075,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Kevin,Sawtell,SACKS,3
27590076,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Kevin,Sawtell,TFL,
27590077,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Kevin,Sawtell,INT,
27590078,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Kevin,Sawtell,FF,
27590079,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Kevin,Sawtell,FR,
27590080,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Joey,Lamore,TOT,4
27590081,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Joey,Lamore,SOLO,
27590082,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Joey,Lamore,SACKS,4
27590083,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Joey,Lamore,TFL,
27590084,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Joey,Lamore,INT,
27590085,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Joey,Lamore,FF,1
27590086,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Joey,Lamore,FR,
27590087,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,T,Richardson,TOT,4
27590088,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,T,Richardson,SOLO,
27590089,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,T,Richardson,SACKS,2
27590090,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,T,Richardson,TFL,
27590091,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,T,Richardson,INT,
27590092,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,T,Richardson,FF,
27590093,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,T,Richardson,FR,
27590094,10/19/2019,D-III,Gettysburg,Juniata,DEFENSE,Justin,Lessel,TOT,7
