ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27616001,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Tanner,Clark,ATT,42
27616002,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Tanner,Clark,YDS,132
27616003,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Tanner,Clark,TD,1
27616004,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Tanner,Clark,LONG,16
27616005,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Kyle,Mcsweeney,ATT,5
27616006,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Kyle,Mcsweeney,YDS,14
27616007,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Kyle,Mcsweeney,TD,0
27616008,10/19/2019,D-III,Marietta,Wilmington (OH),RUSHING,Kyle,Mcsweeney,LONG,8
27616009,10/19/2019,D-III,Marietta,Wilmington (OH),PASSING,Kyle,Mcsweeney,CP-ATT-INT,19-26-0
27616010,10/19/2019,D-III,Marietta,Wilmington (OH),PASSING,Kyle,Mcsweeney,YDS,213
27616011,10/19/2019,D-III,Marietta,Wilmington (OH),PASSING,Kyle,Mcsweeney,TD,3
27616012,10/19/2019,D-III,Marietta,Wilmington (OH),PASSING,Kyle,Mcsweeney,LONG,43
27616013,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Ryan,Vanmeter,REC,6
27616014,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Ryan,Vanmeter,YDS,101
27616015,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Ryan,Vanmeter,TD,1
27616016,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Ryan,Vanmeter,LONG,43
27616017,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Andrew,Barker,REC,6
27616018,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Andrew,Barker,YDS,80
27616019,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Andrew,Barker,TD,1
27616020,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Andrew,Barker,LONG,36
27616021,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Justin,Bell,REC,2
27616022,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Justin,Bell,YDS,26
27616023,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Justin,Bell,TD,1
27616024,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Justin,Bell,LONG,23
27616025,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Robert,Nelson,REC,1
27616026,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Robert,Nelson,YDS,8
27616027,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Robert,Nelson,TD,0
27616028,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Robert,Nelson,LONG,8
27616029,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Clay,Mastin,REC,1
27616030,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Clay,Mastin,YDS,4
27616031,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Clay,Mastin,TD,0
27616032,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Clay,Mastin,LONG,4
27616033,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Austin,Veatch,REC,1
27616034,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Austin,Veatch,YDS,3
27616035,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Austin,Veatch,TD,0
27616036,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Austin,Veatch,LONG,3
27616037,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Kyle,Mcsweeney,REC,1
27616038,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Kyle,Mcsweeney,YDS,-2
27616039,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Kyle,Mcsweeney,TD,0
27616040,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Kyle,Mcsweeney,LONG,0
27616041,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Tanner,Clark,REC,1
27616042,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Tanner,Clark,YDS,-7
27616043,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Tanner,Clark,TD,0
27616044,10/19/2019,D-III,Marietta,Wilmington (OH),RECEIVING,Tanner,Clark,LONG,0
27616045,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Logan,Alward,NO,1
27616046,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Logan,Alward,YDS,65
27616047,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Logan,Alward,AVG,65.0
27616048,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Logan,Alward,LONG,65
27616049,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Bailey,Sprague,NO,3
27616050,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Bailey,Sprague,YDS,103
27616051,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Bailey,Sprague,AVG,34.3
27616052,10/19/2019,D-III,Marietta,Wilmington (OH),PUNTING,Bailey,Sprague,LONG,37
27616053,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Vic,Giovengo,NO,1
27616054,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Vic,Giovengo,YDS,4
27616055,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Vic,Giovengo,AVG,4.0
27616056,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Vic,Giovengo,LONG,4
27616057,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Justin,Bell,NO,2
27616058,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Justin,Bell,YDS,25
27616059,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Justin,Bell,AVG,12.5
27616060,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Justin,Bell,LONG,15
27616061,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Bryce,Agnew,NO,2
27616062,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Bryce,Agnew,YDS,35
27616063,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Bryce,Agnew,AVG,17.5
27616064,10/19/2019,D-III,Marietta,Wilmington (OH),KICK RETURNS,Bryce,Agnew,LONG,18
27616065,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Tay,Pryor,TOT,6
27616066,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Tay,Pryor,SOLO,
27616067,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Tay,Pryor,SACKS,4
27616068,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Tay,Pryor,TFL,
27616069,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Tay,Pryor,INT,
27616070,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Tay,Pryor,FF,1
27616071,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Tay,Pryor,FR,
27616072,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,James,Knox,TOT,5
27616073,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,James,Knox,SOLO,
27616074,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,James,Knox,SACKS,3
27616075,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,James,Knox,TFL,
27616076,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,James,Knox,INT,
27616077,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,James,Knox,FF,
27616078,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,James,Knox,FR,0
27616079,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Vic,Giovengo,TOT,11
27616080,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Vic,Giovengo,SOLO,
27616081,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Vic,Giovengo,SACKS,7
27616082,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Vic,Giovengo,TFL,
27616083,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Vic,Giovengo,INT,
27616084,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Vic,Giovengo,FF,
27616085,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Vic,Giovengo,FR,
27616086,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Justin,Bell,TOT,1
27616087,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Justin,Bell,SOLO,
27616088,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Justin,Bell,SACKS,1
27616089,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Justin,Bell,TFL,
27616090,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Justin,Bell,INT,
27616091,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Justin,Bell,FF,
27616092,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Justin,Bell,FR,
27616093,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Malik,Grier,TOT,7
27616094,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Malik,Grier,SOLO,
27616095,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Malik,Grier,SACKS,5
27616096,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Malik,Grier,TFL,
27616097,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Malik,Grier,INT,
27616098,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Malik,Grier,FF,
27616099,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Malik,Grier,FR,
27616100,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Caleb,Craig,TOT,4
27616101,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Caleb,Craig,SOLO,
27616102,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Caleb,Craig,SACKS,1
27616103,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Caleb,Craig,TFL,1
27616104,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Caleb,Craig,INT,
27616105,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Caleb,Craig,FF,
27616106,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Caleb,Craig,FR,
27616107,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Kyler,Folkert,TOT,3
27616108,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Kyler,Folkert,SOLO,
27616109,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Kyler,Folkert,SACKS,0
27616110,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Kyler,Folkert,TFL,
27616111,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Kyler,Folkert,INT,
27616112,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Kyler,Folkert,FF,
27616113,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Kyler,Folkert,FR,
27616114,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Ahmed,Muhammad,TOT,4
27616115,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Ahmed,Muhammad,SOLO,
27616116,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Ahmed,Muhammad,SACKS,2
27616117,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Ahmed,Muhammad,TFL,
27616118,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Ahmed,Muhammad,INT,1
27616119,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Ahmed,Muhammad,FF,
27616120,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Ahmed,Muhammad,FR,2
27616121,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Brent,Mcclure,TOT,4
27616122,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Brent,Mcclure,SOLO,
27616123,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Brent,Mcclure,SACKS,1
27616124,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Brent,Mcclure,TFL,
27616125,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Brent,Mcclure,INT,
27616126,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Brent,Mcclure,FF,
27616127,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Brent,Mcclure,FR,
27616128,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Bryce,Agnew,TOT,1
27616129,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Bryce,Agnew,SOLO,
27616130,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Bryce,Agnew,SACKS,0
27616131,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Bryce,Agnew,TFL,
27616132,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Bryce,Agnew,INT,
27616133,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Bryce,Agnew,FF,
27616134,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Bryce,Agnew,FR,
27616135,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Carson,Stauffer,TOT,8
27616136,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Carson,Stauffer,SOLO,
27616137,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Carson,Stauffer,SACKS,3
27616138,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Carson,Stauffer,TFL,
27616139,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Carson,Stauffer,INT,
27616140,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Carson,Stauffer,FF,
27616141,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Carson,Stauffer,FR,
27616142,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Drake,Neuberger,TOT,4
27616143,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Drake,Neuberger,SOLO,
27616144,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Drake,Neuberger,SACKS,1
27616145,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Drake,Neuberger,TFL,1
27616146,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Drake,Neuberger,INT,
27616147,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Drake,Neuberger,FF,
27616148,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Drake,Neuberger,FR,0
27616149,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Jesse,Berzonski,TOT,4
27616150,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Jesse,Berzonski,SOLO,
27616151,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Jesse,Berzonski,SACKS,2
27616152,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Jesse,Berzonski,TFL,
27616153,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Jesse,Berzonski,INT,1
27616154,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Jesse,Berzonski,FF,
27616155,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,Jesse,Berzonski,FR,
27616156,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,K,Gallagher,TOT,9
27616157,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,K,Gallagher,SOLO,
27616158,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,K,Gallagher,SACKS,5
27616159,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,K,Gallagher,TFL,
27616160,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,K,Gallagher,INT,
27616161,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,K,Gallagher,FF,
27616162,10/19/2019,D-III,Marietta,Wilmington (OH),DEFENSE,K,Gallagher,FR,1
27616163,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Gino,hintonJr,ATT,11
27616164,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Gino,hintonJr,YDS,40
27616165,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Gino,hintonJr,TD,1
27616166,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Gino,hintonJr,LONG,13
27616167,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Kyle,Barrett,ATT,14
27616168,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Kyle,Barrett,YDS,18
27616169,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Kyle,Barrett,TD,1
27616170,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Kyle,Barrett,LONG,11
27616171,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Malik,Sims,ATT,4
27616172,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Malik,Sims,YDS,3
27616173,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Malik,Sims,TD,0
27616174,10/19/2019,D-III,Wilmington (OH),Marietta,RUSHING,Malik,Sims,LONG,8
27616175,10/19/2019,D-III,Wilmington (OH),Marietta,PASSING,Kyle,Barrett,CP-ATT-INT,27-39-1
27616176,10/19/2019,D-III,Wilmington (OH),Marietta,PASSING,Kyle,Barrett,YDS,341
27616177,10/19/2019,D-III,Wilmington (OH),Marietta,PASSING,Kyle,Barrett,TD,2
27616178,10/19/2019,D-III,Wilmington (OH),Marietta,PASSING,Kyle,Barrett,LONG,65
27616179,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Itika,wynnJr,REC,11
27616180,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Itika,wynnJr,YDS,164
27616181,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Itika,wynnJr,TD,1
27616182,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Itika,wynnJr,LONG,65
27616183,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Ace,Taylor,REC,10
27616184,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Ace,Taylor,YDS,89
27616185,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Ace,Taylor,TD,0
27616186,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Ace,Taylor,LONG,24
27616187,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Luke,Richardson,REC,4
27616188,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Luke,Richardson,YDS,75
27616189,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Luke,Richardson,TD,1
27616190,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Luke,Richardson,LONG,26
27616191,10/19/2019,D-III,Wilmington (OH),Marietta,RECEIVING,Niko,Jones,REC,2
