ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27652001,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Charles,Davis,ATT,14
27652002,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Charles,Davis,YDS,60
27652003,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Charles,Davis,TD,0
27652004,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Charles,Davis,LONG,16
27652005,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Griffin,Lay,ATT,6
27652006,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Griffin,Lay,YDS,43
27652007,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Griffin,Lay,TD,0
27652008,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Griffin,Lay,LONG,15
27652009,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Wyatt,Messex,ATT,6
27652010,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Wyatt,Messex,YDS,7
27652011,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Wyatt,Messex,TD,0
27652012,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Wyatt,Messex,LONG,12
27652013,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Caleb,Harmel,ATT,1
27652014,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Caleb,Harmel,YDS,0
27652015,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Caleb,Harmel,TD,0
27652016,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Caleb,Harmel,LONG,0
27652017,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Mike,Edmonson,ATT,2
27652018,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Mike,Edmonson,YDS,-1
27652019,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Mike,Edmonson,TD,0
27652020,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,Mike,Edmonson,LONG,1
27652021,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,,Team,ATT,2
27652022,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,,Team,YDS,-4
27652023,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,,Team,TD,0
27652024,10/19/2019,D-III,Trinity (TX),Millsaps,RUSHING,,Team,LONG,0
27652025,10/19/2019,D-III,Trinity (TX),Millsaps,PASSING,Wyatt,Messex,CP-ATT-INT,20-33-0
27652026,10/19/2019,D-III,Trinity (TX),Millsaps,PASSING,Wyatt,Messex,YDS,236
27652027,10/19/2019,D-III,Trinity (TX),Millsaps,PASSING,Wyatt,Messex,TD,3
27652028,10/19/2019,D-III,Trinity (TX),Millsaps,PASSING,Wyatt,Messex,LONG,68
27652029,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Tommy,Lavine,REC,6
27652030,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Tommy,Lavine,YDS,155
27652031,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Tommy,Lavine,TD,2
27652032,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Tommy,Lavine,LONG,68
27652033,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Austin,Bertness,REC,3
27652034,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Austin,Bertness,YDS,45
27652035,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Austin,Bertness,TD,1
27652036,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Austin,Bertness,LONG,26
27652037,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Chris,Stewart,REC,8
27652038,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Chris,Stewart,YDS,22
27652039,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Chris,Stewart,TD,0
27652040,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Chris,Stewart,LONG,12
27652041,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Griffin,Lay,REC,1
27652042,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Griffin,Lay,YDS,8
27652043,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Griffin,Lay,TD,0
27652044,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Griffin,Lay,LONG,8
27652045,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Justin,Ventura,REC,1
27652046,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Justin,Ventura,YDS,4
27652047,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Justin,Ventura,TD,0
27652048,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Justin,Ventura,LONG,4
27652049,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Charles,Davis,REC,1
27652050,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Charles,Davis,YDS,2
27652051,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Charles,Davis,TD,0
27652052,10/19/2019,D-III,Trinity (TX),Millsaps,RECEIVING,Charles,Davis,LONG,2
27652053,10/19/2019,D-III,Trinity (TX),Millsaps,PUNTING,Tj,Raniszeski,NO,3
27652054,10/19/2019,D-III,Trinity (TX),Millsaps,PUNTING,Tj,Raniszeski,YDS,112
27652055,10/19/2019,D-III,Trinity (TX),Millsaps,PUNTING,Tj,Raniszeski,AVG,37.3
27652056,10/19/2019,D-III,Trinity (TX),Millsaps,PUNTING,Tj,Raniszeski,LONG,47
27652057,10/19/2019,D-III,Trinity (TX),Millsaps,PUNT RETURNS,Chris,Stewart,NO,3
27652058,10/19/2019,D-III,Trinity (TX),Millsaps,PUNT RETURNS,Chris,Stewart,YDS,66
