ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27434001,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Brad,Foley,ATT,18
27434002,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Brad,Foley,YDS,153
27434003,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Brad,Foley,TD,1
27434004,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Brad,Foley,LONG,57
27434005,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Mario,Asagunla,ATT,24
27434006,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Mario,Asagunla,YDS,68
27434007,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Mario,Asagunla,TD,0
27434008,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Mario,Asagunla,LONG,34
27434009,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Kolbe,Blunt,ATT,5
27434010,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Kolbe,Blunt,YDS,17
27434011,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Kolbe,Blunt,TD,0
27434012,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Kolbe,Blunt,LONG,9
27434013,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Gabriel,Wilson,ATT,3
27434014,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Gabriel,Wilson,YDS,4
27434015,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Gabriel,Wilson,TD,0
27434016,10/5/2019,D-III,Belhaven,East Tex. Baptist,RUSHING,Gabriel,Wilson,LONG,2
27434017,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Mario,Asagunla,CP-ATT-INT,15-33-1
27434018,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Mario,Asagunla,YDS,148
27434019,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Mario,Asagunla,TD,1
27434020,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Mario,Asagunla,LONG,22
27434021,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Alex,Hawkins,CP-ATT-INT,0-1-0
27434022,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Alex,Hawkins,YDS,0
27434023,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Alex,Hawkins,TD,0
27434024,10/5/2019,D-III,Belhaven,East Tex. Baptist,PASSING,Alex,Hawkins,LONG,0
27434025,10/5/2019,D-III,Belhaven,East Tex. Baptist,RECEIVING,Fabien,Williams,REC,6
27434026,10/5/2019,D-III,Belhaven,East Tex. Baptist,RECEIVING,Fabien,Williams,YDS,72
27434027,10/5/2019,D-III,Belhaven,East Tex. Baptist,RECEIVING,Fabien,Williams,TD,0
27434028,10/5/2019,D-III,Belhaven,East Tex. Baptist,RECEIVING,Fabien,Williams,LONG,22
27434029,10/5/2019,D-III,Belhaven,East Tex. Baptist,RECEIVING,Lamar,Caradine,REC,5
