ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27369001,10/5/2019,D-III,Rowan,Wesley,RUSHING,Messiah,Divine,ATT,26
27369002,10/5/2019,D-III,Rowan,Wesley,RUSHING,Messiah,Divine,YDS,118
27369003,10/5/2019,D-III,Rowan,Wesley,RUSHING,Messiah,Divine,TD,1
27369004,10/5/2019,D-III,Rowan,Wesley,RUSHING,Messiah,Divine,LONG,30
27369005,10/5/2019,D-III,Rowan,Wesley,RUSHING,Carlton,Coleman,ATT,5
27369006,10/5/2019,D-III,Rowan,Wesley,RUSHING,Carlton,Coleman,YDS,19
27369007,10/5/2019,D-III,Rowan,Wesley,RUSHING,Carlton,Coleman,TD,0
27369008,10/5/2019,D-III,Rowan,Wesley,RUSHING,Carlton,Coleman,LONG,11
27369009,10/5/2019,D-III,Rowan,Wesley,RUSHING,Mike,Husni,ATT,13
27369010,10/5/2019,D-III,Rowan,Wesley,RUSHING,Mike,Husni,YDS,15
27369011,10/5/2019,D-III,Rowan,Wesley,RUSHING,Mike,Husni,TD,0
27369012,10/5/2019,D-III,Rowan,Wesley,RUSHING,Mike,Husni,LONG,7
27369013,10/5/2019,D-III,Rowan,Wesley,RUSHING,Ifreke,Andy,ATT,2
27369014,10/5/2019,D-III,Rowan,Wesley,RUSHING,Ifreke,Andy,YDS,4
27369015,10/5/2019,D-III,Rowan,Wesley,RUSHING,Ifreke,Andy,TD,0
27369016,10/5/2019,D-III,Rowan,Wesley,RUSHING,Ifreke,Andy,LONG,3
27369017,10/5/2019,D-III,Rowan,Wesley,RUSHING,Elijah,Rehm,ATT,1
27369018,10/5/2019,D-III,Rowan,Wesley,RUSHING,Elijah,Rehm,YDS,3
27369019,10/5/2019,D-III,Rowan,Wesley,RUSHING,Elijah,Rehm,TD,0
27369020,10/5/2019,D-III,Rowan,Wesley,RUSHING,Elijah,Rehm,LONG,3
27369021,10/5/2019,D-III,Rowan,Wesley,PASSING,Mike,Husni,CP-ATT-INT,15-24-1
27369022,10/5/2019,D-III,Rowan,Wesley,PASSING,Mike,Husni,YDS,114
27369023,10/5/2019,D-III,Rowan,Wesley,PASSING,Mike,Husni,TD,1
27369024,10/5/2019,D-III,Rowan,Wesley,PASSING,Mike,Husni,LONG,26
27369025,10/5/2019,D-III,Rowan,Wesley,PASSING,Nick,Grosso,CP-ATT-INT,2-2-0
27369026,10/5/2019,D-III,Rowan,Wesley,PASSING,Nick,Grosso,YDS,47
27369027,10/5/2019,D-III,Rowan,Wesley,PASSING,Nick,Grosso,TD,0
27369028,10/5/2019,D-III,Rowan,Wesley,PASSING,Nick,Grosso,LONG,42
27369029,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Nick,Grosso,REC,9
27369030,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Nick,Grosso,YDS,80
27369031,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Nick,Grosso,TD,1
27369032,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Nick,Grosso,LONG,26
27369033,10/5/2019,D-III,Rowan,Wesley,RECEIVING,John,Maldonado,REC,2
27369034,10/5/2019,D-III,Rowan,Wesley,RECEIVING,John,Maldonado,YDS,47
27369035,10/5/2019,D-III,Rowan,Wesley,RECEIVING,John,Maldonado,TD,0
27369036,10/5/2019,D-III,Rowan,Wesley,RECEIVING,John,Maldonado,LONG,42
27369037,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Elijah,Rehm,REC,4
27369038,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Elijah,Rehm,YDS,25
27369039,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Elijah,Rehm,TD,0
27369040,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Elijah,Rehm,LONG,9
27369041,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Cj,Barrett,REC,2
27369042,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Cj,Barrett,YDS,9
27369043,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Cj,Barrett,TD,0
27369044,10/5/2019,D-III,Rowan,Wesley,RECEIVING,Cj,Barrett,LONG,7
27369045,10/5/2019,D-III,Rowan,Wesley,PUNTING,Tom,Brennan,NO,4
27369046,10/5/2019,D-III,Rowan,Wesley,PUNTING,Tom,Brennan,YDS,129
27369047,10/5/2019,D-III,Rowan,Wesley,PUNTING,Tom,Brennan,AVG,32.3
27369048,10/5/2019,D-III,Rowan,Wesley,PUNTING,Tom,Brennan,LONG,40
27369049,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Elijah,Rehm,NO,1
27369050,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Elijah,Rehm,YDS,4
27369051,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Elijah,Rehm,AVG,4.0
27369052,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Elijah,Rehm,LONG,4
27369053,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Nick,Mainiero,NO,1
27369054,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Nick,Mainiero,YDS,0
27369055,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Nick,Mainiero,AVG,0.0
27369056,10/5/2019,D-III,Rowan,Wesley,PUNT RETURNS,Nick,Mainiero,LONG,0
27369057,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Elijah,Rehm,NO,1
27369058,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Elijah,Rehm,YDS,19
27369059,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Elijah,Rehm,AVG,19.0
27369060,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Elijah,Rehm,LONG,19
27369061,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Mike,Reed,NO,1
27369062,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Mike,Reed,YDS,24
27369063,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Mike,Reed,AVG,24.0
27369064,10/5/2019,D-III,Rowan,Wesley,KICK RETURNS,Mike,Reed,LONG,24
27369065,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Malachi,Winters,TOT,4
27369066,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Malachi,Winters,SOLO,
27369067,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Malachi,Winters,SACKS,4
27369068,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Malachi,Winters,TFL,
27369069,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Malachi,Winters,INT,
27369070,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Malachi,Winters,FF,
27369071,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Malachi,Winters,FR,
27369072,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Kameron,Kennedy,TOT,4
27369073,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Kameron,Kennedy,SOLO,
27369074,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Kameron,Kennedy,SACKS,4
27369075,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Kameron,Kennedy,TFL,
27369076,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Kameron,Kennedy,INT,
27369077,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Kameron,Kennedy,FF,
27369078,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Kameron,Kennedy,FR,1
27369079,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Sunny,Tapp,TOT,5
27369080,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Sunny,Tapp,SOLO,
27369081,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Sunny,Tapp,SACKS,4
27369082,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Sunny,Tapp,TFL,
27369083,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Sunny,Tapp,INT,
27369084,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Sunny,Tapp,FF,
27369085,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Sunny,Tapp,FR,2
27369086,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Manny,Pelzer,TOT,3
27369087,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Manny,Pelzer,SOLO,
27369088,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Manny,Pelzer,SACKS,2
27369089,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Manny,Pelzer,TFL,
27369090,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Manny,Pelzer,INT,
27369091,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Manny,Pelzer,FF,
27369092,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Manny,Pelzer,FR,
27369093,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Nick,Couzzi,TOT,1
27369094,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Nick,Couzzi,SOLO,
27369095,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Nick,Couzzi,SACKS,0
27369096,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Nick,Couzzi,TFL,
27369097,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Nick,Couzzi,INT,
27369098,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Nick,Couzzi,FF,
27369099,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Nick,Couzzi,FR,
27369100,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Ryan,Swenson,TOT,5
27369101,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Ryan,Swenson,SOLO,
27369102,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Ryan,Swenson,SACKS,4
27369103,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Ryan,Swenson,TFL,
27369104,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Ryan,Swenson,INT,
27369105,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Ryan,Swenson,FF,
27369106,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Ryan,Swenson,FR,
27369107,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Quincy,Jenkins,TOT,2
27369108,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Quincy,Jenkins,SOLO,
27369109,10/5/2019,D-III,Rowan,Wesley,DEFENSE,Quincy,Jenkins,SACKS,1
