ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
28096001,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Carlin,Bason,ATT,16
28096002,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Carlin,Bason,YDS,88
28096003,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Carlin,Bason,TD,0
28096004,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Carlin,Bason,LONG,42
28096005,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Gregory,Avent,ATT,8
28096006,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Gregory,Avent,YDS,26
28096007,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Gregory,Avent,TD,0
28096008,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Gregory,Avent,LONG,11
28096009,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Raekwon,Wright,ATT,6
28096010,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Raekwon,Wright,YDS,16
28096011,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Raekwon,Wright,TD,0
28096012,11/16/2019,D-III,Bethany (WV),Saint Vincent,RUSHING,Raekwon,Wright,LONG,7
28096013,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Carlin,Bason,CP-ATT-INT,5-11-1
28096014,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Carlin,Bason,YDS,81
28096015,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Carlin,Bason,TD,0
28096016,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Carlin,Bason,LONG,37
28096017,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Dom,Salinetro,CP-ATT-INT,5-10-0
28096018,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Dom,Salinetro,YDS,50
28096019,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Dom,Salinetro,TD,1
28096020,11/16/2019,D-III,Bethany (WV),Saint Vincent,PASSING,Dom,Salinetro,LONG,27
28096021,11/16/2019,D-III,Bethany (WV),Saint Vincent,RECEIVING,Hunter,Klein,REC,1
28096022,11/16/2019,D-III,Bethany (WV),Saint Vincent,RECEIVING,Hunter,Klein,YDS,37
28096023,11/16/2019,D-III,Bethany (WV),Saint Vincent,RECEIVING,Hunter,Klein,TD,0
28096024,11/16/2019,D-III,Bethany (WV),Saint Vincent,RECEIVING,Hunter,Klein,LONG,37
