ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
28058001,11/16/2019,D-III,Grove City,Thiel,RUSHING,Wesley,Schools,ATT,12
28058002,11/16/2019,D-III,Grove City,Thiel,RUSHING,Wesley,Schools,YDS,75
28058003,11/16/2019,D-III,Grove City,Thiel,RUSHING,Wesley,Schools,TD,3
28058004,11/16/2019,D-III,Grove City,Thiel,RUSHING,Wesley,Schools,LONG,17
28058005,11/16/2019,D-III,Grove City,Thiel,RUSHING,Zach,Trusky,ATT,13
28058006,11/16/2019,D-III,Grove City,Thiel,RUSHING,Zach,Trusky,YDS,75
28058007,11/16/2019,D-III,Grove City,Thiel,RUSHING,Zach,Trusky,TD,1
28058008,11/16/2019,D-III,Grove City,Thiel,RUSHING,Zach,Trusky,LONG,13
28058009,11/16/2019,D-III,Grove City,Thiel,RUSHING,Clayton,Parrish,ATT,5
28058010,11/16/2019,D-III,Grove City,Thiel,RUSHING,Clayton,Parrish,YDS,37
28058011,11/16/2019,D-III,Grove City,Thiel,RUSHING,Clayton,Parrish,TD,1
28058012,11/16/2019,D-III,Grove City,Thiel,RUSHING,Clayton,Parrish,LONG,12
28058013,11/16/2019,D-III,Grove City,Thiel,RUSHING,Jacob,Pfeifer,ATT,4
28058014,11/16/2019,D-III,Grove City,Thiel,RUSHING,Jacob,Pfeifer,YDS,21
28058015,11/16/2019,D-III,Grove City,Thiel,RUSHING,Jacob,Pfeifer,TD,0
28058016,11/16/2019,D-III,Grove City,Thiel,RUSHING,Jacob,Pfeifer,LONG,11
28058017,11/16/2019,D-III,Grove City,Thiel,RUSHING,Hunter,Jones,ATT,8
28058018,11/16/2019,D-III,Grove City,Thiel,RUSHING,Hunter,Jones,YDS,-3
28058019,11/16/2019,D-III,Grove City,Thiel,RUSHING,Hunter,Jones,TD,0
28058020,11/16/2019,D-III,Grove City,Thiel,RUSHING,Hunter,Jones,LONG,9
28058021,11/16/2019,D-III,Grove City,Thiel,RUSHING,B,Brungard,ATT,1
28058022,11/16/2019,D-III,Grove City,Thiel,RUSHING,B,Brungard,YDS,-9
28058023,11/16/2019,D-III,Grove City,Thiel,RUSHING,B,Brungard,TD,0
28058024,11/16/2019,D-III,Grove City,Thiel,RUSHING,B,Brungard,LONG,0
28058025,11/16/2019,D-III,Grove City,Thiel,PASSING,Josh,Ehst,CP-ATT-INT,16-22-0
28058026,11/16/2019,D-III,Grove City,Thiel,PASSING,Josh,Ehst,YDS,294
28058027,11/16/2019,D-III,Grove City,Thiel,PASSING,Josh,Ehst,TD,3
28058028,11/16/2019,D-III,Grove City,Thiel,PASSING,Josh,Ehst,LONG,59
28058029,11/16/2019,D-III,Grove City,Thiel,PASSING,Derek,Johncour,CP-ATT-INT,4-4-0
28058030,11/16/2019,D-III,Grove City,Thiel,PASSING,Derek,Johncour,YDS,29
28058031,11/16/2019,D-III,Grove City,Thiel,PASSING,Derek,Johncour,TD,0
28058032,11/16/2019,D-III,Grove City,Thiel,PASSING,Derek,Johncour,LONG,11
28058033,11/16/2019,D-III,Grove City,Thiel,PASSING,Tyler,Gustafson,CP-ATT-INT,1-1-0
28058034,11/16/2019,D-III,Grove City,Thiel,PASSING,Tyler,Gustafson,YDS,6
28058035,11/16/2019,D-III,Grove City,Thiel,PASSING,Tyler,Gustafson,TD,0
28058036,11/16/2019,D-III,Grove City,Thiel,PASSING,Tyler,Gustafson,LONG,6
28058037,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cody,Gustafson,REC,8
28058038,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cody,Gustafson,YDS,166
28058039,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cody,Gustafson,TD,2
28058040,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cody,Gustafson,LONG,42
28058041,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Drake,REC,6
28058042,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Drake,YDS,114
28058043,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Drake,TD,1
28058044,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Drake,LONG,59
28058045,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Branden,Caffrey,REC,3
28058046,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Branden,Caffrey,YDS,25
28058047,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Branden,Caffrey,TD,0
28058048,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Branden,Caffrey,LONG,11
28058049,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Roth,REC,3
28058050,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Roth,YDS,23
28058051,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Roth,TD,0
28058052,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Cameron,Roth,LONG,10
28058053,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Jacob,Schiela,REC,1
28058054,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Jacob,Schiela,YDS,1
28058055,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Jacob,Schiela,TD,0
28058056,11/16/2019,D-III,Grove City,Thiel,RECEIVING,Jacob,Schiela,LONG,1
28058057,11/16/2019,D-III,Grove City,Thiel,PUNTING,Caleb,Brake,NO,3
28058058,11/16/2019,D-III,Grove City,Thiel,PUNTING,Caleb,Brake,YDS,110
28058059,11/16/2019,D-III,Grove City,Thiel,PUNTING,Caleb,Brake,AVG,36.7
28058060,11/16/2019,D-III,Grove City,Thiel,PUNTING,Caleb,Brake,LONG,40
28058061,11/16/2019,D-III,Grove City,Thiel,PUNT RETURNS,Jacob,Ross,NO,1
28058062,11/16/2019,D-III,Grove City,Thiel,PUNT RETURNS,Jacob,Ross,YDS,0
28058063,11/16/2019,D-III,Grove City,Thiel,PUNT RETURNS,Jacob,Ross,AVG,0.0
28058064,11/16/2019,D-III,Grove City,Thiel,PUNT RETURNS,Jacob,Ross,LONG,0
28058065,11/16/2019,D-III,Grove City,Thiel,KICK RETURNS,Zach,Trusky,NO,1
28058066,11/16/2019,D-III,Grove City,Thiel,KICK RETURNS,Zach,Trusky,YDS,25
28058067,11/16/2019,D-III,Grove City,Thiel,KICK RETURNS,Zach,Trusky,AVG,25.0
28058068,11/16/2019,D-III,Grove City,Thiel,KICK RETURNS,Zach,Trusky,LONG,25
28058069,11/16/2019,D-III,Grove City,Thiel,DEFENSE,C,Freyermuth,TOT,3
28058070,11/16/2019,D-III,Grove City,Thiel,DEFENSE,C,Freyermuth,SOLO,
28058071,11/16/2019,D-III,Grove City,Thiel,DEFENSE,C,Freyermuth,SACKS,1
28058072,11/16/2019,D-III,Grove City,Thiel,DEFENSE,C,Freyermuth,TFL,
28058073,11/16/2019,D-III,Grove City,Thiel,DEFENSE,C,Freyermuth,INT,
28058074,11/16/2019,D-III,Grove City,Thiel,DEFENSE,C,Freyermuth,FF,
28058075,11/16/2019,D-III,Grove City,Thiel,DEFENSE,C,Freyermuth,FR,1
28058076,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Patrick,Mark,TOT,
28058077,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Patrick,Mark,SOLO,
28058078,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Patrick,Mark,SACKS,
28058079,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Patrick,Mark,TFL,
28058080,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Patrick,Mark,INT,
28058081,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Patrick,Mark,FF,1
28058082,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Patrick,Mark,FR,
28058083,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jared,Hurd,TOT,5
28058084,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jared,Hurd,SOLO,
28058085,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jared,Hurd,SACKS,5
28058086,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jared,Hurd,TFL,1
28058087,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jared,Hurd,INT,1
28058088,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jared,Hurd,FF,
28058089,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jared,Hurd,FR,
28058090,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Chris,Wolfe,TOT,1
28058091,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Chris,Wolfe,SOLO,
28058092,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Chris,Wolfe,SACKS,1
28058093,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Chris,Wolfe,TFL,
28058094,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Chris,Wolfe,INT,
28058095,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Chris,Wolfe,FF,
28058096,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Chris,Wolfe,FR,
28058097,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Parker,Kilgore,TOT,3
28058098,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Parker,Kilgore,SOLO,
28058099,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Parker,Kilgore,SACKS,3
28058100,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Parker,Kilgore,TFL,
28058101,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Parker,Kilgore,INT,
28058102,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Parker,Kilgore,FF,1
28058103,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Parker,Kilgore,FR,
28058104,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Troy,Donofrio,TOT,3
28058105,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Troy,Donofrio,SOLO,
28058106,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Troy,Donofrio,SACKS,3
28058107,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Troy,Donofrio,TFL,
28058108,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Troy,Donofrio,INT,
28058109,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Troy,Donofrio,FF,
28058110,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Troy,Donofrio,FR,1
28058111,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Nik,Grabiec,TOT,2
28058112,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Nik,Grabiec,SOLO,
28058113,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Nik,Grabiec,SACKS,2
28058114,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Nik,Grabiec,TFL,
28058115,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Nik,Grabiec,INT,
28058116,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Nik,Grabiec,FF,1
28058117,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Nik,Grabiec,FR,
28058118,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jacob,Ross,TOT,3
28058119,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jacob,Ross,SOLO,
28058120,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jacob,Ross,SACKS,3
28058121,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jacob,Ross,TFL,
28058122,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jacob,Ross,INT,
28058123,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jacob,Ross,FF,1
28058124,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jacob,Ross,FR,
28058125,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jackson,Mcfall,TOT,
28058126,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jackson,Mcfall,SOLO,
28058127,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jackson,Mcfall,SACKS,
28058128,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jackson,Mcfall,TFL,
28058129,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jackson,Mcfall,INT,
28058130,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jackson,Mcfall,FF,1
28058131,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Jackson,Mcfall,FR,
28058132,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Dan,Melville,TOT,2
28058133,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Dan,Melville,SOLO,
28058134,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Dan,Melville,SACKS,2
28058135,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Dan,Melville,TFL,
28058136,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Dan,Melville,INT,
28058137,11/16/2019,D-III,Grove City,Thiel,DEFENSE,Dan,Melville,FF,
