ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27795001,11/2/2019,D-III,DePauw,Denison,RUSHING,Liam,Pooler,ATT,12
27795002,11/2/2019,D-III,DePauw,Denison,RUSHING,Liam,Pooler,YDS,51
27795003,11/2/2019,D-III,DePauw,Denison,RUSHING,Liam,Pooler,TD,0
27795004,11/2/2019,D-III,DePauw,Denison,RUSHING,Liam,Pooler,LONG,11
27795005,11/2/2019,D-III,DePauw,Denison,RUSHING,Jarrod,Stiver,ATT,5
27795006,11/2/2019,D-III,DePauw,Denison,RUSHING,Jarrod,Stiver,YDS,14
27795007,11/2/2019,D-III,DePauw,Denison,RUSHING,Jarrod,Stiver,TD,1
27795008,11/2/2019,D-III,DePauw,Denison,RUSHING,Jarrod,Stiver,LONG,7
27795009,11/2/2019,D-III,DePauw,Denison,RUSHING,Will,Schmidt,ATT,4
27795010,11/2/2019,D-III,DePauw,Denison,RUSHING,Will,Schmidt,YDS,13
27795011,11/2/2019,D-III,DePauw,Denison,RUSHING,Will,Schmidt,TD,0
27795012,11/2/2019,D-III,DePauw,Denison,RUSHING,Will,Schmidt,LONG,5
27795013,11/2/2019,D-III,DePauw,Denison,RUSHING,Ty,Johnson,ATT,1
27795014,11/2/2019,D-III,DePauw,Denison,RUSHING,Ty,Johnson,YDS,2
27795015,11/2/2019,D-III,DePauw,Denison,RUSHING,Ty,Johnson,TD,0
27795016,11/2/2019,D-III,DePauw,Denison,RUSHING,Ty,Johnson,LONG,2
27795017,11/2/2019,D-III,DePauw,Denison,RUSHING,Collin,Knecht,ATT,8
27795018,11/2/2019,D-III,DePauw,Denison,RUSHING,Collin,Knecht,YDS,-44
27795019,11/2/2019,D-III,DePauw,Denison,RUSHING,Collin,Knecht,TD,0
27795020,11/2/2019,D-III,DePauw,Denison,RUSHING,Collin,Knecht,LONG,6
27795021,11/2/2019,D-III,DePauw,Denison,PASSING,Collin,Knecht,CP-ATT-INT,16-24-0
27795022,11/2/2019,D-III,DePauw,Denison,PASSING,Collin,Knecht,YDS,159
27795023,11/2/2019,D-III,DePauw,Denison,PASSING,Collin,Knecht,TD,0
27795024,11/2/2019,D-III,DePauw,Denison,PASSING,Collin,Knecht,LONG,29
27795025,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Harris,REC,3
27795026,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Harris,YDS,56
27795027,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Harris,TD,0
27795028,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Harris,LONG,24
27795029,11/2/2019,D-III,DePauw,Denison,RECEIVING,Nick,Canavan,REC,2
27795030,11/2/2019,D-III,DePauw,Denison,RECEIVING,Nick,Canavan,YDS,36
27795031,11/2/2019,D-III,DePauw,Denison,RECEIVING,Nick,Canavan,TD,0
27795032,11/2/2019,D-III,DePauw,Denison,RECEIVING,Nick,Canavan,LONG,21
27795033,11/2/2019,D-III,DePauw,Denison,RECEIVING,Jarrod,Stiver,REC,1
27795034,11/2/2019,D-III,DePauw,Denison,RECEIVING,Jarrod,Stiver,YDS,29
27795035,11/2/2019,D-III,DePauw,Denison,RECEIVING,Jarrod,Stiver,TD,0
27795036,11/2/2019,D-III,DePauw,Denison,RECEIVING,Jarrod,Stiver,LONG,29
27795037,11/2/2019,D-III,DePauw,Denison,RECEIVING,Ethan,Hudson,REC,2
27795038,11/2/2019,D-III,DePauw,Denison,RECEIVING,Ethan,Hudson,YDS,15
27795039,11/2/2019,D-III,DePauw,Denison,RECEIVING,Ethan,Hudson,TD,0
27795040,11/2/2019,D-III,DePauw,Denison,RECEIVING,Ethan,Hudson,LONG,9
27795041,11/2/2019,D-III,DePauw,Denison,RECEIVING,Chris,Valentine,REC,2
27795042,11/2/2019,D-III,DePauw,Denison,RECEIVING,Chris,Valentine,YDS,15
27795043,11/2/2019,D-III,DePauw,Denison,RECEIVING,Chris,Valentine,TD,0
27795044,11/2/2019,D-III,DePauw,Denison,RECEIVING,Chris,Valentine,LONG,9
27795045,11/2/2019,D-III,DePauw,Denison,RECEIVING,Cam,Haynes,REC,1
27795046,11/2/2019,D-III,DePauw,Denison,RECEIVING,Cam,Haynes,YDS,6
27795047,11/2/2019,D-III,DePauw,Denison,RECEIVING,Cam,Haynes,TD,0
27795048,11/2/2019,D-III,DePauw,Denison,RECEIVING,Cam,Haynes,LONG,6
27795049,11/2/2019,D-III,DePauw,Denison,RECEIVING,Liam,Pooler,REC,1
27795050,11/2/2019,D-III,DePauw,Denison,RECEIVING,Liam,Pooler,YDS,2
27795051,11/2/2019,D-III,DePauw,Denison,RECEIVING,Liam,Pooler,TD,0
27795052,11/2/2019,D-III,DePauw,Denison,RECEIVING,Liam,Pooler,LONG,2
27795053,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Schmidt,REC,1
27795054,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Schmidt,YDS,2
27795055,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Schmidt,TD,0
27795056,11/2/2019,D-III,DePauw,Denison,RECEIVING,Will,Schmidt,LONG,2
27795057,11/2/2019,D-III,DePauw,Denison,RECEIVING,Josh,Major,REC,2
27795058,11/2/2019,D-III,DePauw,Denison,RECEIVING,Josh,Major,YDS,0
27795059,11/2/2019,D-III,DePauw,Denison,RECEIVING,Josh,Major,TD,0
27795060,11/2/2019,D-III,DePauw,Denison,RECEIVING,Josh,Major,LONG,4
27795061,11/2/2019,D-III,DePauw,Denison,RECEIVING,Clay,Gietl,REC,1
27795062,11/2/2019,D-III,DePauw,Denison,RECEIVING,Clay,Gietl,YDS,-2
27795063,11/2/2019,D-III,DePauw,Denison,RECEIVING,Clay,Gietl,TD,0
27795064,11/2/2019,D-III,DePauw,Denison,RECEIVING,Clay,Gietl,LONG,0
27795065,11/2/2019,D-III,DePauw,Denison,PUNTING,Ty,Johnson,NO,3
27795066,11/2/2019,D-III,DePauw,Denison,PUNTING,Ty,Johnson,YDS,116
27795067,11/2/2019,D-III,DePauw,Denison,PUNTING,Ty,Johnson,AVG,38.7
27795068,11/2/2019,D-III,DePauw,Denison,PUNTING,Ty,Johnson,LONG,40
27795069,11/2/2019,D-III,DePauw,Denison,PUNT RETURNS,Chris,Valentine,NO,1
