ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27123001,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Eric,Thomas,ATT,16
27123002,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Eric,Thomas,YDS,58
27123003,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Eric,Thomas,TD,0
27123004,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Eric,Thomas,LONG,22
27123005,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Kobe,Smith,ATT,9
27123006,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Kobe,Smith,YDS,30
27123007,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Kobe,Smith,TD,0
27123008,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Kobe,Smith,LONG,14
27123009,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,D,Cunningham,ATT,3
27123010,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,D,Cunningham,YDS,10
27123011,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,D,Cunningham,TD,0
27123012,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,D,Cunningham,LONG,5
27123013,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Michael,Lambert,ATT,4
27123014,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Michael,Lambert,YDS,-11
27123015,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Michael,Lambert,TD,0
27123016,9/14/2019,D-III,Huntingdon,Birmingham-So.,RUSHING,Michael,Lambert,LONG,2
27123017,9/14/2019,D-III,Huntingdon,Birmingham-So.,PASSING,Michael,Lambert,CP-ATT-INT,15-32-1
27123018,9/14/2019,D-III,Huntingdon,Birmingham-So.,PASSING,Michael,Lambert,YDS,117
27123019,9/14/2019,D-III,Huntingdon,Birmingham-So.,PASSING,Michael,Lambert,TD,1
27123020,9/14/2019,D-III,Huntingdon,Birmingham-So.,PASSING,Michael,Lambert,LONG,13
27123021,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cj,Pugh,REC,2
27123022,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cj,Pugh,YDS,25
27123023,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cj,Pugh,TD,0
27123024,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cj,Pugh,LONG,13
27123025,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,S,Verger,REC,2
27123026,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,S,Verger,YDS,25
27123027,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,S,Verger,TD,0
27123028,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,S,Verger,LONG,13
27123029,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Garrett,Headley,REC,2
27123030,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Garrett,Headley,YDS,15
27123031,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Garrett,Headley,TD,0
27123032,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Garrett,Headley,LONG,8
27123033,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Bailey,Densel,REC,1
27123034,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Bailey,Densel,YDS,13
27123035,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Bailey,Densel,TD,0
27123036,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Bailey,Densel,LONG,13
27123037,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Malachi,Harvey,REC,1
27123038,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Malachi,Harvey,YDS,13
27123039,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Malachi,Harvey,TD,0
27123040,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Malachi,Harvey,LONG,13
27123041,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Otis,Porter,REC,1
27123042,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Otis,Porter,YDS,8
27123043,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Otis,Porter,TD,0
27123044,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Otis,Porter,LONG,8
27123045,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cody,Dwyer,REC,2
27123046,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cody,Dwyer,YDS,6
27123047,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cody,Dwyer,TD,0
27123048,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Cody,Dwyer,LONG,7
27123049,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,D,Cunningham,REC,1
27123050,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,D,Cunningham,YDS,6
27123051,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,D,Cunningham,TD,0
27123052,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,D,Cunningham,LONG,6
27123053,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Jake,Lackey,REC,1
27123054,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Jake,Lackey,YDS,4
27123055,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Jake,Lackey,TD,0
27123056,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Jake,Lackey,LONG,4
27123057,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Zack,Self,REC,1
27123058,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Zack,Self,YDS,3
27123059,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Zack,Self,TD,1
27123060,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Zack,Self,LONG,3
27123061,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Eric,Thomas,REC,1
27123062,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Eric,Thomas,YDS,-1
27123063,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Eric,Thomas,TD,0
27123064,9/14/2019,D-III,Huntingdon,Birmingham-So.,RECEIVING,Eric,Thomas,LONG,0
27123065,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNTING,Zach,Johnson,NO,7
27123066,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNTING,Zach,Johnson,YDS,269
27123067,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNTING,Zach,Johnson,AVG,38.4
27123068,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNTING,Zach,Johnson,LONG,47
27123069,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNT RETURNS,Cj,Pugh,NO,1
27123070,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNT RETURNS,Cj,Pugh,YDS,0
27123071,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNT RETURNS,Cj,Pugh,AVG,0.0
27123072,9/14/2019,D-III,Huntingdon,Birmingham-So.,PUNT RETURNS,Cj,Pugh,LONG,0
27123073,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Eric,Thomas,NO,5
27123074,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Eric,Thomas,YDS,115
27123075,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Eric,Thomas,AVG,23.0
27123076,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Eric,Thomas,LONG,38
27123077,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Garrett,Headley,NO,2
27123078,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Garrett,Headley,YDS,15
27123079,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Garrett,Headley,AVG,7.5
27123080,9/14/2019,D-III,Huntingdon,Birmingham-So.,KICK RETURNS,Garrett,Headley,LONG,9
27123081,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Mal,Caldwell,TOT,9
27123082,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Mal,Caldwell,SOLO,
27123083,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Mal,Caldwell,SACKS,6
27123084,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Mal,Caldwell,TFL,
27123085,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Mal,Caldwell,INT,
27123086,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Mal,Caldwell,FF,
27123087,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Mal,Caldwell,FR,
27123088,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Kelvin,Bowser,TOT,2
27123089,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Kelvin,Bowser,SOLO,
27123090,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Kelvin,Bowser,SACKS,2
27123091,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Kelvin,Bowser,TFL,
27123092,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Kelvin,Bowser,INT,
27123093,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Kelvin,Bowser,FF,
27123094,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Kelvin,Bowser,FR,
27123095,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,K,Thornton,TOT,3
27123096,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,K,Thornton,SOLO,
27123097,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,K,Thornton,SACKS,2
27123098,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,K,Thornton,TFL,
27123099,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,K,Thornton,INT,
27123100,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,K,Thornton,FF,
27123101,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,K,Thornton,FR,
27123102,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Fred,Flavors,TOT,5
27123103,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Fred,Flavors,SOLO,
27123104,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Fred,Flavors,SACKS,3
27123105,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Fred,Flavors,TFL,
27123106,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Fred,Flavors,INT,
27123107,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Fred,Flavors,FF,
27123108,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Fred,Flavors,FR,
27123109,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,D,Griffith,TOT,1
27123110,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,D,Griffith,SOLO,
27123111,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,D,Griffith,SACKS,0
27123112,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,D,Griffith,TFL,
27123113,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,D,Griffith,INT,
27123114,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,D,Griffith,FF,
27123115,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,D,Griffith,FR,
27123116,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Michael,Lambert,TOT,1
27123117,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Michael,Lambert,SOLO,
27123118,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Michael,Lambert,SACKS,1
27123119,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Michael,Lambert,TFL,
27123120,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Michael,Lambert,INT,
27123121,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Michael,Lambert,FF,
27123122,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Michael,Lambert,FR,
27123123,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Peyton,Defleron,TOT,4
27123124,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Peyton,Defleron,SOLO,
27123125,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Peyton,Defleron,SACKS,1
27123126,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Peyton,Defleron,TFL,
27123127,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Peyton,Defleron,INT,
27123128,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Peyton,Defleron,FF,
27123129,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Peyton,Defleron,FR,
27123130,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Karl,Dorn,TOT,4
27123131,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Karl,Dorn,SOLO,
27123132,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Karl,Dorn,SACKS,3
27123133,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Karl,Dorn,TFL,
27123134,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Karl,Dorn,INT,
27123135,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Karl,Dorn,FF,
27123136,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Karl,Dorn,FR,
27123137,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Lexie,Shaw,TOT,2
27123138,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Lexie,Shaw,SOLO,
27123139,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Lexie,Shaw,SACKS,1
27123140,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Lexie,Shaw,TFL,
27123141,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Lexie,Shaw,INT,
27123142,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Lexie,Shaw,FF,
27123143,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Lexie,Shaw,FR,
27123144,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Seth,Warren,TOT,5
27123145,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Seth,Warren,SOLO,
27123146,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Seth,Warren,SACKS,1
27123147,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Seth,Warren,TFL,
27123148,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Seth,Warren,INT,
27123149,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Seth,Warren,FF,
27123150,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Seth,Warren,FR,
27123151,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Sawyer,Kendrick,TOT,2
27123152,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Sawyer,Kendrick,SOLO,
27123153,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Sawyer,Kendrick,SACKS,0
27123154,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Sawyer,Kendrick,TFL,
27123155,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Sawyer,Kendrick,INT,
27123156,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Sawyer,Kendrick,FF,
27123157,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Sawyer,Kendrick,FR,
27123158,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Ahmaud,Taylor,TOT,6
27123159,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Ahmaud,Taylor,SOLO,
27123160,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Ahmaud,Taylor,SACKS,2
27123161,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Ahmaud,Taylor,TFL,
27123162,9/14/2019,D-III,Huntingdon,Birmingham-So.,DEFENSE,Ahmaud,Taylor,INT,
