ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27173001,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Amir,Mells,ATT,11
27173002,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Amir,Mells,YDS,29
27173003,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Amir,Mells,TD,0
27173004,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Amir,Mells,LONG,12
27173005,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,William,Mcglynn,ATT,7
27173006,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,William,Mcglynn,YDS,21
27173007,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,William,Mcglynn,TD,1
27173008,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,William,Mcglynn,LONG,6
27173009,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Aaron-moses,Williams,ATT,4
27173010,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Aaron-moses,Williams,YDS,14
27173011,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Aaron-moses,Williams,TD,0
27173012,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Aaron-moses,Williams,LONG,8
27173013,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Stephen,Miranda,ATT,2
27173014,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Stephen,Miranda,YDS,0
27173015,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Stephen,Miranda,TD,0
27173016,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Stephen,Miranda,LONG,1
27173017,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Zack,Roberts,ATT,1
27173018,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Zack,Roberts,YDS,0
27173019,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Zack,Roberts,TD,0
27173020,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Zack,Roberts,LONG,0
27173021,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Alexander,Childs,ATT,1
27173022,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Alexander,Childs,YDS,-1
27173023,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Alexander,Childs,TD,0
27173024,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,Alexander,Childs,LONG,0
27173025,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,,Team,ATT,1
27173026,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,,Team,YDS,-1
27173027,9/21/2019,D-III,Worcester St.,Plymouth St.,RUSHING,,Team,TD,0
