ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
454001,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Brendan,Douglas,ATT,17
454002,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Brendan,Douglas,YDS,84
454003,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Brendan,Douglas,TD,0
454004,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Brendan,Douglas,LONG,16
454005,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,J.J.,Green,ATT,13
454006,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,J.J.,Green,YDS,32
454007,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,J.J.,Green,TD,0
454008,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,J.J.,Green,LONG,13
454009,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Aaron,Murray,ATT,4
454010,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Aaron,Murray,YDS,10
454011,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Aaron,Murray,TD,2
454012,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,Aaron,Murray,LONG,4
454013,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,,Team,ATT,1
454014,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,,Team,YDS,-19
454015,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,,Team,TD,0
454016,10/19/2013,FBS,Georgia,Vanderbilt,RUSHING,,Team,LONG,0
454017,10/19/2013,FBS,Georgia,Vanderbilt,PASSING,Aaron,Murray,CP-ATT-INT,16-28-1
454018,10/19/2013,FBS,Georgia,Vanderbilt,PASSING,Aaron,Murray,YDS,114
454019,10/19/2013,FBS,Georgia,Vanderbilt,PASSING,Aaron,Murray,TD,0
454020,10/19/2013,FBS,Georgia,Vanderbilt,PASSING,Aaron,Murray,LONG,17
454021,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Chris,Conley,REC,5
454022,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Chris,Conley,YDS,40
454023,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Chris,Conley,TD,0
454024,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Chris,Conley,LONG,15
454025,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Reggie,Davis,REC,2
454026,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Reggie,Davis,YDS,13
454027,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Reggie,Davis,TD,0
454028,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Reggie,Davis,LONG,11
454029,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rantavious,Wooten,REC,2
454030,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rantavious,Wooten,YDS,7
454031,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rantavious,Wooten,TD,0
454032,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rantavious,Wooten,LONG,4
454033,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Quayvon,Hicks,REC,2
454034,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Quayvon,Hicks,YDS,3
454035,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Quayvon,Hicks,TD,0
454036,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Quayvon,Hicks,LONG,3
454037,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,J.J.,Green,REC,1
454038,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,J.J.,Green,YDS,17
454039,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,J.J.,Green,TD,0
454040,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,J.J.,Green,LONG,17
454041,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rhett,McGowan,REC,1
454042,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rhett,McGowan,YDS,12
454043,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rhett,McGowan,TD,0
454044,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Rhett,McGowan,LONG,12
454045,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Jay,Rome,REC,1
454046,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Jay,Rome,YDS,8
454047,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Jay,Rome,TD,0
454048,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Jay,Rome,LONG,8
454049,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Arthur,Lynch,REC,1
454050,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Arthur,Lynch,YDS,7
454051,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Arthur,Lynch,TD,0
454052,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Arthur,Lynch,LONG,7
454053,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Brendan,Douglas,REC,1
454054,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Brendan,Douglas,YDS,7
454055,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Brendan,Douglas,TD,0
454056,10/19/2013,FBS,Georgia,Vanderbilt,RECEIVING,Brendan,Douglas,LONG,8
454057,10/19/2013,FBS,Georgia,Vanderbilt,KICKING,Marshall,Morgan,FG-FGA,2/2
454058,10/19/2013,FBS,Georgia,Vanderbilt,KICKING,Marshall,Morgan,LONG,23
454059,10/19/2013,FBS,Georgia,Vanderbilt,KICKING,Marshall,Morgan,XP,3
454060,10/19/2013,FBS,Georgia,Vanderbilt,KICKING,Marshall,Morgan,PTS,9
454061,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Collin,Barber,NO,4
454062,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Collin,Barber,YDS,185
454063,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Collin,Barber,AVG,46.3
454064,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Collin,Barber,LONG,52
454065,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Adam,Erickson,NO,1
454066,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Adam,Erickson,YDS,35
454067,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Adam,Erickson,AVG,35.0
454068,10/19/2013,FBS,Georgia,Vanderbilt,PUNTING,Adam,Erickson,LONG,35
454069,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Reggie,Davis,NO,1
454070,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Reggie,Davis,YDS,15
454071,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Reggie,Davis,AVG,15.0
454072,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Reggie,Davis,LONG,15
454073,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Damian,Swann,NO,1
454074,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Damian,Swann,YDS,0
454075,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Damian,Swann,AVG,0.0
454076,10/19/2013,FBS,Georgia,Vanderbilt,PUNT RETURNS,Damian,Swann,LONG,0
454077,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jerron,Seymour,ATT,19
454078,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jerron,Seymour,YDS,75
454079,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jerron,Seymour,TD,2
454080,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jerron,Seymour,LONG,17
454081,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Austyn,Carta-Samuels,ATT,4
454082,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Austyn,Carta-Samuels,YDS,12
454083,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Austyn,Carta-Samuels,TD,0
454084,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Austyn,Carta-Samuels,LONG,12
454085,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jordan,Matthews,ATT,1
454086,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jordan,Matthews,YDS,11
454087,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jordan,Matthews,TD,0
454088,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Jordan,Matthews,LONG,11
454089,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Wesley,Tate,ATT,4
454090,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Wesley,Tate,YDS,10
454091,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Wesley,Tate,TD,0
454092,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Wesley,Tate,LONG,7
454093,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Patton,Robinette,ATT,9
454094,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Patton,Robinette,YDS,8
454095,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Patton,Robinette,TD,1
454096,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Patton,Robinette,LONG,12
454097,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Carey,Spear,ATT,1
454098,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Carey,Spear,YDS,3
454099,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Carey,Spear,TD,1
454100,10/19/2013,FBS,Vanderbilt,Georgia,RUSHING,Carey,Spear,LONG,3
454101,10/19/2013,FBS,Vanderbilt,Georgia,PASSING,Austyn,Carta-Samuels,CP-ATT-INT,12-20-1
454102,10/19/2013,FBS,Vanderbilt,Georgia,PASSING,Austyn,Carta-Samuels,YDS,111
454103,10/19/2013,FBS,Vanderbilt,Georgia,PASSING,Austyn,Carta-Samuels,TD,0
454104,10/19/2013,FBS,Vanderbilt,Georgia,PASSING,Austyn,Carta-Samuels,LONG,17
