ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
514001,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Kenneth,Dixon,ATT,23
514002,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Kenneth,Dixon,YDS,119
514003,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Kenneth,Dixon,TD,0
514004,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Kenneth,Dixon,LONG,20
514005,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,D.J.,Banks,ATT,5
514006,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,D.J.,Banks,YDS,27
514007,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,D.J.,Banks,TD,0
514008,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,D.J.,Banks,LONG,20
514009,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Blake,Martin,ATT,7
514010,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Blake,Martin,YDS,20
514011,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Blake,Martin,TD,0
514012,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Blake,Martin,LONG,7
514013,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,,Team,ATT,2
514014,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,,Team,YDS,-2
514015,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,,Team,TD,0
514016,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,,Team,LONG,0
514017,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Paul,Harris,ATT,1
514018,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Paul,Harris,YDS,-9
514019,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Paul,Harris,TD,0
514020,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Paul,Harris,LONG,0
514021,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Ryan,Higgins,ATT,9
514022,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Ryan,Higgins,YDS,-14
514023,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Ryan,Higgins,TD,0
514024,10/26/2013,FBS,Louisiana Tech,FIU,RUSHING,Ryan,Higgins,LONG,3
514025,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Ryan,Higgins,CP-ATT-INT,20-31-3
514026,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Ryan,Higgins,YDS,192
514027,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Ryan,Higgins,TD,1
514028,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Ryan,Higgins,LONG,39
514029,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Paul,Harris,CP-ATT-INT,0-1-0
514030,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Paul,Harris,YDS,0
514031,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Paul,Harris,TD,0
514032,10/26/2013,FBS,Louisiana Tech,FIU,PASSING,Paul,Harris,LONG,0
514033,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jon,Greenwalt,REC,4
514034,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jon,Greenwalt,YDS,46
514035,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jon,Greenwalt,TD,0
514036,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jon,Greenwalt,LONG,16
514037,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Trent,Taylor,REC,4
514038,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Trent,Taylor,YDS,19
514039,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Trent,Taylor,TD,0
514040,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Trent,Taylor,LONG,8
514041,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Kenneth,Dixon,REC,3
514042,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Kenneth,Dixon,YDS,64
514043,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Kenneth,Dixon,TD,1
514044,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Kenneth,Dixon,LONG,39
514045,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,D.J.,Banks,REC,3
514046,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,D.J.,Banks,YDS,29
514047,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,D.J.,Banks,TD,0
514048,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,D.J.,Banks,LONG,14
514049,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Richie,Casey,REC,2
514050,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Richie,Casey,YDS,9
514051,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Richie,Casey,TD,0
514052,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Richie,Casey,LONG,5
514053,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jaydrick,DeClouette,REC,1
514054,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jaydrick,DeClouette,YDS,14
514055,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jaydrick,DeClouette,TD,0
514056,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Jaydrick,DeClouette,LONG,14
514057,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Sterling,Griffin,REC,1
514058,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Sterling,Griffin,YDS,8
514059,10/26/2013,FBS,Louisiana Tech,FIU,RECEIVING,Sterling,Griffin,TD,0
