ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
353001,10/5/2013,FBS,Georgia,Tennessee,RUSHING,J.J.,Green,ATT,17
353002,10/5/2013,FBS,Georgia,Tennessee,RUSHING,J.J.,Green,YDS,129
353003,10/5/2013,FBS,Georgia,Tennessee,RUSHING,J.J.,Green,TD,0
353004,10/5/2013,FBS,Georgia,Tennessee,RUSHING,J.J.,Green,LONG,32
353005,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Aaron,Murray,ATT,3
353006,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Aaron,Murray,YDS,53
353007,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Aaron,Murray,TD,0
353008,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Aaron,Murray,LONG,57
353009,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Keith,Marshall,ATT,5
353010,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Keith,Marshall,YDS,33
353011,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Keith,Marshall,TD,0
353012,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Keith,Marshall,LONG,13
353013,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Brendan,Douglas,ATT,10
353014,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Brendan,Douglas,YDS,25
353015,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Brendan,Douglas,TD,1
353016,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Brendan,Douglas,LONG,14
353017,10/5/2013,FBS,Georgia,Tennessee,RUSHING,,Team,ATT,1
353018,10/5/2013,FBS,Georgia,Tennessee,RUSHING,,Team,YDS,-1
353019,10/5/2013,FBS,Georgia,Tennessee,RUSHING,,Team,TD,0
353020,10/5/2013,FBS,Georgia,Tennessee,RUSHING,,Team,LONG,0
353021,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Merritt,Hall,ATT,1
353022,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Merritt,Hall,YDS,-1
353023,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Merritt,Hall,TD,0
353024,10/5/2013,FBS,Georgia,Tennessee,RUSHING,Merritt,Hall,LONG,0
353025,10/5/2013,FBS,Georgia,Tennessee,PASSING,Aaron,Murray,CP-ATT-INT,19-35-0
353026,10/5/2013,FBS,Georgia,Tennessee,PASSING,Aaron,Murray,YDS,196
353027,10/5/2013,FBS,Georgia,Tennessee,PASSING,Aaron,Murray,TD,3
353028,10/5/2013,FBS,Georgia,Tennessee,PASSING,Aaron,Murray,LONG,32
353029,10/5/2013,FBS,Georgia,Tennessee,RECEIVING,Rantavious,Wooten,REC,6
353030,10/5/2013,FBS,Georgia,Tennessee,RECEIVING,Rantavious,Wooten,YDS,38
353031,10/5/2013,FBS,Georgia,Tennessee,RECEIVING,Rantavious,Wooten,TD,2
353032,10/5/2013,FBS,Georgia,Tennessee,RECEIVING,Rantavious,Wooten,LONG,10
353033,10/5/2013,FBS,Georgia,Tennessee,RECEIVING,Chris,Conley,REC,5
353034,10/5/2013,FBS,Georgia,Tennessee,RECEIVING,Chris,Conley,YDS,64
353035,10/5/2013,FBS,Georgia,Tennessee,RECEIVING,Chris,Conley,TD,1
