ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
652001,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Beau,Blankenship,ATT,9
652002,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Beau,Blankenship,YDS,26
652003,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Beau,Blankenship,TD,0
652004,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Beau,Blankenship,LONG,12
652005,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tim,Edmond,ATT,8
652006,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tim,Edmond,YDS,20
652007,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tim,Edmond,TD,0
652008,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tim,Edmond,LONG,11
652009,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Derrius,Vick,ATT,5
652010,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Derrius,Vick,YDS,9
652011,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Derrius,Vick,TD,0
652012,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Derrius,Vick,LONG,13
652013,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Donte,Foster,ATT,1
652014,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Donte,Foster,YDS,5
652015,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Donte,Foster,TD,0
652016,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Donte,Foster,LONG,5
652017,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Grant,Venham,ATT,1
652018,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Grant,Venham,YDS,2
652019,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Grant,Venham,TD,0
652020,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Grant,Venham,LONG,2
652021,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tyler,Tettleton,ATT,5
652022,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tyler,Tettleton,YDS,-6
652023,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tyler,Tettleton,TD,0
652024,11/12/2013,FBS,Ohio,Bowling Green,RUSHING,Tyler,Tettleton,LONG,2
652025,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Tyler,Tettleton,CP-ATT-INT,15-27-1
652026,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Tyler,Tettleton,YDS,93
652027,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Tyler,Tettleton,TD,0
652028,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Tyler,Tettleton,LONG,16
652029,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Derrius,Vick,CP-ATT-INT,3-6-0
652030,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Derrius,Vick,YDS,23
652031,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Derrius,Vick,TD,0
652032,11/12/2013,FBS,Ohio,Bowling Green,PASSING,Derrius,Vick,LONG,11
652033,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Sebastian,Smith,REC,3
652034,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Sebastian,Smith,YDS,16
652035,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Sebastian,Smith,TD,0
652036,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Sebastian,Smith,LONG,10
652037,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Troy,Hill,REC,2
652038,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Troy,Hill,YDS,28
652039,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Troy,Hill,TD,0
652040,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Troy,Hill,LONG,16
652041,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Chase,Cochran,REC,2
652042,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Chase,Cochran,YDS,15
652043,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Chase,Cochran,TD,0
652044,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Chase,Cochran,LONG,8
652045,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Kawmae,Sawyer,REC,2
652046,11/12/2013,FBS,Ohio,Bowling Green,RECEIVING,Kawmae,Sawyer,YDS,12
