ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
596001,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,James,White,ATT,19
596002,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,James,White,YDS,132
596003,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,James,White,TD,2
596004,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,James,White,LONG,59
596005,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Melvin,Gordon,ATT,17
596006,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Melvin,Gordon,YDS,62
596007,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Melvin,Gordon,TD,0
596008,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Melvin,Gordon,LONG,13
596009,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Joel,Stave,ATT,7
596010,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Joel,Stave,YDS,15
596011,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Joel,Stave,TD,0
596012,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Joel,Stave,LONG,10
596013,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Jared,Abbrederis,ATT,1
596014,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Jared,Abbrederis,YDS,11
596015,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Jared,Abbrederis,TD,0
596016,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,Jared,Abbrederis,LONG,11
596017,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,,Team,ATT,1
596018,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,,Team,YDS,-2
596019,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,,Team,TD,0
596020,11/2/2013,FBS,Wisconsin,Iowa,RUSHING,,Team,LONG,0
596021,11/2/2013,FBS,Wisconsin,Iowa,PASSING,Joel,Stave,CP-ATT-INT,11-19-1
596022,11/2/2013,FBS,Wisconsin,Iowa,PASSING,Joel,Stave,YDS,144
596023,11/2/2013,FBS,Wisconsin,Iowa,PASSING,Joel,Stave,TD,2
596024,11/2/2013,FBS,Wisconsin,Iowa,PASSING,Joel,Stave,LONG,44
596025,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jacob,Pedersen,REC,3
596026,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jacob,Pedersen,YDS,73
596027,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jacob,Pedersen,TD,1
596028,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jacob,Pedersen,LONG,44
596029,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jared,Abbrederis,REC,3
596030,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jared,Abbrederis,YDS,30
596031,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jared,Abbrederis,TD,1
596032,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jared,Abbrederis,LONG,20
596033,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,James,White,REC,2
596034,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,James,White,YDS,19
596035,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,James,White,TD,0
596036,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,James,White,LONG,10
596037,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Kenzel,Doe,REC,2
596038,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Kenzel,Doe,YDS,17
596039,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Kenzel,Doe,TD,0
596040,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Kenzel,Doe,LONG,11
596041,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jeff,Duckworth,REC,1
596042,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jeff,Duckworth,YDS,5
596043,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jeff,Duckworth,TD,0
596044,11/2/2013,FBS,Wisconsin,Iowa,RECEIVING,Jeff,Duckworth,LONG,5
596045,11/2/2013,FBS,Wisconsin,Iowa,KICKING,Jack,Russell,FG-FGA,0/1
596046,11/2/2013,FBS,Wisconsin,Iowa,KICKING,Jack,Russell,LONG,-
596047,11/2/2013,FBS,Wisconsin,Iowa,KICKING,Jack,Russell,XP,4
596048,11/2/2013,FBS,Wisconsin,Iowa,KICKING,Jack,Russell,PTS,4
596049,11/2/2013,FBS,Wisconsin,Iowa,PUNTING,Drew,Meyer,NO,8
596050,11/2/2013,FBS,Wisconsin,Iowa,PUNTING,Drew,Meyer,YDS,271
596051,11/2/2013,FBS,Wisconsin,Iowa,PUNTING,Drew,Meyer,AVG,33.9
596052,11/2/2013,FBS,Wisconsin,Iowa,PUNTING,Drew,Meyer,LONG,50
596053,11/2/2013,FBS,Wisconsin,Iowa,PUNT RETURNS,Kenzel,Doe,NO,2
596054,11/2/2013,FBS,Wisconsin,Iowa,PUNT RETURNS,Kenzel,Doe,YDS,-1
596055,11/2/2013,FBS,Wisconsin,Iowa,PUNT RETURNS,Kenzel,Doe,AVG,-0.5
596056,11/2/2013,FBS,Wisconsin,Iowa,PUNT RETURNS,Kenzel,Doe,LONG,1
596057,11/2/2013,FBS,Wisconsin,Iowa,KICK RETURNS,Kenzel,Doe,NO,2
596058,11/2/2013,FBS,Wisconsin,Iowa,KICK RETURNS,Kenzel,Doe,YDS,40
596059,11/2/2013,FBS,Wisconsin,Iowa,KICK RETURNS,Kenzel,Doe,AVG,20.0
596060,11/2/2013,FBS,Wisconsin,Iowa,KICK RETURNS,Kenzel,Doe,LONG,22
596061,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jordan,Canzeri,ATT,5
596062,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jordan,Canzeri,YDS,58
596063,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jordan,Canzeri,TD,0
596064,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jordan,Canzeri,LONG,43
596065,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jake,Rudock,ATT,4
596066,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jake,Rudock,YDS,18
596067,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jake,Rudock,TD,0
596068,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Jake,Rudock,LONG,7
596069,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Mark,Weisman,ATT,9
596070,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Mark,Weisman,YDS,15
596071,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Mark,Weisman,TD,0
596072,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Mark,Weisman,LONG,8
596073,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,LeShun,DanielsJr.,ATT,4
596074,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,LeShun,DanielsJr.,YDS,14
596075,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,LeShun,DanielsJr.,TD,0
596076,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,LeShun,DanielsJr.,LONG,6
596077,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Damon,Bullock,ATT,6
596078,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Damon,Bullock,YDS,6
596079,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Damon,Bullock,TD,0
596080,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,Damon,Bullock,LONG,4
596081,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,C.J.,Beathard,ATT,4
596082,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,C.J.,Beathard,YDS,-1
596083,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,C.J.,Beathard,TD,0
596084,11/2/2013,FBS,Iowa,Wisconsin,RUSHING,C.J.,Beathard,LONG,6
596085,11/2/2013,FBS,Iowa,Wisconsin,PASSING,Jake,Rudock,CP-ATT-INT,12-24-1
596086,11/2/2013,FBS,Iowa,Wisconsin,PASSING,Jake,Rudock,YDS,109
596087,11/2/2013,FBS,Iowa,Wisconsin,PASSING,Jake,Rudock,TD,0
596088,11/2/2013,FBS,Iowa,Wisconsin,PASSING,Jake,Rudock,LONG,24
596089,11/2/2013,FBS,Iowa,Wisconsin,PASSING,C.J.,Beathard,CP-ATT-INT,4-15-1
596090,11/2/2013,FBS,Iowa,Wisconsin,PASSING,C.J.,Beathard,YDS,70
596091,11/2/2013,FBS,Iowa,Wisconsin,PASSING,C.J.,Beathard,TD,0
596092,11/2/2013,FBS,Iowa,Wisconsin,PASSING,C.J.,Beathard,LONG,38
596093,11/2/2013,FBS,Iowa,Wisconsin,PASSING,,Team,CP-ATT-INT,0-1-0
596094,11/2/2013,FBS,Iowa,Wisconsin,PASSING,,Team,YDS,0
596095,11/2/2013,FBS,Iowa,Wisconsin,PASSING,,Team,TD,0
596096,11/2/2013,FBS,Iowa,Wisconsin,PASSING,,Team,LONG,0
596097,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damond,Powell,REC,3
596098,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damond,Powell,YDS,43
596099,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damond,Powell,TD,0
596100,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damond,Powell,LONG,38
596101,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damon,Bullock,REC,3
596102,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damon,Bullock,YDS,39
596103,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damon,Bullock,TD,0
596104,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Damon,Bullock,LONG,24
596105,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Don,Shumpert,REC,2
596106,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Don,Shumpert,YDS,35
596107,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Don,Shumpert,TD,0
596108,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Don,Shumpert,LONG,18
596109,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Tevaun,Smith,REC,2
596110,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Tevaun,Smith,YDS,26
596111,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Tevaun,Smith,TD,0
596112,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Tevaun,Smith,LONG,17
596113,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Jake,Duzey,REC,2
596114,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Jake,Duzey,YDS,8
596115,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Jake,Duzey,TD,0
596116,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Jake,Duzey,LONG,6
596117,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Kevonte,Martin-Manley,REC,2
596118,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Kevonte,Martin-Manley,YDS,6
596119,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Kevonte,Martin-Manley,TD,0
596120,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Kevonte,Martin-Manley,LONG,4
596121,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,C.J.,Fiedorowicz,REC,1
596122,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,C.J.,Fiedorowicz,YDS,16
596123,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,C.J.,Fiedorowicz,TD,0
596124,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,C.J.,Fiedorowicz,LONG,16
596125,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Matt,VandeBerg,REC,1
596126,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Matt,VandeBerg,YDS,6
596127,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Matt,VandeBerg,TD,0
596128,11/2/2013,FBS,Iowa,Wisconsin,RECEIVING,Matt,VandeBerg,LONG,6
596129,11/2/2013,FBS,Iowa,Wisconsin,KICKING,Mike,Meyer,FG-FGA,3/3
596130,11/2/2013,FBS,Iowa,Wisconsin,KICKING,Mike,Meyer,LONG,29
596131,11/2/2013,FBS,Iowa,Wisconsin,KICKING,Mike,Meyer,XP,0
596132,11/2/2013,FBS,Iowa,Wisconsin,KICKING,Mike,Meyer,PTS,9
596133,11/2/2013,FBS,Iowa,Wisconsin,PUNTING,Connor,Kornbrath,NO,7
596134,11/2/2013,FBS,Iowa,Wisconsin,PUNTING,Connor,Kornbrath,YDS,288
596135,11/2/2013,FBS,Iowa,Wisconsin,PUNTING,Connor,Kornbrath,AVG,41.1
596136,11/2/2013,FBS,Iowa,Wisconsin,PUNTING,Connor,Kornbrath,LONG,54
596137,11/2/2013,FBS,Iowa,Wisconsin,PUNT RETURNS,Kevonte,Martin-Manley,NO,2
596138,11/2/2013,FBS,Iowa,Wisconsin,PUNT RETURNS,Kevonte,Martin-Manley,YDS,10
596139,11/2/2013,FBS,Iowa,Wisconsin,PUNT RETURNS,Kevonte,Martin-Manley,AVG,5.0
596140,11/2/2013,FBS,Iowa,Wisconsin,PUNT RETURNS,Kevonte,Martin-Manley,LONG,10
596141,11/2/2013,FBS,Iowa,Wisconsin,KICK RETURNS,Jordan,Cotton,NO,4
596142,11/2/2013,FBS,Iowa,Wisconsin,KICK RETURNS,Jordan,Cotton,YDS,88
