ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
393001,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kapri,Bibbs,ATT,18
393002,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kapri,Bibbs,YDS,54
393003,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kapri,Bibbs,TD,0
393004,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kapri,Bibbs,LONG,19
393005,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Max,Morgan,ATT,1
393006,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Max,Morgan,YDS,7
393007,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Max,Morgan,TD,0
393008,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Max,Morgan,LONG,7
393009,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kivon,Cartwright,ATT,1
393010,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kivon,Cartwright,YDS,4
393011,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kivon,Cartwright,TD,0
393012,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Kivon,Cartwright,LONG,4
393013,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Chris,Nwoke,ATT,7
393014,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Chris,Nwoke,YDS,1
393015,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Chris,Nwoke,TD,0
393016,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Chris,Nwoke,LONG,5
393017,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Eric,Williams,ATT,2
393018,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Eric,Williams,YDS,-2
393019,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Eric,Williams,TD,0
393020,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Eric,Williams,LONG,1
393021,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Garrett,Grayson,ATT,5
393022,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Garrett,Grayson,YDS,-26
393023,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Garrett,Grayson,TD,0
393024,11/23/2013,FBS,Colorado State,Utah State,RUSHING,Garrett,Grayson,LONG,0
393025,11/23/2013,FBS,Colorado State,Utah State,PASSING,Garrett,Grayson,CP-ATT-INT,16-39-2
393026,11/23/2013,FBS,Colorado State,Utah State,PASSING,Garrett,Grayson,YDS,147
393027,11/23/2013,FBS,Colorado State,Utah State,PASSING,Garrett,Grayson,TD,0
393028,11/23/2013,FBS,Colorado State,Utah State,PASSING,Garrett,Grayson,LONG,29
393029,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Crockett,Gillmore,REC,5
393030,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Crockett,Gillmore,YDS,43
393031,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Crockett,Gillmore,TD,0
393032,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Crockett,Gillmore,LONG,10
393033,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Rashard,Higgins,REC,4
393034,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Rashard,Higgins,YDS,20
393035,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Rashard,Higgins,TD,0
393036,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Rashard,Higgins,LONG,7
393037,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kivon,Cartwright,REC,3
393038,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kivon,Cartwright,YDS,45
393039,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kivon,Cartwright,TD,0
393040,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kivon,Cartwright,LONG,29
393041,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Charles,Lovett,REC,1
393042,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Charles,Lovett,YDS,18
393043,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Charles,Lovett,TD,0
393044,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Charles,Lovett,LONG,18
393045,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Jordon,Vaden,REC,1
393046,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Jordon,Vaden,YDS,10
393047,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Jordon,Vaden,TD,0
393048,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Jordon,Vaden,LONG,10
393049,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Joe,Hansley,REC,1
393050,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Joe,Hansley,YDS,7
393051,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Joe,Hansley,TD,0
393052,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Joe,Hansley,LONG,7
393053,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kapri,Bibbs,REC,1
393054,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kapri,Bibbs,YDS,4
393055,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kapri,Bibbs,TD,0
393056,11/23/2013,FBS,Colorado State,Utah State,RECEIVING,Kapri,Bibbs,LONG,4
393057,11/23/2013,FBS,Colorado State,Utah State,KICKING,Jared,Roberts,FG-FGA,0/1
393058,11/23/2013,FBS,Colorado State,Utah State,KICKING,Jared,Roberts,LONG,-
393059,11/23/2013,FBS,Colorado State,Utah State,KICKING,Jared,Roberts,XP,0
393060,11/23/2013,FBS,Colorado State,Utah State,KICKING,Jared,Roberts,PTS,0
393061,11/23/2013,FBS,Colorado State,Utah State,PUNTING,Hayden,Hunt,NO,8
393062,11/23/2013,FBS,Colorado State,Utah State,PUNTING,Hayden,Hunt,YDS,304
393063,11/23/2013,FBS,Colorado State,Utah State,PUNTING,Hayden,Hunt,AVG,38.0
393064,11/23/2013,FBS,Colorado State,Utah State,PUNTING,Hayden,Hunt,LONG,54
393065,11/23/2013,FBS,Colorado State,Utah State,PUNT RETURNS,Joe,Hansley,NO,1
393066,11/23/2013,FBS,Colorado State,Utah State,PUNT RETURNS,Joe,Hansley,YDS,-1
393067,11/23/2013,FBS,Colorado State,Utah State,PUNT RETURNS,Joe,Hansley,AVG,-1.0
393068,11/23/2013,FBS,Colorado State,Utah State,PUNT RETURNS,Joe,Hansley,LONG,0
393069,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Joey,DeMartino,ATT,35
393070,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Joey,DeMartino,YDS,127
393071,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Joey,DeMartino,TD,1
393072,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Joey,DeMartino,LONG,12
393073,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Darell,Garretson,ATT,10
393074,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Darell,Garretson,YDS,20
393075,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Darell,Garretson,TD,0
393076,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Darell,Garretson,LONG,22
393077,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Bruce,Natson,ATT,3
393078,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Bruce,Natson,YDS,1
393079,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Bruce,Natson,TD,0
393080,11/23/2013,FBS,Utah State,Colorado State,RUSHING,Bruce,Natson,LONG,4
393081,11/23/2013,FBS,Utah State,Colorado State,PASSING,Darell,Garretson,CP-ATT-INT,8-18-0
393082,11/23/2013,FBS,Utah State,Colorado State,PASSING,Darell,Garretson,YDS,43
393083,11/23/2013,FBS,Utah State,Colorado State,PASSING,Darell,Garretson,TD,0
393084,11/23/2013,FBS,Utah State,Colorado State,PASSING,Darell,Garretson,LONG,20
393085,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Wyatt,Houston,REC,2
393086,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Wyatt,Houston,YDS,26
393087,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Wyatt,Houston,TD,0
393088,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Wyatt,Houston,LONG,20
393089,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Travis,Reynolds,REC,2
393090,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Travis,Reynolds,YDS,14
393091,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Travis,Reynolds,TD,0
393092,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Travis,Reynolds,LONG,11
393093,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Joey,DeMartino,REC,2
393094,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Joey,DeMartino,YDS,9
393095,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Joey,DeMartino,TD,0
393096,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Joey,DeMartino,LONG,7
393097,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Brandon,Swindall,REC,1
393098,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Brandon,Swindall,YDS,-2
393099,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Brandon,Swindall,TD,0
393100,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Brandon,Swindall,LONG,0
393101,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Bruce,Natson,REC,1
393102,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Bruce,Natson,YDS,-4
393103,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Bruce,Natson,TD,0
393104,11/23/2013,FBS,Utah State,Colorado State,RECEIVING,Bruce,Natson,LONG,0
393105,11/23/2013,FBS,Utah State,Colorado State,KICKING,Nick,Diaz,FG-FGA,2/3
393106,11/23/2013,FBS,Utah State,Colorado State,KICKING,Nick,Diaz,LONG,44
393107,11/23/2013,FBS,Utah State,Colorado State,KICKING,Nick,Diaz,XP,1
393108,11/23/2013,FBS,Utah State,Colorado State,KICKING,Nick,Diaz,PTS,7
393109,11/23/2013,FBS,Utah State,Colorado State,PUNTING,Jaron,Bentrude,NO,9
393110,11/23/2013,FBS,Utah State,Colorado State,PUNTING,Jaron,Bentrude,YDS,341
393111,11/23/2013,FBS,Utah State,Colorado State,PUNTING,Jaron,Bentrude,AVG,37.9
393112,11/23/2013,FBS,Utah State,Colorado State,PUNTING,Jaron,Bentrude,LONG,53
393113,11/23/2013,FBS,Utah State,Colorado State,PUNT RETURNS,Bruce,Natson,NO,4
393114,11/23/2013,FBS,Utah State,Colorado State,PUNT RETURNS,Bruce,Natson,YDS,64
393115,11/23/2013,FBS,Utah State,Colorado State,PUNT RETURNS,Bruce,Natson,AVG,16.0
393116,11/23/2013,FBS,Utah State,Colorado State,PUNT RETURNS,Bruce,Natson,LONG,41
393117,11/23/2013,FBS,Utah State,Colorado State,KICK RETURNS,Travis,Reynolds,NO,1
393118,11/23/2013,FBS,Utah State,Colorado State,KICK RETURNS,Travis,Reynolds,YDS,21
393119,11/23/2013,FBS,Utah State,Colorado State,KICK RETURNS,Travis,Reynolds,AVG,21.0
393120,11/23/2013,FBS,Utah State,Colorado State,KICK RETURNS,Travis,Reynolds,LONG,21
