ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
787001,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Michael,Gordon,ATT,19
787002,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Michael,Gordon,YDS,132
787003,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Michael,Gordon,TD,0
787004,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Michael,Gordon,LONG,21
787005,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Fredi,Knighten,ATT,12
787006,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Fredi,Knighten,YDS,47
787007,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Fredi,Knighten,TD,2
787008,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Fredi,Knighten,LONG,14
787009,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,David,Oku,ATT,9
787010,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,David,Oku,YDS,18
787011,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,David,Oku,TD,0
787012,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,David,Oku,LONG,8
787013,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Sirgregory,Thornton,ATT,4
787014,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Sirgregory,Thornton,YDS,13
787015,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Sirgregory,Thornton,TD,0
787016,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Sirgregory,Thornton,LONG,6
787017,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,J.D.,McKissic,ATT,1
787018,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,J.D.,McKissic,YDS,7
787019,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,J.D.,McKissic,TD,0
787020,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,J.D.,McKissic,LONG,7
787021,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Adam,Kennedy,ATT,6
787022,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Adam,Kennedy,YDS,5
787023,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Adam,Kennedy,TD,0
787024,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Adam,Kennedy,LONG,8
787025,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Ryan,Carrethers,ATT,1
787026,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Ryan,Carrethers,YDS,1
787027,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Ryan,Carrethers,TD,1
787028,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,Ryan,Carrethers,LONG,1
787029,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,,Team,ATT,1
787030,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,,Team,YDS,0
787031,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,,Team,TD,0
787032,11/30/2013,FBS,Arkansas State,Western Kentucky,RUSHING,,Team,LONG,0
787033,11/30/2013,FBS,Arkansas State,Western Kentucky,PASSING,Fredi,Knighten,CP-ATT-INT,11-17-0
787034,11/30/2013,FBS,Arkansas State,Western Kentucky,PASSING,Fredi,Knighten,YDS,61
787035,11/30/2013,FBS,Arkansas State,Western Kentucky,PASSING,Fredi,Knighten,TD,0
787036,11/30/2013,FBS,Arkansas State,Western Kentucky,PASSING,Fredi,Knighten,LONG,14
787037,11/30/2013,FBS,Arkansas State,Western Kentucky,PASSING,Adam,Kennedy,CP-ATT-INT,7-10-1
787038,11/30/2013,FBS,Arkansas State,Western Kentucky,PASSING,Adam,Kennedy,YDS,67
