ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
815001,11/30/2013,FBS,Temple,Memphis,RUSHING,Jamie,Gilmore,ATT,16
815002,11/30/2013,FBS,Temple,Memphis,RUSHING,Jamie,Gilmore,YDS,92
815003,11/30/2013,FBS,Temple,Memphis,RUSHING,Jamie,Gilmore,TD,0
815004,11/30/2013,FBS,Temple,Memphis,RUSHING,Jamie,Gilmore,LONG,28
815005,11/30/2013,FBS,Temple,Memphis,RUSHING,P.J.,Walker,ATT,11
815006,11/30/2013,FBS,Temple,Memphis,RUSHING,P.J.,Walker,YDS,59
815007,11/30/2013,FBS,Temple,Memphis,RUSHING,P.J.,Walker,TD,0
815008,11/30/2013,FBS,Temple,Memphis,RUSHING,P.J.,Walker,LONG,40
815009,11/30/2013,FBS,Temple,Memphis,RUSHING,Kenneth,Harper,ATT,17
815010,11/30/2013,FBS,Temple,Memphis,RUSHING,Kenneth,Harper,YDS,57
815011,11/30/2013,FBS,Temple,Memphis,RUSHING,Kenneth,Harper,TD,0
815012,11/30/2013,FBS,Temple,Memphis,RUSHING,Kenneth,Harper,LONG,7
815013,11/30/2013,FBS,Temple,Memphis,RUSHING,Paul,Layton,ATT,1
815014,11/30/2013,FBS,Temple,Memphis,RUSHING,Paul,Layton,YDS,9
815015,11/30/2013,FBS,Temple,Memphis,RUSHING,Paul,Layton,TD,0
815016,11/30/2013,FBS,Temple,Memphis,RUSHING,Paul,Layton,LONG,9
815017,11/30/2013,FBS,Temple,Memphis,RUSHING,,Team,ATT,1
815018,11/30/2013,FBS,Temple,Memphis,RUSHING,,Team,YDS,-2
815019,11/30/2013,FBS,Temple,Memphis,RUSHING,,Team,TD,0
815020,11/30/2013,FBS,Temple,Memphis,RUSHING,,Team,LONG,0
815021,11/30/2013,FBS,Temple,Memphis,RUSHING,John,Christopher,ATT,1
815022,11/30/2013,FBS,Temple,Memphis,RUSHING,John,Christopher,YDS,-9
815023,11/30/2013,FBS,Temple,Memphis,RUSHING,John,Christopher,TD,0
815024,11/30/2013,FBS,Temple,Memphis,RUSHING,John,Christopher,LONG,0
815025,11/30/2013,FBS,Temple,Memphis,PASSING,P.J.,Walker,CP-ATT-INT,20-32-1
815026,11/30/2013,FBS,Temple,Memphis,PASSING,P.J.,Walker,YDS,328
815027,11/30/2013,FBS,Temple,Memphis,PASSING,P.J.,Walker,TD,4
815028,11/30/2013,FBS,Temple,Memphis,PASSING,P.J.,Walker,LONG,75
815029,11/30/2013,FBS,Temple,Memphis,RECEIVING,Robbie,Anderson,REC,7
815030,11/30/2013,FBS,Temple,Memphis,RECEIVING,Robbie,Anderson,YDS,96
815031,11/30/2013,FBS,Temple,Memphis,RECEIVING,Robbie,Anderson,TD,3
815032,11/30/2013,FBS,Temple,Memphis,RECEIVING,Robbie,Anderson,LONG,44
815033,11/30/2013,FBS,Temple,Memphis,RECEIVING,Chris,Coyer,REC,3
815034,11/30/2013,FBS,Temple,Memphis,RECEIVING,Chris,Coyer,YDS,129
815035,11/30/2013,FBS,Temple,Memphis,RECEIVING,Chris,Coyer,TD,1
815036,11/30/2013,FBS,Temple,Memphis,RECEIVING,Chris,Coyer,LONG,75
815037,11/30/2013,FBS,Temple,Memphis,RECEIVING,Ryan,Alderman,REC,3
815038,11/30/2013,FBS,Temple,Memphis,RECEIVING,Ryan,Alderman,YDS,51
815039,11/30/2013,FBS,Temple,Memphis,RECEIVING,Ryan,Alderman,TD,0
815040,11/30/2013,FBS,Temple,Memphis,RECEIVING,Ryan,Alderman,LONG,28
815041,11/30/2013,FBS,Temple,Memphis,RECEIVING,John,Christopher,REC,3
815042,11/30/2013,FBS,Temple,Memphis,RECEIVING,John,Christopher,YDS,40
815043,11/30/2013,FBS,Temple,Memphis,RECEIVING,John,Christopher,TD,0
815044,11/30/2013,FBS,Temple,Memphis,RECEIVING,John,Christopher,LONG,22
815045,11/30/2013,FBS,Temple,Memphis,RECEIVING,Jalen,Fitzpatrick,REC,3
815046,11/30/2013,FBS,Temple,Memphis,RECEIVING,Jalen,Fitzpatrick,YDS,12
815047,11/30/2013,FBS,Temple,Memphis,RECEIVING,Jalen,Fitzpatrick,TD,0
815048,11/30/2013,FBS,Temple,Memphis,RECEIVING,Jalen,Fitzpatrick,LONG,5
815049,11/30/2013,FBS,Temple,Memphis,RECEIVING,Kenneth,Harper,REC,1
815050,11/30/2013,FBS,Temple,Memphis,RECEIVING,Kenneth,Harper,YDS,0
815051,11/30/2013,FBS,Temple,Memphis,RECEIVING,Kenneth,Harper,TD,0
815052,11/30/2013,FBS,Temple,Memphis,RECEIVING,Kenneth,Harper,LONG,0
815053,11/30/2013,FBS,Temple,Memphis,KICKING,Nick,Visco,FG-FGA,2/2
815054,11/30/2013,FBS,Temple,Memphis,KICKING,Nick,Visco,LONG,22
815055,11/30/2013,FBS,Temple,Memphis,KICKING,Nick,Visco,XP,5
815056,11/30/2013,FBS,Temple,Memphis,KICKING,Nick,Visco,PTS,11
815057,11/30/2013,FBS,Temple,Memphis,PUNTING,Paul,Layton,NO,3
815058,11/30/2013,FBS,Temple,Memphis,PUNTING,Paul,Layton,YDS,123
815059,11/30/2013,FBS,Temple,Memphis,PUNTING,Paul,Layton,AVG,41.0
815060,11/30/2013,FBS,Temple,Memphis,PUNTING,Paul,Layton,LONG,51
815061,11/30/2013,FBS,Temple,Memphis,PUNT RETURNS,Robbie,Anderson,NO,2
815062,11/30/2013,FBS,Temple,Memphis,PUNT RETURNS,Robbie,Anderson,YDS,13
815063,11/30/2013,FBS,Temple,Memphis,PUNT RETURNS,Robbie,Anderson,AVG,6.5
