ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
486001,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Brandon,Williams,ATT,6
486002,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Brandon,Williams,YDS,57
486003,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Brandon,Williams,TD,0
486004,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Brandon,Williams,LONG,43
486005,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Trey,Williams,ATT,6
486006,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Trey,Williams,YDS,48
486007,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Trey,Williams,TD,0
486008,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Trey,Williams,LONG,25
486009,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Tra,Carson,ATT,6
486010,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Tra,Carson,YDS,39
486011,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Tra,Carson,TD,1
486012,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Tra,Carson,LONG,29
486013,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Johnny,Manziel,ATT,11
486014,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Johnny,Manziel,YDS,21
486015,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Johnny,Manziel,TD,0
486016,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Johnny,Manziel,LONG,6
486017,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Ben,Malena,ATT,6
486018,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Ben,Malena,YDS,19
486019,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Ben,Malena,TD,1
486020,11/30/2013,FBS,Texas A&M,Missouri,RUSHING,Ben,Malena,LONG,9
486021,11/30/2013,FBS,Texas A&M,Missouri,PASSING,Johnny,Manziel,CP-ATT-INT,24-35-0
486022,11/30/2013,FBS,Texas A&M,Missouri,PASSING,Johnny,Manziel,YDS,195
486023,11/30/2013,FBS,Texas A&M,Missouri,PASSING,Johnny,Manziel,TD,1
486024,11/30/2013,FBS,Texas A&M,Missouri,PASSING,Johnny,Manziel,LONG,32
486025,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Travis,Labhart,REC,7
486026,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Travis,Labhart,YDS,81
486027,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Travis,Labhart,TD,0
486028,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Travis,Labhart,LONG,24
486029,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,LaQuvionte,Gonzalez,REC,5
486030,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,LaQuvionte,Gonzalez,YDS,26
486031,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,LaQuvionte,Gonzalez,TD,0
486032,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,LaQuvionte,Gonzalez,LONG,9
486033,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Derel,Walker,REC,4
486034,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Derel,Walker,YDS,60
486035,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Derel,Walker,TD,1
486036,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Derel,Walker,LONG,32
486037,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Mike,Evans,REC,4
486038,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Mike,Evans,YDS,8
486039,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Mike,Evans,TD,0
486040,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Mike,Evans,LONG,10
486041,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Trey,Williams,REC,2
486042,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Trey,Williams,YDS,11
486043,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Trey,Williams,TD,0
486044,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Trey,Williams,LONG,7
486045,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Ben,Malena,REC,1
486046,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Ben,Malena,YDS,5
486047,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Ben,Malena,TD,0
486048,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Ben,Malena,LONG,5
486049,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Tra,Carson,REC,1
486050,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Tra,Carson,YDS,4
486051,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Tra,Carson,TD,0
486052,11/30/2013,FBS,Texas A&M,Missouri,RECEIVING,Tra,Carson,LONG,4
486053,11/30/2013,FBS,Texas A&M,Missouri,KICKING,Josh,Lambo,FG-FGA,0/0
486054,11/30/2013,FBS,Texas A&M,Missouri,KICKING,Josh,Lambo,LONG,-
486055,11/30/2013,FBS,Texas A&M,Missouri,KICKING,Josh,Lambo,XP,3
486056,11/30/2013,FBS,Texas A&M,Missouri,KICKING,Josh,Lambo,PTS,3
486057,11/30/2013,FBS,Texas A&M,Missouri,PUNTING,Drew,Kaser,NO,8
486058,11/30/2013,FBS,Texas A&M,Missouri,PUNTING,Drew,Kaser,YDS,358
486059,11/30/2013,FBS,Texas A&M,Missouri,PUNTING,Drew,Kaser,AVG,44.8
486060,11/30/2013,FBS,Texas A&M,Missouri,PUNTING,Drew,Kaser,LONG,58
486061,11/30/2013,FBS,Texas A&M,Missouri,PUNT RETURNS,De'Vante,Harris,NO,1
486062,11/30/2013,FBS,Texas A&M,Missouri,PUNT RETURNS,De'Vante,Harris,YDS,-3
486063,11/30/2013,FBS,Texas A&M,Missouri,PUNT RETURNS,De'Vante,Harris,AVG,-3.0
486064,11/30/2013,FBS,Texas A&M,Missouri,PUNT RETURNS,De'Vante,Harris,LONG,0
486065,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Trey,Williams,NO,3
486066,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Trey,Williams,YDS,63
486067,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Trey,Williams,AVG,21.0
486068,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Trey,Williams,LONG,27
486069,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Nehemiah,Hicks,NO,1
486070,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Nehemiah,Hicks,YDS,13
486071,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Nehemiah,Hicks,AVG,13.0
486072,11/30/2013,FBS,Texas A&M,Missouri,KICK RETURNS,Nehemiah,Hicks,LONG,13
486073,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Henry,Josey,ATT,13
486074,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Henry,Josey,YDS,96
486075,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Henry,Josey,TD,1
486076,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Henry,Josey,LONG,57
486077,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,James,Franklin,ATT,18
486078,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,James,Franklin,YDS,80
486079,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,James,Franklin,TD,0
486080,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,James,Franklin,LONG,18
486081,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Russell,Hansbrough,ATT,8
486082,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Russell,Hansbrough,YDS,48
486083,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Russell,Hansbrough,TD,0
486084,11/30/2013,FBS,Missouri,Texas A&M,RUSHING,Russell,Hansbrough,LONG,11
