ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
604001,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Anthony,LaCoste,ATT,21
604002,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Anthony,LaCoste,YDS,177
604003,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Anthony,LaCoste,TD,0
604004,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Anthony,LaCoste,LONG,46
604005,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Broam,Hart,ATT,9
604006,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Broam,Hart,YDS,46
604007,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Broam,Hart,TD,1
604008,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Broam,Hart,LONG,17
604009,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Nate,Romine,ATT,13
604010,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Nate,Romine,YDS,21
604011,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Nate,Romine,TD,1
604012,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Nate,Romine,LONG,9
604013,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Devin,Rushing,ATT,5
604014,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Devin,Rushing,YDS,13
604015,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Devin,Rushing,TD,0
604016,11/8/2013,FBS,Air Force,New Mexico,RUSHING,Devin,Rushing,LONG,5
604017,11/8/2013,FBS,Air Force,New Mexico,PASSING,Nate,Romine,CP-ATT-INT,15-23-0
604018,11/8/2013,FBS,Air Force,New Mexico,PASSING,Nate,Romine,YDS,188
604019,11/8/2013,FBS,Air Force,New Mexico,PASSING,Nate,Romine,TD,3
604020,11/8/2013,FBS,Air Force,New Mexico,PASSING,Nate,Romine,LONG,25
604021,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Brown,REC,5
604022,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Brown,YDS,45
604023,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Brown,TD,1
604024,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Brown,LONG,19
604025,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Griffin,REC,4
604026,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Griffin,YDS,56
604027,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Griffin,TD,1
604028,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Garrett,Griffin,LONG,17
604029,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Jalen,Robinette,REC,4
604030,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Jalen,Robinette,YDS,51
604031,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Jalen,Robinette,TD,1
604032,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Jalen,Robinette,LONG,25
604033,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Marcus,Hendricks,REC,1
604034,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Marcus,Hendricks,YDS,19
604035,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Marcus,Hendricks,TD,0
604036,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Marcus,Hendricks,LONG,19
604037,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Alex,Ludowig,REC,1
604038,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Alex,Ludowig,YDS,17
604039,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Alex,Ludowig,TD,0
604040,11/8/2013,FBS,Air Force,New Mexico,RECEIVING,Alex,Ludowig,LONG,17
604041,11/8/2013,FBS,Air Force,New Mexico,KICKING,Will,Conant,FG-FGA,1/1
604042,11/8/2013,FBS,Air Force,New Mexico,KICKING,Will,Conant,LONG,52
604043,11/8/2013,FBS,Air Force,New Mexico,KICKING,Will,Conant,XP,4
604044,11/8/2013,FBS,Air Force,New Mexico,KICKING,Will,Conant,PTS,7
604045,11/8/2013,FBS,Air Force,New Mexico,PUNTING,David,Baska,NO,1
604046,11/8/2013,FBS,Air Force,New Mexico,PUNTING,David,Baska,YDS,47
604047,11/8/2013,FBS,Air Force,New Mexico,PUNTING,David,Baska,AVG,47.0
604048,11/8/2013,FBS,Air Force,New Mexico,PUNTING,David,Baska,LONG,47
604049,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Anthony,LaCoste,NO,5
604050,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Anthony,LaCoste,YDS,137
604051,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Anthony,LaCoste,AVG,27.4
604052,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Anthony,LaCoste,LONG,45
604053,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Devin,Rushing,NO,1
604054,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Devin,Rushing,YDS,25
604055,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Devin,Rushing,AVG,25.0
604056,11/8/2013,FBS,Air Force,New Mexico,KICK RETURNS,Devin,Rushing,LONG,25
604057,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Kasey,Carrier,ATT,27
604058,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Kasey,Carrier,YDS,179
604059,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Kasey,Carrier,TD,0
604060,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Kasey,Carrier,LONG,21
604061,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Cole,Gautsche,ATT,20
604062,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Cole,Gautsche,YDS,140
604063,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Cole,Gautsche,TD,2
604064,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Cole,Gautsche,LONG,15
604065,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Jhurell,Pressley,ATT,4
604066,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Jhurell,Pressley,YDS,87
604067,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Jhurell,Pressley,TD,2
604068,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Jhurell,Pressley,LONG,61
604069,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Carlos,Wiggins,ATT,1
604070,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Carlos,Wiggins,YDS,30
604071,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Carlos,Wiggins,TD,0
604072,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Carlos,Wiggins,LONG,16
604073,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Crusoe,Gongbay,ATT,5
604074,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Crusoe,Gongbay,YDS,26
604075,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Crusoe,Gongbay,TD,0
604076,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Crusoe,Gongbay,LONG,11
604077,11/8/2013,FBS,New Mexico,Air Force,RUSHING,David,Anaya,ATT,1
604078,11/8/2013,FBS,New Mexico,Air Force,RUSHING,David,Anaya,YDS,12
604079,11/8/2013,FBS,New Mexico,Air Force,RUSHING,David,Anaya,TD,0
604080,11/8/2013,FBS,New Mexico,Air Force,RUSHING,David,Anaya,LONG,12
604081,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Teriyon,Gipson,ATT,2
604082,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Teriyon,Gipson,YDS,7
604083,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Teriyon,Gipson,TD,1
604084,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Teriyon,Gipson,LONG,5
604085,11/8/2013,FBS,New Mexico,Air Force,RUSHING,,Team,ATT,3
604086,11/8/2013,FBS,New Mexico,Air Force,RUSHING,,Team,YDS,-14
604087,11/8/2013,FBS,New Mexico,Air Force,RUSHING,,Team,TD,0
604088,11/8/2013,FBS,New Mexico,Air Force,RUSHING,,Team,LONG,0
604089,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Clayton,Mitchem,ATT,2
604090,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Clayton,Mitchem,YDS,-16
604091,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Clayton,Mitchem,TD,0
604092,11/8/2013,FBS,New Mexico,Air Force,RUSHING,Clayton,Mitchem,LONG,0
604093,11/8/2013,FBS,New Mexico,Air Force,PASSING,Cole,Gautsche,CP-ATT-INT,1-3-0
604094,11/8/2013,FBS,New Mexico,Air Force,PASSING,Cole,Gautsche,YDS,28
604095,11/8/2013,FBS,New Mexico,Air Force,PASSING,Cole,Gautsche,TD,1
604096,11/8/2013,FBS,New Mexico,Air Force,PASSING,Cole,Gautsche,LONG,28
604097,11/8/2013,FBS,New Mexico,Air Force,RECEIVING,Jeric,Magnant,REC,1
604098,11/8/2013,FBS,New Mexico,Air Force,RECEIVING,Jeric,Magnant,YDS,28
604099,11/8/2013,FBS,New Mexico,Air Force,RECEIVING,Jeric,Magnant,TD,1
604100,11/8/2013,FBS,New Mexico,Air Force,RECEIVING,Jeric,Magnant,LONG,28
604101,11/8/2013,FBS,New Mexico,Air Force,KICKING,Justus,Adams,FG-FGA,1/1
604102,11/8/2013,FBS,New Mexico,Air Force,KICKING,Justus,Adams,LONG,24
604103,11/8/2013,FBS,New Mexico,Air Force,KICKING,Justus,Adams,XP,4
604104,11/8/2013,FBS,New Mexico,Air Force,KICKING,Justus,Adams,PTS,7
604105,11/8/2013,FBS,New Mexico,Air Force,PUNT RETURNS,Dameon,Gamblin,NO,1
604106,11/8/2013,FBS,New Mexico,Air Force,PUNT RETURNS,Dameon,Gamblin,YDS,-1
604107,11/8/2013,FBS,New Mexico,Air Force,PUNT RETURNS,Dameon,Gamblin,AVG,-1.0
604108,11/8/2013,FBS,New Mexico,Air Force,PUNT RETURNS,Dameon,Gamblin,LONG,0
604109,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Carlos,Wiggins,NO,2
604110,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Carlos,Wiggins,YDS,52
604111,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Carlos,Wiggins,AVG,26.0
604112,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Carlos,Wiggins,LONG,28
604113,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Nik,D'Avanzo,NO,1
604114,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Nik,D'Avanzo,YDS,5
604115,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Nik,D'Avanzo,AVG,5.0
604116,11/8/2013,FBS,New Mexico,Air Force,KICK RETURNS,Nik,D'Avanzo,LONG,5
