ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25001,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Zach,Bauman,ATT,21
25002,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Zach,Bauman,YDS,71
25003,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Zach,Bauman,TD,0
25004,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Zach,Bauman,LONG,14
25005,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Casey,Jahn,ATT,8
25006,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Casey,Jahn,YDS,30
25007,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Casey,Jahn,TD,0
25008,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Casey,Jahn,LONG,8
25009,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Jake,Thomas,ATT,1
25010,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Jake,Thomas,YDS,2
25011,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Jake,Thomas,TD,0
25012,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Jake,Thomas,LONG,2
25013,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Kyren,Poe,ATT,9
25014,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Kyren,Poe,YDS,-9
25015,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Kyren,Poe,TD,0
25016,8/30/2013,FBS,Northern Ariz.,Arizona,RUSHING,Kyren,Poe,LONG,7
25017,8/30/2013,FBS,Northern Ariz.,Arizona,PASSING,Kyren,Poe,CP-ATT-INT,21-36-3
25018,8/30/2013,FBS,Northern Ariz.,Arizona,PASSING,Kyren,Poe,YDS,176
25019,8/30/2013,FBS,Northern Ariz.,Arizona,PASSING,Kyren,Poe,TD,0
25020,8/30/2013,FBS,Northern Ariz.,Arizona,PASSING,Kyren,Poe,LONG,25
25021,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Nick,Cole,REC,6
25022,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Nick,Cole,YDS,62
25023,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Nick,Cole,TD,0
25024,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Nick,Cole,LONG,20
25025,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Zach,Bauman,REC,5
25026,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Zach,Bauman,YDS,19
25027,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Zach,Bauman,TD,0
25028,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Zach,Bauman,LONG,7
25029,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,R.J.,Rickert,REC,4
25030,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,R.J.,Rickert,YDS,50
25031,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,R.J.,Rickert,TD,0
25032,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,R.J.,Rickert,LONG,25
25033,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Alex,Holmes,REC,2
25034,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Alex,Holmes,YDS,4
25035,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Alex,Holmes,TD,0
25036,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Alex,Holmes,LONG,5
25037,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Casey,Jahn,REC,1
25038,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Casey,Jahn,YDS,18
25039,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Casey,Jahn,TD,0
25040,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Casey,Jahn,LONG,18
25041,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Jesse,Brantley,REC,1
25042,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Jesse,Brantley,YDS,16
25043,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Jesse,Brantley,TD,0
25044,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Jesse,Brantley,LONG,16
25045,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Dejzon,Walker,REC,1
25046,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Dejzon,Walker,YDS,5
25047,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Dejzon,Walker,TD,0
25048,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Dejzon,Walker,LONG,5
25049,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Beau,Gardner,REC,1
25050,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Beau,Gardner,YDS,2
25051,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Beau,Gardner,TD,0
25052,8/30/2013,FBS,Northern Ariz.,Arizona,RECEIVING,Beau,Gardner,LONG,2
25053,8/30/2013,FBS,Northern Ariz.,Arizona,KICKING,Andy,Wilder,FG-FGA,0/2
25054,8/30/2013,FBS,Northern Ariz.,Arizona,KICKING,Andy,Wilder,LONG,-
25055,8/30/2013,FBS,Northern Ariz.,Arizona,KICKING,Andy,Wilder,XP,0
25056,8/30/2013,FBS,Northern Ariz.,Arizona,KICKING,Andy,Wilder,PTS,0
25057,8/30/2013,FBS,Northern Ariz.,Arizona,PUNTING,Andy,Wilder,NO,6
25058,8/30/2013,FBS,Northern Ariz.,Arizona,PUNTING,Andy,Wilder,YDS,260
25059,8/30/2013,FBS,Northern Ariz.,Arizona,PUNTING,Andy,Wilder,AVG,43.3
25060,8/30/2013,FBS,Northern Ariz.,Arizona,PUNTING,Andy,Wilder,LONG,51
