ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
212001,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Brian,Fields,ATT,13
212002,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Brian,Fields,YDS,79
212003,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Brian,Fields,TD,0
212004,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Brian,Fields,LONG,31
212005,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Tyler,VanTubbergen,ATT,5
212006,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Tyler,VanTubbergen,YDS,33
212007,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Tyler,VanTubbergen,TD,0
212008,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Tyler,VanTubbergen,LONG,17
212009,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Dareyon,Chance,ATT,11
212010,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Dareyon,Chance,YDS,30
212011,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Dareyon,Chance,TD,0
212012,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Dareyon,Chance,LONG,6
212013,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Corey,Davis,ATT,1
212014,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Corey,Davis,YDS,2
212015,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Corey,Davis,TD,0
212016,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Corey,Davis,LONG,2
212017,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Darrin,Duncan,ATT,1
212018,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Darrin,Duncan,YDS,-1
212019,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Darrin,Duncan,TD,0
212020,9/14/2013,FBS,Western Mich.,Northwestern,RUSHING,Darrin,Duncan,LONG,0
212021,9/14/2013,FBS,Western Mich.,Northwestern,PASSING,Tyler,VanTubbergen,CP-ATT-INT,16-41-1
212022,9/14/2013,FBS,Western Mich.,Northwestern,PASSING,Tyler,VanTubbergen,YDS,202
212023,9/14/2013,FBS,Western Mich.,Northwestern,PASSING,Tyler,VanTubbergen,TD,2
