ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
318001,9/28/2013,FBS,Troy,Duke,RUSHING,Brandon,Burks,ATT,16
318002,9/28/2013,FBS,Troy,Duke,RUSHING,Brandon,Burks,YDS,68
318003,9/28/2013,FBS,Troy,Duke,RUSHING,Brandon,Burks,TD,0
318004,9/28/2013,FBS,Troy,Duke,RUSHING,Brandon,Burks,LONG,11
318005,9/28/2013,FBS,Troy,Duke,RUSHING,Deon,Anthony,ATT,6
318006,9/28/2013,FBS,Troy,Duke,RUSHING,Deon,Anthony,YDS,38
318007,9/28/2013,FBS,Troy,Duke,RUSHING,Deon,Anthony,TD,0
318008,9/28/2013,FBS,Troy,Duke,RUSHING,Deon,Anthony,LONG,16
318009,9/28/2013,FBS,Troy,Duke,RUSHING,Jordan,Chunn,ATT,11
318010,9/28/2013,FBS,Troy,Duke,RUSHING,Jordan,Chunn,YDS,33
318011,9/28/2013,FBS,Troy,Duke,RUSHING,Jordan,Chunn,TD,2
318012,9/28/2013,FBS,Troy,Duke,RUSHING,Jordan,Chunn,LONG,7
318013,9/28/2013,FBS,Troy,Duke,RUSHING,Chandler,Worthy,ATT,2
318014,9/28/2013,FBS,Troy,Duke,RUSHING,Chandler,Worthy,YDS,8
318015,9/28/2013,FBS,Troy,Duke,RUSHING,Chandler,Worthy,TD,0
318016,9/28/2013,FBS,Troy,Duke,RUSHING,Chandler,Worthy,LONG,11
318017,9/28/2013,FBS,Troy,Duke,RUSHING,Eric,Thomas,ATT,1
318018,9/28/2013,FBS,Troy,Duke,RUSHING,Eric,Thomas,YDS,7
318019,9/28/2013,FBS,Troy,Duke,RUSHING,Eric,Thomas,TD,0
318020,9/28/2013,FBS,Troy,Duke,RUSHING,Eric,Thomas,LONG,7
318021,9/28/2013,FBS,Troy,Duke,RUSHING,Chris,Williams,ATT,1
318022,9/28/2013,FBS,Troy,Duke,RUSHING,Chris,Williams,YDS,4
318023,9/28/2013,FBS,Troy,Duke,RUSHING,Chris,Williams,TD,0
318024,9/28/2013,FBS,Troy,Duke,RUSHING,Chris,Williams,LONG,4
318025,9/28/2013,FBS,Troy,Duke,RUSHING,Corey,Robinson,ATT,4
318026,9/28/2013,FBS,Troy,Duke,RUSHING,Corey,Robinson,YDS,-8
318027,9/28/2013,FBS,Troy,Duke,RUSHING,Corey,Robinson,TD,0
318028,9/28/2013,FBS,Troy,Duke,RUSHING,Corey,Robinson,LONG,2
318029,9/28/2013,FBS,Troy,Duke,PASSING,Corey,Robinson,CP-ATT-INT,35-45-1
318030,9/28/2013,FBS,Troy,Duke,PASSING,Corey,Robinson,YDS,354
318031,9/28/2013,FBS,Troy,Duke,PASSING,Corey,Robinson,TD,2
318032,9/28/2013,FBS,Troy,Duke,PASSING,Corey,Robinson,LONG,40
318033,9/28/2013,FBS,Troy,Duke,PASSING,Deon,Anthony,CP-ATT-INT,2-5-0
