ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
539001,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Tajh,Boyd,ATT,20
539002,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Tajh,Boyd,YDS,127
539003,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Tajh,Boyd,TD,1
539004,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Tajh,Boyd,LONG,48
539005,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Roderick,McDowell,ATT,12
539006,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Roderick,McDowell,YDS,69
539007,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Roderick,McDowell,TD,0
539008,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Roderick,McDowell,LONG,13
539009,1/3/2014,FBS,Clemson,Ohio State,RUSHING,C.J.,Davidson,ATT,1
539010,1/3/2014,FBS,Clemson,Ohio State,RUSHING,C.J.,Davidson,YDS,3
539011,1/3/2014,FBS,Clemson,Ohio State,RUSHING,C.J.,Davidson,TD,0
539012,1/3/2014,FBS,Clemson,Ohio State,RUSHING,C.J.,Davidson,LONG,3
539013,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Sammy,Watkins,ATT,1
539014,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Sammy,Watkins,YDS,3
539015,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Sammy,Watkins,TD,0
539016,1/3/2014,FBS,Clemson,Ohio State,RUSHING,Sammy,Watkins,LONG,3
539017,1/3/2014,FBS,Clemson,Ohio State,RUSHING,,Team,ATT,2
539018,1/3/2014,FBS,Clemson,Ohio State,RUSHING,,Team,YDS,-4
539019,1/3/2014,FBS,Clemson,Ohio State,RUSHING,,Team,TD,0
539020,1/3/2014,FBS,Clemson,Ohio State,RUSHING,,Team,LONG,0
539021,1/3/2014,FBS,Clemson,Ohio State,PASSING,Tajh,Boyd,CP-ATT-INT,31-40-2
539022,1/3/2014,FBS,Clemson,Ohio State,PASSING,Tajh,Boyd,YDS,378
539023,1/3/2014,FBS,Clemson,Ohio State,PASSING,Tajh,Boyd,TD,5
539024,1/3/2014,FBS,Clemson,Ohio State,PASSING,Tajh,Boyd,LONG,43
539025,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Sammy,Watkins,REC,16
539026,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Sammy,Watkins,YDS,227
539027,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Sammy,Watkins,TD,2
539028,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Sammy,Watkins,LONG,34
539029,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Roderick,McDowell,REC,4
539030,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Roderick,McDowell,YDS,32
539031,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Roderick,McDowell,TD,0
539032,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Roderick,McDowell,LONG,15
539033,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Martavis,Bryant,REC,3
539034,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Martavis,Bryant,YDS,28
539035,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Martavis,Bryant,TD,2
539036,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Martavis,Bryant,LONG,22
539037,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,C.J.,Davidson,REC,3
539038,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,C.J.,Davidson,YDS,27
539039,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,C.J.,Davidson,TD,0
539040,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,C.J.,Davidson,LONG,16
539041,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Stanton,Seckinger,REC,2
539042,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Stanton,Seckinger,YDS,14
539043,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Stanton,Seckinger,TD,1
539044,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Stanton,Seckinger,LONG,9
539045,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Germone,Hopper,REC,2
539046,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Germone,Hopper,YDS,7
539047,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Germone,Hopper,TD,0
539048,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Germone,Hopper,LONG,5
539049,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Jordan,Leggett,REC,1
539050,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Jordan,Leggett,YDS,43
539051,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Jordan,Leggett,TD,0
539052,1/3/2014,FBS,Clemson,Ohio State,RECEIVING,Jordan,Leggett,LONG,43
539053,1/3/2014,FBS,Clemson,Ohio State,KICKING,Chandler,Catanzaro,FG-FGA,0/0
539054,1/3/2014,FBS,Clemson,Ohio State,KICKING,Chandler,Catanzaro,LONG,-
539055,1/3/2014,FBS,Clemson,Ohio State,KICKING,Chandler,Catanzaro,XP,4
539056,1/3/2014,FBS,Clemson,Ohio State,KICKING,Chandler,Catanzaro,PTS,4
539057,1/3/2014,FBS,Clemson,Ohio State,PUNTING,Bradley,Pinion,NO,3
539058,1/3/2014,FBS,Clemson,Ohio State,PUNTING,Bradley,Pinion,YDS,113
539059,1/3/2014,FBS,Clemson,Ohio State,PUNTING,Bradley,Pinion,AVG,37.7
539060,1/3/2014,FBS,Clemson,Ohio State,PUNTING,Bradley,Pinion,LONG,42
539061,1/3/2014,FBS,Clemson,Ohio State,KICK RETURNS,Sammy,Watkins,NO,2
539062,1/3/2014,FBS,Clemson,Ohio State,KICK RETURNS,Sammy,Watkins,YDS,38
