ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
1249001,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Terry,Swanson,ATT,19
1249002,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Terry,Swanson,YDS,172
1249003,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Terry,Swanson,TD,1
1249004,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Terry,Swanson,LONG,48
1249005,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Damion,Jones-Moore,ATT,6
1249006,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Damion,Jones-Moore,YDS,28
1249007,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Damion,Jones-Moore,TD,0
1249008,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Damion,Jones-Moore,LONG,20
1249009,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Marc,Remy,ATT,5
1249010,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Marc,Remy,YDS,19
1249011,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Marc,Remy,TD,0
1249012,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Marc,Remy,LONG,8
1249013,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Logan,Woodside,ATT,6
1249014,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Logan,Woodside,YDS,15
1249015,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Logan,Woodside,TD,0
1249016,10/4/2014,FBS,Toledo,Western Mich.,RUSHING,Logan,Woodside,LONG,7
1249017,10/4/2014,FBS,Toledo,Western Mich.,PASSING,Logan,Woodside,CP-ATT-INT,13-27-1
1249018,10/4/2014,FBS,Toledo,Western Mich.,PASSING,Logan,Woodside,YDS,210
1249019,10/4/2014,FBS,Toledo,Western Mich.,PASSING,Logan,Woodside,TD,1
1249020,10/4/2014,FBS,Toledo,Western Mich.,PASSING,Logan,Woodside,LONG,33
1249021,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Corey,Jones,REC,5
1249022,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Corey,Jones,YDS,104
1249023,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Corey,Jones,TD,0
1249024,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Corey,Jones,LONG,33
1249025,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Terry,Swanson,REC,3
1249026,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Terry,Swanson,YDS,54
1249027,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Terry,Swanson,TD,0
1249028,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Terry,Swanson,LONG,26
1249029,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Alonzo,Russell,REC,4
1249030,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Alonzo,Russell,YDS,43
1249031,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Alonzo,Russell,TD,1
1249032,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Alonzo,Russell,LONG,23
1249033,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Damion,Jones-Moore,REC,1
1249034,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Damion,Jones-Moore,YDS,9
1249035,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Damion,Jones-Moore,TD,0
1249036,10/4/2014,FBS,Toledo,Western Mich.,RECEIVING,Damion,Jones-Moore,LONG,9
1249037,10/4/2014,FBS,Toledo,Western Mich.,KICKING,Jeremiah,Detmer,FG-FGA,2/2
1249038,10/4/2014,FBS,Toledo,Western Mich.,KICKING,Jeremiah,Detmer,LONG,37
1249039,10/4/2014,FBS,Toledo,Western Mich.,KICKING,Jeremiah,Detmer,XP,2
1249040,10/4/2014,FBS,Toledo,Western Mich.,KICKING,Jeremiah,Detmer,PTS,8
1249041,10/4/2014,FBS,Toledo,Western Mich.,PUNTING,Nick,Ellis,NO,6
1249042,10/4/2014,FBS,Toledo,Western Mich.,PUNTING,Nick,Ellis,YDS,171
1249043,10/4/2014,FBS,Toledo,Western Mich.,PUNTING,Nick,Ellis,AVG,28.5
1249044,10/4/2014,FBS,Toledo,Western Mich.,PUNTING,Nick,Ellis,LONG,36
1249045,10/4/2014,FBS,Toledo,Western Mich.,PUNT RETURNS,Corey,Jones,NO,4
1249046,10/4/2014,FBS,Toledo,Western Mich.,PUNT RETURNS,Corey,Jones,YDS,33
