ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
1467001,11/1/2014,FBS,Kansas,Baylor,RUSHING,Tony,Pierson,ATT,9
1467002,11/1/2014,FBS,Kansas,Baylor,RUSHING,Tony,Pierson,YDS,31
1467003,11/1/2014,FBS,Kansas,Baylor,RUSHING,Tony,Pierson,TD,0
1467004,11/1/2014,FBS,Kansas,Baylor,RUSHING,Tony,Pierson,LONG,16
1467005,11/1/2014,FBS,Kansas,Baylor,RUSHING,Corey,Avery,ATT,11
1467006,11/1/2014,FBS,Kansas,Baylor,RUSHING,Corey,Avery,YDS,18
1467007,11/1/2014,FBS,Kansas,Baylor,RUSHING,Corey,Avery,TD,0
1467008,11/1/2014,FBS,Kansas,Baylor,RUSHING,Corey,Avery,LONG,7
1467009,11/1/2014,FBS,Kansas,Baylor,RUSHING,Darious,Crawley,ATT,1
1467010,11/1/2014,FBS,Kansas,Baylor,RUSHING,Darious,Crawley,YDS,3
1467011,11/1/2014,FBS,Kansas,Baylor,RUSHING,Darious,Crawley,TD,0
1467012,11/1/2014,FBS,Kansas,Baylor,RUSHING,Darious,Crawley,LONG,3
1467013,11/1/2014,FBS,Kansas,Baylor,RUSHING,Ben,Heeney,ATT,1
1467014,11/1/2014,FBS,Kansas,Baylor,RUSHING,Ben,Heeney,YDS,0
1467015,11/1/2014,FBS,Kansas,Baylor,RUSHING,Ben,Heeney,TD,0
1467016,11/1/2014,FBS,Kansas,Baylor,RUSHING,Ben,Heeney,LONG,0
1467017,11/1/2014,FBS,Kansas,Baylor,RUSHING,Pat,Lewandowski,ATT,0
1467018,11/1/2014,FBS,Kansas,Baylor,RUSHING,Pat,Lewandowski,YDS,0
1467019,11/1/2014,FBS,Kansas,Baylor,RUSHING,Pat,Lewandowski,TD,0
1467020,11/1/2014,FBS,Kansas,Baylor,RUSHING,Pat,Lewandowski,LONG,0
1467021,11/1/2014,FBS,Kansas,Baylor,RUSHING,,Team,ATT,1
1467022,11/1/2014,FBS,Kansas,Baylor,RUSHING,,Team,YDS,-8
1467023,11/1/2014,FBS,Kansas,Baylor,RUSHING,,Team,TD,0
1467024,11/1/2014,FBS,Kansas,Baylor,RUSHING,,Team,LONG,-8
1467025,11/1/2014,FBS,Kansas,Baylor,RUSHING,Michael,Cummings,ATT,4
1467026,11/1/2014,FBS,Kansas,Baylor,RUSHING,Michael,Cummings,YDS,-28
1467027,11/1/2014,FBS,Kansas,Baylor,RUSHING,Michael,Cummings,TD,0
1467028,11/1/2014,FBS,Kansas,Baylor,RUSHING,Michael,Cummings,LONG,0
1467029,11/1/2014,FBS,Kansas,Baylor,PASSING,Michael,Cummings,CP-ATT-INT,21-30-0
1467030,11/1/2014,FBS,Kansas,Baylor,PASSING,Michael,Cummings,YDS,288
1467031,11/1/2014,FBS,Kansas,Baylor,PASSING,Michael,Cummings,TD,2
1467032,11/1/2014,FBS,Kansas,Baylor,PASSING,Michael,Cummings,LONG,49
1467033,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Corey,Avery,REC,4
1467034,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Corey,Avery,YDS,92
1467035,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Corey,Avery,TD,0
1467036,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Corey,Avery,LONG,49
1467037,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Nick,Harwell,REC,5
1467038,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Nick,Harwell,YDS,79
1467039,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Nick,Harwell,TD,2
1467040,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Nick,Harwell,LONG,28
1467041,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Nigel,King,REC,4
1467042,11/1/2014,FBS,Kansas,Baylor,RECEIVING,Nigel,King,YDS,68
