ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
1489001,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Melvin,Gordon,ATT,25
1489002,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Melvin,Gordon,YDS,205
1489003,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Melvin,Gordon,TD,1
1489004,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Melvin,Gordon,LONG,47
1489005,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Tanner,McEvoy,ATT,4
1489006,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Tanner,McEvoy,YDS,42
1489007,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Tanner,McEvoy,TD,1
1489008,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Tanner,McEvoy,LONG,18
1489009,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Corey,Clement,ATT,8
1489010,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Corey,Clement,YDS,23
1489011,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Corey,Clement,TD,0
1489012,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Corey,Clement,LONG,8
1489013,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Dare,Ogunbowale,ATT,2
1489014,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Dare,Ogunbowale,YDS,-1
1489015,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Dare,Ogunbowale,TD,0
1489016,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Dare,Ogunbowale,LONG,2
1489017,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Joel,Stave,ATT,1
1489018,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Joel,Stave,YDS,-2
1489019,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Joel,Stave,TD,0
1489020,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,Joel,Stave,LONG,-2
1489021,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,,Team,ATT,2
1489022,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,,Team,YDS,-3
1489023,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,,Team,TD,0
1489024,11/8/2014,FBS,Wisconsin,Purdue,RUSHING,,Team,LONG,-1
1489025,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Joel,Stave,CP-ATT-INT,19-29-1
1489026,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Joel,Stave,YDS,219
1489027,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Joel,Stave,TD,2
1489028,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Joel,Stave,LONG,28
1489029,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Tanner,McEvoy,CP-ATT-INT,1-1-0
1489030,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Tanner,McEvoy,YDS,6
1489031,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Tanner,McEvoy,TD,0
1489032,11/8/2014,FBS,Wisconsin,Purdue,PASSING,Tanner,McEvoy,LONG,6
1489033,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Jordan,Fredrick,REC,5
1489034,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Jordan,Fredrick,YDS,64
1489035,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Jordan,Fredrick,TD,0
1489036,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Jordan,Fredrick,LONG,16
1489037,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Melvin,Gordon,REC,3
1489038,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Melvin,Gordon,YDS,44
1489039,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Melvin,Gordon,TD,1
1489040,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Melvin,Gordon,LONG,27
1489041,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Kenzel,Doe,REC,3
1489042,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Kenzel,Doe,YDS,41
1489043,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Kenzel,Doe,TD,0
1489044,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Kenzel,Doe,LONG,23
1489045,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Troy,Fumagalli,REC,1
1489046,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Troy,Fumagalli,YDS,28
1489047,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Troy,Fumagalli,TD,0
1489048,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Troy,Fumagalli,LONG,28
1489049,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Alex,Erickson,REC,3
1489050,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Alex,Erickson,YDS,27
1489051,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Alex,Erickson,TD,1
1489052,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Alex,Erickson,LONG,11
1489053,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Sam,Arneson,REC,2
1489054,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Sam,Arneson,YDS,14
1489055,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Sam,Arneson,TD,0
1489056,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Sam,Arneson,LONG,8
1489057,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,George,Rushing,REC,1
1489058,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,George,Rushing,YDS,7
1489059,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,George,Rushing,TD,0
1489060,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,George,Rushing,LONG,7
1489061,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Corey,Clement,REC,2
1489062,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Corey,Clement,YDS,0
1489063,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Corey,Clement,TD,0
1489064,11/8/2014,FBS,Wisconsin,Purdue,RECEIVING,Corey,Clement,LONG,2
1489065,11/8/2014,FBS,Wisconsin,Purdue,KICKING,Rafael,Gaglianone,FG-FGA,2/2
1489066,11/8/2014,FBS,Wisconsin,Purdue,KICKING,Rafael,Gaglianone,LONG,31
1489067,11/8/2014,FBS,Wisconsin,Purdue,KICKING,Rafael,Gaglianone,XP,4
1489068,11/8/2014,FBS,Wisconsin,Purdue,KICKING,Rafael,Gaglianone,PTS,10
1489069,11/8/2014,FBS,Wisconsin,Purdue,PUNTING,Drew,Meyer,NO,3
1489070,11/8/2014,FBS,Wisconsin,Purdue,PUNTING,Drew,Meyer,YDS,94
1489071,11/8/2014,FBS,Wisconsin,Purdue,PUNTING,Drew,Meyer,AVG,31.3
1489072,11/8/2014,FBS,Wisconsin,Purdue,PUNTING,Drew,Meyer,LONG,35
1489073,11/8/2014,FBS,Wisconsin,Purdue,PUNT RETURNS,Kenzel,Doe,NO,2
1489074,11/8/2014,FBS,Wisconsin,Purdue,PUNT RETURNS,Kenzel,Doe,YDS,29
1489075,11/8/2014,FBS,Wisconsin,Purdue,PUNT RETURNS,Kenzel,Doe,AVG,14.5
1489076,11/8/2014,FBS,Wisconsin,Purdue,PUNT RETURNS,Kenzel,Doe,LONG,20
1489077,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Kenzel,Doe,NO,2
1489078,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Kenzel,Doe,YDS,72
1489079,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Kenzel,Doe,AVG,36.0
1489080,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Kenzel,Doe,LONG,36
1489081,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Austin,Traylor,NO,0
1489082,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Austin,Traylor,YDS,0
1489083,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Austin,Traylor,AVG,-
1489084,11/8/2014,FBS,Wisconsin,Purdue,KICK RETURNS,Austin,Traylor,LONG,0
1489085,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Raheem,Mostert,ATT,5
1489086,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Raheem,Mostert,YDS,20
1489087,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Raheem,Mostert,TD,0
1489088,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Raheem,Mostert,LONG,9
1489089,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Akeem,Hunt,ATT,9
1489090,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Akeem,Hunt,YDS,12
1489091,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Akeem,Hunt,TD,0
1489092,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Akeem,Hunt,LONG,16
1489093,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Trae,Hart,ATT,1
1489094,11/8/2014,FBS,Purdue,Wisconsin,RUSHING,Trae,Hart,YDS,8
