ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
928001,8/30/2014,FBS,North Texas,Texas,RUSHING,Reggie,Pegram,ATT,15
928002,8/30/2014,FBS,North Texas,Texas,RUSHING,Reggie,Pegram,YDS,50
928003,8/30/2014,FBS,North Texas,Texas,RUSHING,Reggie,Pegram,TD,0
928004,8/30/2014,FBS,North Texas,Texas,RUSHING,Reggie,Pegram,LONG,6
928005,8/30/2014,FBS,North Texas,Texas,RUSHING,Antoinne,Jimmerson,ATT,9
928006,8/30/2014,FBS,North Texas,Texas,RUSHING,Antoinne,Jimmerson,YDS,30
928007,8/30/2014,FBS,North Texas,Texas,RUSHING,Antoinne,Jimmerson,TD,0
928008,8/30/2014,FBS,North Texas,Texas,RUSHING,Antoinne,Jimmerson,LONG,8
928009,8/30/2014,FBS,North Texas,Texas,RUSHING,Jeffrey,Wilson,ATT,5
928010,8/30/2014,FBS,North Texas,Texas,RUSHING,Jeffrey,Wilson,YDS,22
928011,8/30/2014,FBS,North Texas,Texas,RUSHING,Jeffrey,Wilson,TD,0
928012,8/30/2014,FBS,North Texas,Texas,RUSHING,Jeffrey,Wilson,LONG,8
928013,8/30/2014,FBS,North Texas,Texas,RUSHING,Carlos,Harris,ATT,2
928014,8/30/2014,FBS,North Texas,Texas,RUSHING,Carlos,Harris,YDS,8
928015,8/30/2014,FBS,North Texas,Texas,RUSHING,Carlos,Harris,TD,0
928016,8/30/2014,FBS,North Texas,Texas,RUSHING,Carlos,Harris,LONG,5
928017,8/30/2014,FBS,North Texas,Texas,RUSHING,Jarrod,Lynn,ATT,2
928018,8/30/2014,FBS,North Texas,Texas,RUSHING,Jarrod,Lynn,YDS,7
928019,8/30/2014,FBS,North Texas,Texas,RUSHING,Jarrod,Lynn,TD,0
928020,8/30/2014,FBS,North Texas,Texas,RUSHING,Jarrod,Lynn,LONG,4
928021,8/30/2014,FBS,North Texas,Texas,RUSHING,,Team,ATT,0
928022,8/30/2014,FBS,North Texas,Texas,RUSHING,,Team,YDS,0
928023,8/30/2014,FBS,North Texas,Texas,RUSHING,,Team,TD,0
