ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2321001,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Brandon,Wilds,ATT,17
2321002,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Brandon,Wilds,YDS,128
2321003,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Brandon,Wilds,TD,2
2321004,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Brandon,Wilds,LONG,43
2321005,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Perry,Orth,ATT,11
2321006,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Perry,Orth,YDS,64
2321007,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Perry,Orth,TD,1
2321008,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Perry,Orth,LONG,66
2321009,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,David,Williams,ATT,10
2321010,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,David,Williams,YDS,27
2321011,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,David,Williams,TD,0
2321012,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,David,Williams,LONG,13
2321013,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Pharoh,Cooper,ATT,2
2321014,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Pharoh,Cooper,YDS,16
2321015,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Pharoh,Cooper,TD,0
2321016,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Pharoh,Cooper,LONG,15
2321017,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Shon,Carson,ATT,2
2321018,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Shon,Carson,YDS,11
2321019,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Shon,Carson,TD,0
2321020,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Shon,Carson,LONG,8
2321021,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Lorenzo,Nunez,ATT,1
2321022,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Lorenzo,Nunez,YDS,7
2321023,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Lorenzo,Nunez,TD,1
2321024,10/31/2015,FBS,South Carolina,Texas A&M,RUSHING,Lorenzo,Nunez,LONG,7
2321025,10/31/2015,FBS,South Carolina,Texas A&M,PASSING,Perry,Orth,CP-ATT-INT,15-24-2
2321026,10/31/2015,FBS,South Carolina,Texas A&M,PASSING,Perry,Orth,YDS,192
2321027,10/31/2015,FBS,South Carolina,Texas A&M,PASSING,Perry,Orth,TD,0
2321028,10/31/2015,FBS,South Carolina,Texas A&M,PASSING,Perry,Orth,LONG,47
2321029,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Hayden,Hurst,REC,1
2321030,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Hayden,Hurst,YDS,47
2321031,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Hayden,Hurst,TD,0
2321032,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Hayden,Hurst,LONG,47
2321033,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,David,Williams,REC,3
2321034,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,David,Williams,YDS,43
2321035,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,David,Williams,TD,0
2321036,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,David,Williams,LONG,21
2321037,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Kyle,Markway,REC,1
2321038,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Kyle,Markway,YDS,27
2321039,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Kyle,Markway,TD,0
2321040,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Kyle,Markway,LONG,27
2321041,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Shamier,Jeffery,REC,2
2321042,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Shamier,Jeffery,YDS,23
2321043,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Shamier,Jeffery,TD,0
2321044,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Shamier,Jeffery,LONG,16
2321045,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Pharoh,Cooper,REC,4
2321046,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Pharoh,Cooper,YDS,22
2321047,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Pharoh,Cooper,TD,0
2321048,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Pharoh,Cooper,LONG,11
2321049,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Brandon,Wilds,REC,2
2321050,10/31/2015,FBS,South Carolina,Texas A&M,RECEIVING,Brandon,Wilds,YDS,15
