ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2506001,11/26/2015,FBS,Texas Tech,Texas,RUSHING,DeAndre,Washington,ATT,28
2506002,11/26/2015,FBS,Texas Tech,Texas,RUSHING,DeAndre,Washington,YDS,173
2506003,11/26/2015,FBS,Texas Tech,Texas,RUSHING,DeAndre,Washington,TD,2
2506004,11/26/2015,FBS,Texas Tech,Texas,RUSHING,DeAndre,Washington,LONG,20
2506005,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Patrick,MahomesII,ATT,16
2506006,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Patrick,MahomesII,YDS,70
2506007,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Patrick,MahomesII,TD,1
2506008,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Patrick,MahomesII,LONG,17
2506009,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Jakeem,Grant,ATT,2
2506010,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Jakeem,Grant,YDS,42
2506011,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Jakeem,Grant,TD,1
2506012,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Jakeem,Grant,LONG,40
2506013,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Justin,Stockton,ATT,3
2506014,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Justin,Stockton,YDS,13
2506015,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Justin,Stockton,TD,1
2506016,11/26/2015,FBS,Texas Tech,Texas,RUSHING,Justin,Stockton,LONG,14
2506017,11/26/2015,FBS,Texas Tech,Texas,RUSHING,,Team,ATT,2
2506018,11/26/2015,FBS,Texas Tech,Texas,RUSHING,,Team,YDS,-5
2506019,11/26/2015,FBS,Texas Tech,Texas,RUSHING,,Team,TD,0
2506020,11/26/2015,FBS,Texas Tech,Texas,RUSHING,,Team,LONG,-2
2506021,11/26/2015,FBS,Texas Tech,Texas,PASSING,Patrick,MahomesII,CP-ATT-INT,22-39-1
2506022,11/26/2015,FBS,Texas Tech,Texas,PASSING,Patrick,MahomesII,YDS,372
2506023,11/26/2015,FBS,Texas Tech,Texas,PASSING,Patrick,MahomesII,TD,1
2506024,11/26/2015,FBS,Texas Tech,Texas,PASSING,Patrick,MahomesII,LONG,65
2506025,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Ian,Sadler,REC,6
2506026,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Ian,Sadler,YDS,108
2506027,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Ian,Sadler,TD,0
2506028,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Ian,Sadler,LONG,36
2506029,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jakeem,Grant,REC,2
2506030,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jakeem,Grant,YDS,105
2506031,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jakeem,Grant,TD,1
2506032,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jakeem,Grant,LONG,65
2506033,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Devin,Lauderdale,REC,4
2506034,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Devin,Lauderdale,YDS,84
2506035,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Devin,Lauderdale,TD,0
2506036,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Devin,Lauderdale,LONG,59
2506037,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Reginald,Davis,REC,4
2506038,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Reginald,Davis,YDS,25
2506039,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Reginald,Davis,TD,0
2506040,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Reginald,Davis,LONG,15
2506041,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jonathan,Giles,REC,2
2506042,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jonathan,Giles,YDS,22
2506043,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jonathan,Giles,TD,0
2506044,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Jonathan,Giles,LONG,16
2506045,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Justin,Stockton,REC,2
2506046,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Justin,Stockton,YDS,16
2506047,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Justin,Stockton,TD,0
2506048,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,Justin,Stockton,LONG,15
2506049,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,DeAndre,Washington,REC,1
2506050,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,DeAndre,Washington,YDS,14
2506051,11/26/2015,FBS,Texas Tech,Texas,RECEIVING,DeAndre,Washington,TD,0
