ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2343001,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Taquan,Mizzell,ATT,18
2343002,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Taquan,Mizzell,YDS,91
2343003,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Taquan,Mizzell,TD,0
2343004,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Taquan,Mizzell,LONG,27
2343005,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Olamide,Zaccheaus,ATT,4
2343006,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Olamide,Zaccheaus,YDS,20
2343007,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Olamide,Zaccheaus,TD,1
2343008,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Olamide,Zaccheaus,LONG,15
2343009,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Matt,Johns,ATT,5
2343010,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Matt,Johns,YDS,7
2343011,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Matt,Johns,TD,0
2343012,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Matt,Johns,LONG,6
2343013,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Daniel,Hamm,ATT,1
2343014,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Daniel,Hamm,YDS,6
2343015,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Daniel,Hamm,TD,0
2343016,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Daniel,Hamm,LONG,6
2343017,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Albert,Reid,ATT,3
2343018,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Albert,Reid,YDS,2
2343019,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Albert,Reid,TD,0
2343020,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Albert,Reid,LONG,2
2343021,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Jordan,Ellis,ATT,1
2343022,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Jordan,Ellis,YDS,1
2343023,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Jordan,Ellis,TD,0
2343024,11/7/2015,FBS,Virginia,Miami (Fla.),RUSHING,Jordan,Ellis,LONG,1
2343025,11/7/2015,FBS,Virginia,Miami (Fla.),PASSING,Matt,Johns,CP-ATT-INT,29-42-1
2343026,11/7/2015,FBS,Virginia,Miami (Fla.),PASSING,Matt,Johns,YDS,280
2343027,11/7/2015,FBS,Virginia,Miami (Fla.),PASSING,Matt,Johns,TD,0
2343028,11/7/2015,FBS,Virginia,Miami (Fla.),PASSING,Matt,Johns,LONG,28
2343029,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Canaan,Severin,REC,5
2343030,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Canaan,Severin,YDS,70
2343031,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Canaan,Severin,TD,0
2343032,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Canaan,Severin,LONG,19
2343033,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Daniel,Hamm,REC,4
2343034,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Daniel,Hamm,YDS,48
2343035,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Daniel,Hamm,TD,0
2343036,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Daniel,Hamm,LONG,28
2343037,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Olamide,Zaccheaus,REC,4
2343038,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Olamide,Zaccheaus,YDS,46
2343039,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Olamide,Zaccheaus,TD,0
2343040,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Olamide,Zaccheaus,LONG,25
2343041,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Taquan,Mizzell,REC,8
2343042,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Taquan,Mizzell,YDS,40
2343043,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Taquan,Mizzell,TD,0
2343044,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Taquan,Mizzell,LONG,19
2343045,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Evan,Butts,REC,2
2343046,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Evan,Butts,YDS,29
2343047,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Evan,Butts,TD,0
2343048,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Evan,Butts,LONG,18
2343049,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Keeon,Johnson,REC,2
2343050,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Keeon,Johnson,YDS,26
2343051,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Keeon,Johnson,TD,0
2343052,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Keeon,Johnson,LONG,18
2343053,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,T.J.,Thorpe,REC,2
2343054,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,T.J.,Thorpe,YDS,19
2343055,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,T.J.,Thorpe,TD,0
2343056,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,T.J.,Thorpe,LONG,17
2343057,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Charlie,Hopkins,REC,1
2343058,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Charlie,Hopkins,YDS,4
2343059,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Charlie,Hopkins,TD,0
2343060,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Charlie,Hopkins,LONG,4
2343061,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Albert,Reid,REC,1
2343062,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Albert,Reid,YDS,-2
2343063,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Albert,Reid,TD,0
2343064,11/7/2015,FBS,Virginia,Miami (Fla.),RECEIVING,Albert,Reid,LONG,0
2343065,11/7/2015,FBS,Virginia,Miami (Fla.),KICKING,Ian,Frye,FG-FGA,4/4
2343066,11/7/2015,FBS,Virginia,Miami (Fla.),KICKING,Ian,Frye,LONG,48
2343067,11/7/2015,FBS,Virginia,Miami (Fla.),KICKING,Ian,Frye,XP,1
2343068,11/7/2015,FBS,Virginia,Miami (Fla.),KICKING,Ian,Frye,PTS,13
2343069,11/7/2015,FBS,Virginia,Miami (Fla.),PUNTING,Nicholas,Conte,NO,5
2343070,11/7/2015,FBS,Virginia,Miami (Fla.),PUNTING,Nicholas,Conte,YDS,205
2343071,11/7/2015,FBS,Virginia,Miami (Fla.),PUNTING,Nicholas,Conte,AVG,41.0
2343072,11/7/2015,FBS,Virginia,Miami (Fla.),PUNTING,Nicholas,Conte,LONG,44
2343073,11/7/2015,FBS,Virginia,Miami (Fla.),PUNT RETURNS,Olamide,Zaccheaus,NO,0
2343074,11/7/2015,FBS,Virginia,Miami (Fla.),PUNT RETURNS,Olamide,Zaccheaus,YDS,0
2343075,11/7/2015,FBS,Virginia,Miami (Fla.),PUNT RETURNS,Olamide,Zaccheaus,AVG,-
2343076,11/7/2015,FBS,Virginia,Miami (Fla.),PUNT RETURNS,Olamide,Zaccheaus,LONG,0
2343077,11/7/2015,FBS,Virginia,Miami (Fla.),KICK RETURNS,Olamide,Zaccheaus,NO,2
2343078,11/7/2015,FBS,Virginia,Miami (Fla.),KICK RETURNS,Olamide,Zaccheaus,YDS,31
