ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2591001,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Richie,James,ATT,2
2591002,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Richie,James,YDS,61
2591003,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Richie,James,TD,1
2591004,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Richie,James,LONG,46
2591005,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Shane,Tucker,ATT,10
2591006,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Shane,Tucker,YDS,30
2591007,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Shane,Tucker,TD,0
2591008,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Shane,Tucker,LONG,14
2591009,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Brent,Stockstill,ATT,9
2591010,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Brent,Stockstill,YDS,22
2591011,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Brent,Stockstill,TD,0
2591012,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Brent,Stockstill,LONG,23
2591013,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Jordan,Parker,ATT,5
2591014,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Jordan,Parker,YDS,2
2591015,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Jordan,Parker,TD,0
2591016,12/24/2015,FBS,Middle Tenn.,Western Mich.,RUSHING,Jordan,Parker,LONG,3
2591017,12/24/2015,FBS,Middle Tenn.,Western Mich.,PASSING,Brent,Stockstill,CP-ATT-INT,26-39-1
2591018,12/24/2015,FBS,Middle Tenn.,Western Mich.,PASSING,Brent,Stockstill,YDS,327
2591019,12/24/2015,FBS,Middle Tenn.,Western Mich.,PASSING,Brent,Stockstill,TD,3
2591020,12/24/2015,FBS,Middle Tenn.,Western Mich.,PASSING,Brent,Stockstill,LONG,48
2591021,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Richie,James,REC,8
2591022,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Richie,James,YDS,126
2591023,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Richie,James,TD,2
2591024,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Richie,James,LONG,44
2591025,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Ed'Marques,Batties,REC,5
2591026,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Ed'Marques,Batties,YDS,88
2591027,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Ed'Marques,Batties,TD,0
2591028,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Ed'Marques,Batties,LONG,48
2591029,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Christian,Collis,REC,2
2591030,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Christian,Collis,YDS,49
2591031,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Christian,Collis,TD,1
2591032,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Christian,Collis,LONG,32
2591033,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Terry,Pettis,REC,1
2591034,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Terry,Pettis,YDS,19
2591035,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Terry,Pettis,TD,0
2591036,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Terry,Pettis,LONG,19
2591037,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Jordan,Parker,REC,3
2591038,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Jordan,Parker,YDS,18
2591039,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Jordan,Parker,TD,0
2591040,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Jordan,Parker,LONG,15
2591041,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Demetrius,Frazier,REC,3
2591042,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Demetrius,Frazier,YDS,11
2591043,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Demetrius,Frazier,TD,0
2591044,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Demetrius,Frazier,LONG,6
2591045,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Austin,Grammer,REC,1
2591046,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Austin,Grammer,YDS,9
2591047,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Austin,Grammer,TD,0
2591048,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Austin,Grammer,LONG,9
2591049,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Shane,Tucker,REC,3
2591050,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Shane,Tucker,YDS,7
2591051,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Shane,Tucker,TD,0
2591052,12/24/2015,FBS,Middle Tenn.,Western Mich.,RECEIVING,Shane,Tucker,LONG,7
2591053,12/24/2015,FBS,Middle Tenn.,Western Mich.,KICKING,Cody,Clark,FG-FGA,1/1
2591054,12/24/2015,FBS,Middle Tenn.,Western Mich.,KICKING,Cody,Clark,LONG,23
2591055,12/24/2015,FBS,Middle Tenn.,Western Mich.,KICKING,Cody,Clark,XP,4
2591056,12/24/2015,FBS,Middle Tenn.,Western Mich.,KICKING,Cody,Clark,PTS,7
2591057,12/24/2015,FBS,Middle Tenn.,Western Mich.,PUNTING,Matt,Bonadies,NO,5
2591058,12/24/2015,FBS,Middle Tenn.,Western Mich.,PUNTING,Matt,Bonadies,YDS,224
2591059,12/24/2015,FBS,Middle Tenn.,Western Mich.,PUNTING,Matt,Bonadies,AVG,44.8
2591060,12/24/2015,FBS,Middle Tenn.,Western Mich.,PUNTING,Matt,Bonadies,LONG,52
2591061,12/24/2015,FBS,Middle Tenn.,Western Mich.,PUNT RETURNS,Ed'Marques,Batties,NO,2
2591062,12/24/2015,FBS,Middle Tenn.,Western Mich.,PUNT RETURNS,Ed'Marques,Batties,YDS,5
