ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
1958001,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Mike,Warren,ATT,21
1958002,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Mike,Warren,YDS,126
1958003,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Mike,Warren,TD,0
1958004,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Mike,Warren,LONG,41
1958005,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joshua,Thomas,ATT,9
1958006,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joshua,Thomas,YDS,37
1958007,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joshua,Thomas,TD,0
1958008,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joshua,Thomas,LONG,14
1958009,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Sam,Richardson,ATT,10
1958010,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Sam,Richardson,YDS,18
1958011,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Sam,Richardson,TD,0
1958012,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Sam,Richardson,LONG,12
1958013,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joel,Lanning,ATT,3
1958014,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joel,Lanning,YDS,14
1958015,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joel,Lanning,TD,0
1958016,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Joel,Lanning,LONG,6
1958017,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Trever,Ryen,ATT,3
1958018,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Trever,Ryen,YDS,13
1958019,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Trever,Ryen,TD,1
1958020,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Trever,Ryen,LONG,11
1958021,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Tyler,Brown,ATT,1
1958022,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Tyler,Brown,YDS,1
1958023,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Tyler,Brown,TD,0
1958024,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Tyler,Brown,LONG,1
1958025,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Jauan,Wesley,ATT,1
1958026,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Jauan,Wesley,YDS,0
1958027,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Jauan,Wesley,TD,0
1958028,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,Jauan,Wesley,LONG,0
1958029,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,,Team,ATT,1
1958030,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,,Team,YDS,-2
1958031,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,,Team,TD,0
1958032,9/19/2015,FBS,Iowa St.,Toledo,RUSHING,,Team,LONG,-2
1958033,9/19/2015,FBS,Iowa St.,Toledo,PASSING,Sam,Richardson,CP-ATT-INT,25-42-0
