ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2011001,9/26/2015,FBS,UCLA,Arizona,RUSHING,Soso,Jamabo,ATT,9
2011002,9/26/2015,FBS,UCLA,Arizona,RUSHING,Soso,Jamabo,YDS,96
2011003,9/26/2015,FBS,UCLA,Arizona,RUSHING,Soso,Jamabo,TD,1
2011004,9/26/2015,FBS,UCLA,Arizona,RUSHING,Soso,Jamabo,LONG,27
2011005,9/26/2015,FBS,UCLA,Arizona,RUSHING,Paul,Perkins,ATT,24
2011006,9/26/2015,FBS,UCLA,Arizona,RUSHING,Paul,Perkins,YDS,85
2011007,9/26/2015,FBS,UCLA,Arizona,RUSHING,Paul,Perkins,TD,3
2011008,9/26/2015,FBS,UCLA,Arizona,RUSHING,Paul,Perkins,LONG,16
2011009,9/26/2015,FBS,UCLA,Arizona,RUSHING,Nate,Starks,ATT,5
2011010,9/26/2015,FBS,UCLA,Arizona,RUSHING,Nate,Starks,YDS,28
2011011,9/26/2015,FBS,UCLA,Arizona,RUSHING,Nate,Starks,TD,1
2011012,9/26/2015,FBS,UCLA,Arizona,RUSHING,Nate,Starks,LONG,19
2011013,9/26/2015,FBS,UCLA,Arizona,RUSHING,Josh,Rosen,ATT,4
2011014,9/26/2015,FBS,UCLA,Arizona,RUSHING,Josh,Rosen,YDS,7
2011015,9/26/2015,FBS,UCLA,Arizona,RUSHING,Josh,Rosen,TD,1
2011016,9/26/2015,FBS,UCLA,Arizona,RUSHING,Josh,Rosen,LONG,10
2011017,9/26/2015,FBS,UCLA,Arizona,RUSHING,Mossi,Johnson,ATT,1
2011018,9/26/2015,FBS,UCLA,Arizona,RUSHING,Mossi,Johnson,YDS,1
2011019,9/26/2015,FBS,UCLA,Arizona,RUSHING,Mossi,Johnson,TD,0
2011020,9/26/2015,FBS,UCLA,Arizona,RUSHING,Mossi,Johnson,LONG,1
2011021,9/26/2015,FBS,UCLA,Arizona,RUSHING,Bolu,Olorunfunmi,ATT,2
2011022,9/26/2015,FBS,UCLA,Arizona,RUSHING,Bolu,Olorunfunmi,YDS,-1
2011023,9/26/2015,FBS,UCLA,Arizona,RUSHING,Bolu,Olorunfunmi,TD,0
2011024,9/26/2015,FBS,UCLA,Arizona,RUSHING,Bolu,Olorunfunmi,LONG,1
2011025,9/26/2015,FBS,UCLA,Arizona,RUSHING,,Team,ATT,2
2011026,9/26/2015,FBS,UCLA,Arizona,RUSHING,,Team,YDS,-3
2011027,9/26/2015,FBS,UCLA,Arizona,RUSHING,,Team,TD,0
2011028,9/26/2015,FBS,UCLA,Arizona,RUSHING,,Team,LONG,-1
2011029,9/26/2015,FBS,UCLA,Arizona,PASSING,Josh,Rosen,CP-ATT-INT,19-28-0
2011030,9/26/2015,FBS,UCLA,Arizona,PASSING,Josh,Rosen,YDS,284
2011031,9/26/2015,FBS,UCLA,Arizona,PASSING,Josh,Rosen,TD,2
2011032,9/26/2015,FBS,UCLA,Arizona,PASSING,Josh,Rosen,LONG,59
2011033,9/26/2015,FBS,UCLA,Arizona,RECEIVING,Jordan,Payton,REC,7
2011034,9/26/2015,FBS,UCLA,Arizona,RECEIVING,Jordan,Payton,YDS,136
2011035,9/26/2015,FBS,UCLA,Arizona,RECEIVING,Jordan,Payton,TD,1
2011036,9/26/2015,FBS,UCLA,Arizona,RECEIVING,Jordan,Payton,LONG,59
2011037,9/26/2015,FBS,UCLA,Arizona,RECEIVING,Thomas,Duarte,REC,4
