ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
1802001,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Willson,ATT,9
1802002,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Willson,YDS,30
1802003,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Willson,TD,0
1802004,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Willson,LONG,8
1802005,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Blake,Martin,ATT,7
1802006,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Blake,Martin,YDS,16
1802007,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Blake,Martin,TD,0
1802008,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Blake,Martin,LONG,6
1802009,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jereke,Armstrong,ATT,5
1802010,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jereke,Armstrong,YDS,13
1802011,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jereke,Armstrong,TD,0
1802012,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jereke,Armstrong,LONG,9
1802013,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jonah,Hodges,ATT,6
1802014,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jonah,Hodges,YDS,10
1802015,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jonah,Hodges,TD,0
1802016,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Jonah,Hodges,LONG,4
1802017,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Dallas,Kessman,ATT,7
1802018,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Dallas,Kessman,YDS,9
1802019,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Dallas,Kessman,TD,0
1802020,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Dallas,Kessman,LONG,5
1802021,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Campano,ATT,1
1802022,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Campano,YDS,3
1802023,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Campano,TD,0
1802024,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Chris,Campano,LONG,3
1802025,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Fia,Malepeai,ATT,1
1802026,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Fia,Malepeai,YDS,2
1802027,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Fia,Malepeai,TD,0
1802028,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Fia,Malepeai,LONG,2
1802029,9/5/2015,FBS,San Diego,San Diego St.,RUSHING,Trey,Wheeler,ATT,1
