ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3183001,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Rodney,Smith,ATT,20
3183002,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Rodney,Smith,YDS,100
3183003,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Rodney,Smith,TD,2
3183004,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Rodney,Smith,LONG,20
3183005,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Shannon,Brooks,ATT,12
3183006,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Shannon,Brooks,YDS,59
3183007,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Shannon,Brooks,TD,1
3183008,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Shannon,Brooks,LONG,12
3183009,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Kobe,McCrary,ATT,4
3183010,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Kobe,McCrary,YDS,14
3183011,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Kobe,McCrary,TD,1
3183012,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Kobe,McCrary,LONG,5
3183013,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Drew,Wolitarsky,ATT,1
3183014,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Drew,Wolitarsky,YDS,7
3183015,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Drew,Wolitarsky,TD,0
3183016,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Drew,Wolitarsky,LONG,7
3183017,10/29/2016,FBS,Minnesota,Illinois,RUSHING,,Team,ATT,1
3183018,10/29/2016,FBS,Minnesota,Illinois,RUSHING,,Team,YDS,-2
3183019,10/29/2016,FBS,Minnesota,Illinois,RUSHING,,Team,TD,0
3183020,10/29/2016,FBS,Minnesota,Illinois,RUSHING,,Team,LONG,-2
3183021,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Conor,Rhoda,ATT,2
3183022,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Conor,Rhoda,YDS,-3
3183023,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Conor,Rhoda,TD,0
3183024,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Conor,Rhoda,LONG,0
3183025,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Mitch,Leidner,ATT,8
3183026,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Mitch,Leidner,YDS,-4
3183027,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Mitch,Leidner,TD,1
3183028,10/29/2016,FBS,Minnesota,Illinois,RUSHING,Mitch,Leidner,LONG,6
