ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3003001,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Dalton,Sneed,ATT,12
3003002,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Dalton,Sneed,YDS,56
3003003,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Dalton,Sneed,TD,0
3003004,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Dalton,Sneed,LONG,12
3003005,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Lexington,Thomas,ATT,9
3003006,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Lexington,Thomas,YDS,27
3003007,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Lexington,Thomas,TD,0
3003008,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Lexington,Thomas,LONG,15
3003009,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Charles,Williams,ATT,9
3003010,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Charles,Williams,YDS,21
3003011,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Charles,Williams,TD,0
3003012,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Charles,Williams,LONG,7
3003013,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Mekhi,Stevenson,ATT,1
3003014,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Mekhi,Stevenson,YDS,12
3003015,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Mekhi,Stevenson,TD,0
3003016,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Mekhi,Stevenson,LONG,12
3003017,10/8/2016,FBS,UNLV,San Diego State,RUSHING,David,Greene,ATT,1
3003018,10/8/2016,FBS,UNLV,San Diego State,RUSHING,David,Greene,YDS,1
3003019,10/8/2016,FBS,UNLV,San Diego State,RUSHING,David,Greene,TD,0
3003020,10/8/2016,FBS,UNLV,San Diego State,RUSHING,David,Greene,LONG,1
3003021,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Xzaviar,Campbell,ATT,1
3003022,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Xzaviar,Campbell,YDS,0
3003023,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Xzaviar,Campbell,TD,0
3003024,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Xzaviar,Campbell,LONG,0
3003025,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Kurt,Palandech,ATT,3
3003026,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Kurt,Palandech,YDS,-4
3003027,10/8/2016,FBS,UNLV,San Diego State,RUSHING,Kurt,Palandech,TD,0
