ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3389001,11/22/2016,FBS,Akron,Ohio,RUSHING,Manny,Morgan,ATT,8
3389002,11/22/2016,FBS,Akron,Ohio,RUSHING,Manny,Morgan,YDS,47
3389003,11/22/2016,FBS,Akron,Ohio,RUSHING,Manny,Morgan,TD,0
3389004,11/22/2016,FBS,Akron,Ohio,RUSHING,Manny,Morgan,LONG,16
3389005,11/22/2016,FBS,Akron,Ohio,RUSHING,Tyrell,Goodman,ATT,17
3389006,11/22/2016,FBS,Akron,Ohio,RUSHING,Tyrell,Goodman,YDS,25
3389007,11/22/2016,FBS,Akron,Ohio,RUSHING,Tyrell,Goodman,TD,0
3389008,11/22/2016,FBS,Akron,Ohio,RUSHING,Tyrell,Goodman,LONG,8
3389009,11/22/2016,FBS,Akron,Ohio,RUSHING,Mykel,Traylor-Bennett,ATT,1
3389010,11/22/2016,FBS,Akron,Ohio,RUSHING,Mykel,Traylor-Bennett,YDS,19
3389011,11/22/2016,FBS,Akron,Ohio,RUSHING,Mykel,Traylor-Bennett,TD,0
3389012,11/22/2016,FBS,Akron,Ohio,RUSHING,Mykel,Traylor-Bennett,LONG,19
3389013,11/22/2016,FBS,Akron,Ohio,RUSHING,Van,EdwardsJr.,ATT,3
3389014,11/22/2016,FBS,Akron,Ohio,RUSHING,Van,EdwardsJr.,YDS,7
3389015,11/22/2016,FBS,Akron,Ohio,RUSHING,Van,EdwardsJr.,TD,0
3389016,11/22/2016,FBS,Akron,Ohio,RUSHING,Van,EdwardsJr.,LONG,5
3389017,11/22/2016,FBS,Akron,Ohio,RUSHING,Denzel,JonesJr.,ATT,2
3389018,11/22/2016,FBS,Akron,Ohio,RUSHING,Denzel,JonesJr.,YDS,5
3389019,11/22/2016,FBS,Akron,Ohio,RUSHING,Denzel,JonesJr.,TD,0
3389020,11/22/2016,FBS,Akron,Ohio,RUSHING,Denzel,JonesJr.,LONG,4
3389021,11/22/2016,FBS,Akron,Ohio,RUSHING,Kyle,Ritz,ATT,0
3389022,11/22/2016,FBS,Akron,Ohio,RUSHING,Kyle,Ritz,YDS,0
3389023,11/22/2016,FBS,Akron,Ohio,RUSHING,Kyle,Ritz,TD,0
3389024,11/22/2016,FBS,Akron,Ohio,RUSHING,Kyle,Ritz,LONG,0
3389025,11/22/2016,FBS,Akron,Ohio,RUSHING,JoJo,NatsonJr.,ATT,1
3389026,11/22/2016,FBS,Akron,Ohio,RUSHING,JoJo,NatsonJr.,YDS,-8
3389027,11/22/2016,FBS,Akron,Ohio,RUSHING,JoJo,NatsonJr.,TD,0
3389028,11/22/2016,FBS,Akron,Ohio,RUSHING,JoJo,NatsonJr.,LONG,-8
3389029,11/22/2016,FBS,Akron,Ohio,PASSING,Tyrell,Goodman,CP-ATT-INT,12-27-0
3389030,11/22/2016,FBS,Akron,Ohio,PASSING,Tyrell,Goodman,YDS,136
3389031,11/22/2016,FBS,Akron,Ohio,PASSING,Tyrell,Goodman,TD,0
3389032,11/22/2016,FBS,Akron,Ohio,PASSING,Tyrell,Goodman,LONG,47
3389033,11/22/2016,FBS,Akron,Ohio,RECEIVING,Jerome,Lane,REC,4
3389034,11/22/2016,FBS,Akron,Ohio,RECEIVING,Jerome,Lane,YDS,60
3389035,11/22/2016,FBS,Akron,Ohio,RECEIVING,Jerome,Lane,TD,0
3389036,11/22/2016,FBS,Akron,Ohio,RECEIVING,Jerome,Lane,LONG,22
3389037,11/22/2016,FBS,Akron,Ohio,RECEIVING,JoJo,NatsonJr.,REC,3
3389038,11/22/2016,FBS,Akron,Ohio,RECEIVING,JoJo,NatsonJr.,YDS,45
3389039,11/22/2016,FBS,Akron,Ohio,RECEIVING,JoJo,NatsonJr.,TD,0
3389040,11/22/2016,FBS,Akron,Ohio,RECEIVING,JoJo,NatsonJr.,LONG,47
3389041,11/22/2016,FBS,Akron,Ohio,RECEIVING,Mykel,Traylor-Bennett,REC,2
3389042,11/22/2016,FBS,Akron,Ohio,RECEIVING,Mykel,Traylor-Bennett,YDS,20
3389043,11/22/2016,FBS,Akron,Ohio,RECEIVING,Mykel,Traylor-Bennett,TD,0
3389044,11/22/2016,FBS,Akron,Ohio,RECEIVING,Mykel,Traylor-Bennett,LONG,16
3389045,11/22/2016,FBS,Akron,Ohio,RECEIVING,A.J.,Coney,REC,1
3389046,11/22/2016,FBS,Akron,Ohio,RECEIVING,A.J.,Coney,YDS,9
3389047,11/22/2016,FBS,Akron,Ohio,RECEIVING,A.J.,Coney,TD,0
3389048,11/22/2016,FBS,Akron,Ohio,RECEIVING,A.J.,Coney,LONG,9
3389049,11/22/2016,FBS,Akron,Ohio,RECEIVING,Austin,Wolf,REC,1
3389050,11/22/2016,FBS,Akron,Ohio,RECEIVING,Austin,Wolf,YDS,6
3389051,11/22/2016,FBS,Akron,Ohio,RECEIVING,Austin,Wolf,TD,0
3389052,11/22/2016,FBS,Akron,Ohio,RECEIVING,Austin,Wolf,LONG,6
3389053,11/22/2016,FBS,Akron,Ohio,RECEIVING,Van,EdwardsJr.,REC,1
3389054,11/22/2016,FBS,Akron,Ohio,RECEIVING,Van,EdwardsJr.,YDS,-4
3389055,11/22/2016,FBS,Akron,Ohio,RECEIVING,Van,EdwardsJr.,TD,0
3389056,11/22/2016,FBS,Akron,Ohio,RECEIVING,Van,EdwardsJr.,LONG,-4
3389057,11/22/2016,FBS,Akron,Ohio,KICKING,Tom,O'Leary,FG-FGA,1/2
3389058,11/22/2016,FBS,Akron,Ohio,KICKING,Tom,O'Leary,LONG,35
3389059,11/22/2016,FBS,Akron,Ohio,KICKING,Tom,O'Leary,XP,0
3389060,11/22/2016,FBS,Akron,Ohio,KICKING,Tom,O'Leary,PTS,3
3389061,11/22/2016,FBS,Akron,Ohio,PUNTING,Nick,Gasser,NO,6
3389062,11/22/2016,FBS,Akron,Ohio,PUNTING,Nick,Gasser,YDS,203
3389063,11/22/2016,FBS,Akron,Ohio,PUNTING,Nick,Gasser,AVG,33.8
3389064,11/22/2016,FBS,Akron,Ohio,PUNTING,Nick,Gasser,LONG,37
3389065,11/22/2016,FBS,Akron,Ohio,PUNT RETURNS,JoJo,NatsonJr.,NO,0
3389066,11/22/2016,FBS,Akron,Ohio,PUNT RETURNS,JoJo,NatsonJr.,YDS,0
3389067,11/22/2016,FBS,Akron,Ohio,PUNT RETURNS,JoJo,NatsonJr.,AVG,-
3389068,11/22/2016,FBS,Akron,Ohio,PUNT RETURNS,JoJo,NatsonJr.,LONG,0
3389069,11/22/2016,FBS,Akron,Ohio,KICK RETURNS,JoJo,NatsonJr.,NO,3
3389070,11/22/2016,FBS,Akron,Ohio,KICK RETURNS,JoJo,NatsonJr.,YDS,48
