ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3405001,11/26/2016,FBS,Michigan State,Penn State,RUSHING,LJ,Scott,ATT,16
3405002,11/26/2016,FBS,Michigan State,Penn State,RUSHING,LJ,Scott,YDS,59
3405003,11/26/2016,FBS,Michigan State,Penn State,RUSHING,LJ,Scott,TD,0
3405004,11/26/2016,FBS,Michigan State,Penn State,RUSHING,LJ,Scott,LONG,11
3405005,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Gerald,Holmes,ATT,6
3405006,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Gerald,Holmes,YDS,23
3405007,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Gerald,Holmes,TD,0
3405008,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Gerald,Holmes,LONG,8
3405009,11/26/2016,FBS,Michigan State,Penn State,RUSHING,RJ,Shelton,ATT,3
3405010,11/26/2016,FBS,Michigan State,Penn State,RUSHING,RJ,Shelton,YDS,15
3405011,11/26/2016,FBS,Michigan State,Penn State,RUSHING,RJ,Shelton,TD,0
3405012,11/26/2016,FBS,Michigan State,Penn State,RUSHING,RJ,Shelton,LONG,9
3405013,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Damion,Terry,ATT,4
3405014,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Damion,Terry,YDS,13
3405015,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Damion,Terry,TD,0
3405016,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Damion,Terry,LONG,9
3405017,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Delton,Williams,ATT,3
3405018,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Delton,Williams,YDS,10
3405019,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Delton,Williams,TD,0
3405020,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Delton,Williams,LONG,6
3405021,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Donnie,Corley,ATT,2
3405022,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Donnie,Corley,YDS,8
3405023,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Donnie,Corley,TD,0
3405024,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Donnie,Corley,LONG,9
3405025,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Tyler,O'Connor,ATT,8
3405026,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Tyler,O'Connor,YDS,-19
3405027,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Tyler,O'Connor,TD,0
3405028,11/26/2016,FBS,Michigan State,Penn State,RUSHING,Tyler,O'Connor,LONG,8
3405029,11/26/2016,FBS,Michigan State,Penn State,PASSING,Tyler,O'Connor,CP-ATT-INT,17-33-0
3405030,11/26/2016,FBS,Michigan State,Penn State,PASSING,Tyler,O'Connor,YDS,118
3405031,11/26/2016,FBS,Michigan State,Penn State,PASSING,Tyler,O'Connor,TD,0
3405032,11/26/2016,FBS,Michigan State,Penn State,PASSING,Tyler,O'Connor,LONG,17
3405033,11/26/2016,FBS,Michigan State,Penn State,PASSING,Damion,Terry,CP-ATT-INT,7-12-0
3405034,11/26/2016,FBS,Michigan State,Penn State,PASSING,Damion,Terry,YDS,101
3405035,11/26/2016,FBS,Michigan State,Penn State,PASSING,Damion,Terry,TD,0
3405036,11/26/2016,FBS,Michigan State,Penn State,PASSING,Damion,Terry,LONG,39
3405037,11/26/2016,FBS,Michigan State,Penn State,PASSING,RJ,Shelton,CP-ATT-INT,1-1-0
3405038,11/26/2016,FBS,Michigan State,Penn State,PASSING,RJ,Shelton,YDS,15
3405039,11/26/2016,FBS,Michigan State,Penn State,PASSING,RJ,Shelton,TD,0
3405040,11/26/2016,FBS,Michigan State,Penn State,PASSING,RJ,Shelton,LONG,15
3405041,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,RJ,Shelton,REC,5
3405042,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,RJ,Shelton,YDS,74
3405043,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,RJ,Shelton,TD,0
3405044,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,RJ,Shelton,LONG,39
3405045,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Josiah,Price,REC,6
3405046,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Josiah,Price,YDS,63
3405047,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Josiah,Price,TD,0
3405048,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Josiah,Price,LONG,23
3405049,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Donnie,Corley,REC,4
3405050,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Donnie,Corley,YDS,33
3405051,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Donnie,Corley,TD,0
3405052,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Donnie,Corley,LONG,12
3405053,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Monty,Madaris,REC,4
3405054,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Monty,Madaris,YDS,30
3405055,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Monty,Madaris,TD,0
3405056,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Monty,Madaris,LONG,13
3405057,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Damion,Terry,REC,1
3405058,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Damion,Terry,YDS,15
3405059,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Damion,Terry,TD,0
3405060,11/26/2016,FBS,Michigan State,Penn State,RECEIVING,Damion,Terry,LONG,15
