ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3215001,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Devin,Singletary,ATT,23
3215002,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Devin,Singletary,YDS,252
3215003,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Devin,Singletary,TD,3
3215004,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Devin,Singletary,LONG,66
3215005,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Greg,HowellJr.,ATT,13
3215006,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Greg,HowellJr.,YDS,74
3215007,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Greg,HowellJr.,TD,1
3215008,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Greg,HowellJr.,LONG,27
3215009,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Daniel,Parr,ATT,2
3215010,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Daniel,Parr,YDS,16
3215011,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Daniel,Parr,TD,0
3215012,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Daniel,Parr,LONG,11
3215013,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Jason,Driskel,ATT,2
3215014,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Jason,Driskel,YDS,-2
3215015,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Jason,Driskel,TD,0
3215016,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,Jason,Driskel,LONG,0
3215017,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,,Team,ATT,2
3215018,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,,Team,YDS,-4
3215019,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,,Team,TD,0
3215020,11/5/2016,FBS,Florida Atlantic,Rice,RUSHING,,Team,LONG,-2
3215021,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Jason,Driskel,CP-ATT-INT,15-23-0
3215022,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Jason,Driskel,YDS,317
3215023,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Jason,Driskel,TD,2
3215024,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Jason,Driskel,LONG,84
3215025,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Daniel,Parr,CP-ATT-INT,1-3-0
3215026,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Daniel,Parr,YDS,4
3215027,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Daniel,Parr,TD,0
3215028,11/5/2016,FBS,Florida Atlantic,Rice,PASSING,Daniel,Parr,LONG,4
3215029,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Henry,Bussey,REC,4
3215030,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Henry,Bussey,YDS,132
3215031,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Henry,Bussey,TD,1
3215032,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Henry,Bussey,LONG,84
3215033,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tyler,Cameron,REC,2
3215034,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tyler,Cameron,YDS,52
3215035,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tyler,Cameron,TD,0
3215036,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tyler,Cameron,LONG,44
3215037,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tavaris,Harrison,REC,1
3215038,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tavaris,Harrison,YDS,41
3215039,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tavaris,Harrison,TD,0
3215040,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Tavaris,Harrison,LONG,41
3215041,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,John,Mitchell,REC,1
3215042,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,John,Mitchell,YDS,33
3215043,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,John,Mitchell,TD,1
3215044,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,John,Mitchell,LONG,33
3215045,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Kalib,Woods,REC,3
3215046,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Kalib,Woods,YDS,25
3215047,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Kalib,Woods,TD,0
3215048,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Kalib,Woods,LONG,16
3215049,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Nate,Terry,REC,1
3215050,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Nate,Terry,YDS,15
3215051,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Nate,Terry,TD,0
3215052,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Nate,Terry,LONG,15
3215053,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Harrison,Bryant,REC,1
3215054,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Harrison,Bryant,YDS,12
3215055,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Harrison,Bryant,TD,0
3215056,11/5/2016,FBS,Florida Atlantic,Rice,RECEIVING,Harrison,Bryant,LONG,12
